threshold,n_detections,n_matched,weighted_f1,macro_f1,accuracy,level1_accuracy,level2_accuracy,kappa_unweighted,kappa_linear_hier,mcc_multi
3/5,865,400,0.8912,0.7685,0.9075,1.0,0.907,0.7264,0.7342,0.7421
4/5,607,376,0.8873,0.7718,0.9043,1.0,0.9037,0.7281,0.736,0.7441
5/5,405,326,0.8882,0.7804,0.9049,1.0,0.9043,0.7386,0.7471,0.7539
