label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-image-min-6of10,5,0.2062,0.169,0.2485,0.2155,0.1749,0.2603,0.1977,0.1624,0.2395,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5462012320328542,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,10,0.5252,0.4761,0.5769,0.5489,0.4974,0.6023,0.5034,0.4521,0.5588,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5544147843942505,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,15,0.6882,0.6411,0.7323,0.7193,0.6712,0.7639,0.6598,0.6059,0.7104,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5626283367556468,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,20,0.789,0.7485,0.8248,0.8246,0.7831,0.861,0.7563,0.7063,0.7991,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5626283367556468,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,25,0.8345,0.7966,0.8669,0.8722,0.8324,0.9048,0.8,0.7506,0.8408,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5626283367556468,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,30,0.8489,0.8133,0.8793,0.8872,0.8503,0.9171,0.8138,0.7654,0.8541,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5626283367556468,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,35,0.8633,0.8295,0.8922,0.9023,0.8665,0.9305,0.8276,0.7801,0.8664,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5626283367556468,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,40,0.8729,0.8407,0.9,0.9123,0.8787,0.939,0.8368,0.7894,0.8741,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5626283367556468,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,45,0.8753,0.8428,0.9021,0.9148,0.8813,0.9412,0.8391,0.7927,0.8768,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5646817248459959,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,50,0.8753,0.8428,0.9021,0.9148,0.8813,0.9412,0.8391,0.7927,0.8768,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5646817248459959,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,75,0.8801,0.8486,0.906,0.9198,0.8865,0.9451,0.8437,0.797,0.8805,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5646817248459959,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,100,0.8801,0.8486,0.906,0.9198,0.8865,0.9451,0.8437,0.797,0.8805,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5646817248459959,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,125,0.8801,0.8486,0.906,0.9198,0.8865,0.9451,0.8437,0.797,0.8805,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5646817248459959,487,zero_fraction_heuristic,
verified-adv-image-min-6of10,150,0.8801,0.8486,0.906,0.9198,0.8865,0.9451,0.8437,0.797,0.8805,0.8031,0.7475,0.8498,0.8252,0.9651,sparse_cross_grid,True,0.5646817248459959,487,zero_fraction_heuristic,
