cell,N,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
g384_ov128_55map,1,0.0,1,18162,4414,13748,746,0.24303490804977426,0.8554263565891473,0.37852671297487356
g384_ov128_55map,1,0.05,1,13962,4399,9563,761,0.3150694742873514,0.8525193798449613,0.46009831607572427
g384_ov128_55map,1,0.1,1,7761,4346,3415,814,0.5599793840999872,0.8422480620155038,0.6727033511338132
g384_ov128_55map,1,0.15,1,5101,4187,914,973,0.8208194471672221,0.8114341085271318,0.8160997953415846
g384_ov128_55map,1,0.2,1,4879,4109,770,1051,0.8421807747489239,0.7963178294573643,0.8186074310190257
g384_ov128_55map,1,0.3,1,4422,3865,557,1295,0.8740388964269561,0.749031007751938,0.8067209350866207
g384_ov128_55map,1,0.35,1,4394,3848,546,1312,0.8757396449704142,0.7457364341085271,0.8055264810550555
g384_ov128_55map,1,0.4,1,4385,3842,543,1318,0.8761687571265678,0.7445736434108527,0.8050288108957571
g384_ov128_55map,1,0.5,1,4225,3729,496,1431,0.882603550295858,0.7226744186046512,0.7946723494938732
g384_ov128_55map,1,0.6,1,4224,3728,496,1432,0.8825757575757576,0.7224806201550388,0.7945439045183291
g384_ov128_55map,1,0.65,1,4222,3727,495,1433,0.8827569872098532,0.7222868217054264,0.7945001065870817
g384_ov128_55map,1,0.7,1,4208,3718,490,1442,0.8835551330798479,0.7205426356589147,0.7937660119555935
g384_ov128_55map,1,0.75,1,4195,3710,485,1450,0.8843861740166865,0.7189922480620154,0.7931587386424372
g384_ov128_55map,1,0.8,1,4093,3627,466,1533,0.8861470803811385,0.702906976744186,0.7839619582837999
g384_ov128_55map,1,0.85,1,4092,3626,466,1534,0.886119257086999,0.7027131782945737,0.7838305231301341
g384_ov128_55map,1,0.9,1,3743,3325,418,1835,0.8883248730964467,0.6443798449612403,0.746939233966079
g384_ov128_55map,1,0.95,1,3741,3323,418,1837,0.888265169740711,0.6439922480620155,0.7466576789124817
g384_ov128_55map,1,0.98,1,2620,2334,286,2826,0.8908396946564886,0.45232558139534884,0.6000000000000001
