map_name,student_GT_count,headline_FN_count,marginal_FN_count,permissive_FN_count,FN_rate_headline,FN_rate_inclusive,FN_rate_permissive
K-35-042-3,18,5,0,6,0.217391,0.217391,0.250000
K-35-050-4,162,3,2,20,0.018182,0.029940,0.109890
K-35-051-3,156,4,2,20,0.025000,0.037037,0.113636
K-35-051-4,100,2,1,12,0.019608,0.029126,0.107143
K-35-052-2,79,6,0,12,0.070588,0.070588,0.131868
K-35-052-3,116,6,3,19,0.049180,0.072000,0.140741
K-35-053-1,61,5,1,9,0.075758,0.089552,0.128571
K-35-053-2,124,5,3,12,0.038760,0.060606,0.088235
K-35-053-4_Boyadzhik,99,8,1,20,0.074766,0.083333,0.168067
K-35-054-1_Straldzha_4326,116,17,4,33,0.127820,0.153285,0.221477
K-35-054-2_Atolov_4326,119,13,3,31,0.098485,0.118519,0.206667
K-35-054-3_Yambol,103,8,4,19,0.072072,0.104348,0.155738
K-35-054-4_Voynika,110,3,3,17,0.026549,0.051724,0.133858
K-35-055-1,116,6,3,26,0.049180,0.072000,0.183099
K-35-055-2,86,5,1,7,0.054945,0.065217,0.075269
K-35-055-3,101,5,4,18,0.047170,0.081818,0.151261
K-35-055-4,77,1,2,9,0.012821,0.037500,0.104651
K-35-056-3,18,0,1,4,0.000000,0.052632,0.181818
K-35-062-4_Asenovgrad_4326,72,13,1,21,0.152941,0.162791,0.225806
K-35-063-1_Granit_4326,246,39,8,69,0.136842,0.160410,0.219048
K-35-063-2_Chirpan_4326,200,7,4,31,0.033816,0.052133,0.134199
K-35-063-3_Tatarevo_4326,117,7,0,19,0.056452,0.056452,0.139706
K-35-063-4_Skobelevo_4326,112,11,2,24,0.089431,0.104000,0.176471
K-35-064-1_Sredets_4326,126,15,2,22,0.106383,0.118881,0.148649
K-35-064-2_Radnevo_4326,61,14,1,17,0.186667,0.197368,0.217949
K-35-064-3_Dimitrovgrad_4326,99,9,1,18,0.083333,0.091743,0.153846
K-35-064-4_Galabovo_4326,75,7,3,16,0.085366,0.117647,0.175824
K-35-065-1_Radetski_4326,112,5,0,8,0.042735,0.042735,0.066667
K-35-065-2_GManastir_4326,91,3,2,8,0.031915,0.052083,0.080808
K-35-065-3_Glavan_4326,73,8,3,13,0.098765,0.130952,0.151163
K-35-065-4,43,3,1,4,0.065217,0.085106,0.085106
K-35-066-1,162,10,4,26,0.058140,0.079545,0.138298
K-35-066-2,82,12,4,23,0.127660,0.163265,0.219048
K-35-066-3,104,6,0,15,0.054545,0.054545,0.126050
K-35-066-4,71,4,1,13,0.053333,0.065789,0.154762
K-35-067-1,53,11,1,12,0.171875,0.184615,0.184615
K-35-067-2,111,1,2,19,0.008929,0.026316,0.146154
K-35-067-3,53,5,0,15,0.086207,0.086207,0.220588
K-35-067-4,64,13,2,19,0.168831,0.189873,0.228916
K-35-074-1,24,2,0,4,0.076923,0.076923,0.142857
K-35-074-2,31,1,0,3,0.031250,0.031250,0.088235
K-35-074-3,10,3,0,4,0.230769,0.230769,0.285714
K-35-074-4,10,1,1,2,0.090909,0.166667,0.166667
K-35-075-1,72,14,1,21,0.162791,0.172414,0.225806
K-35-075-2,135,6,2,22,0.042553,0.055944,0.140127
K-35-075-3,2,2,0,2,0.500000,0.500000,0.500000
K-35-075-4,57,1,1,6,0.017241,0.033898,0.095238
K-35-076-1,117,9,4,17,0.071429,0.100000,0.126866
K-35-076-2,47,52,2,59,0.525253,0.534653,0.556604
K-35-076-3,68,3,0,11,0.042254,0.042254,0.139241
K-35-076-4,50,6,2,12,0.107143,0.137931,0.193548
K-35-077-1,63,11,3,18,0.148649,0.181818,0.222222
K-35-077-2,87,26,1,29,0.230088,0.236842,0.250000
K-35-077-3,44,15,0,19,0.254237,0.254237,0.301587
K-35-077-4,39,5,1,7,0.113636,0.133333,0.152174
