label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity
55maps-text-high-t0.3-generalisation,50,0.8045,0.7942,0.8145,0.8409,0.8286,0.8532,0.7711,0.7574,0.7844,0.6537,0.638,0.6696,0.6555,0.9506
55maps-text-high-t0.3-generalisation,75,0.8076,0.7973,0.8174,0.8441,0.8319,0.8564,0.774,0.7604,0.7874,0.6537,0.638,0.6696,0.6555,0.9506
55maps-text-high-t0.3-generalisation,100,0.8084,0.7982,0.8182,0.8451,0.8328,0.8573,0.7749,0.7614,0.7882,0.6537,0.638,0.6696,0.6555,0.9506
55maps-text-high-t0.3-generalisation,125,0.8093,0.7992,0.8191,0.846,0.8337,0.8582,0.7757,0.7621,0.789,0.6537,0.638,0.6696,0.6555,0.9506
55maps-text-high-t0.3-generalisation,150,0.8104,0.8001,0.8203,0.8471,0.8349,0.8594,0.7768,0.7633,0.7901,0.6537,0.638,0.6696,0.6555,0.9506
