label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
scale-32-greedy-t1,20,0.2462,0.2103,0.2838,0.154,0.1287,0.1818,0.6138,0.5413,0.6777,normal,False,0.2546201232032854,487,zero_fraction_heuristic,
scale-32-greedy-t1,30,0.2656,0.2285,0.3037,0.1661,0.1397,0.1949,0.6621,0.5861,0.7246,normal,False,0.25667351129363447,487,zero_fraction_heuristic,
scale-32-greedy-t1,40,0.2775,0.2396,0.3155,0.1736,0.1461,0.2022,0.692,0.6167,0.7545,normal,False,0.25667351129363447,487,zero_fraction_heuristic,
scale-32-greedy-t1,50,0.2822,0.2433,0.3206,0.1765,0.149,0.2057,0.7034,0.6261,0.7675,normal,False,0.25667351129363447,487,zero_fraction_heuristic,
