label,n_runs,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
Pro Text HIGH T=0.7,5,30,0.7913,0.7504,0.8272,0.7905,0.7424,0.836,0.7922,0.7366,0.8431
Pro Image HIGH T=0.7,5,30,0.7412,0.7023,0.7761,0.6532,0.6078,0.6947,0.8566,0.8192,0.8906
Flash Image MINIMAL T=0.0,1,30,0.6554,0.6116,0.6892,0.5188,0.4685,0.5583,0.8897,0.8567,0.9199
Flash Image MINIMAL T=0.7,10,30,0.6302,0.5858,0.6676,0.4959,0.447,0.5385,0.8644,0.829,0.8977
Flash Image HIGH T=0.7,10,30,0.5779,0.526,0.6238,0.4361,0.3817,0.4864,0.8568,0.8186,0.8934
Flash Text MINIMAL T=0.0 (PV baseline),1,30,0.5304,0.4713,0.587,0.3754,0.3191,0.4345,0.9034,0.8716,0.9325
Flash Text MINIMAL T=0.0,10,30,0.515,0.4561,0.5717,0.3603,0.3052,0.4175,0.9027,0.872,0.9324
Flash Text MINIMAL T=0.7,30,30,0.5058,0.448,0.5602,0.3527,0.3,0.4065,0.8943,0.8617,0.9251
Flash Text HIGH T=0.7,30,30,0.4063,0.3512,0.4593,0.2614,0.218,0.3063,0.9124,0.882,0.9407
