,precision,recall,f1
count,5.0,5.0,5.0
mean,0.5268030869847855,0.8037735849056604,0.6312299965600275
std,0.1147281457253876,0.036780356018147026,0.09565815482227984
min,0.3389830508474576,0.7547169811320755,0.4678362573099415
25%,0.5057471264367817,0.7735849056603774,0.6285714285714286
50%,0.5569620253164557,0.8301886792452831,0.6666666666666666
75%,0.6111111111111112,0.8301886792452831,0.689075630252101
max,0.6212121212121212,0.8301886792452831,0.7040000000000001
