label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
r2-balanced-greedy-t1,20,0.2902,0.2511,0.33,0.1879,0.1585,0.2196,0.6368,0.5672,0.7048
r2-balanced-greedy-t1,30,0.3122,0.271,0.3536,0.2022,0.1711,0.2352,0.6851,0.6126,0.754
r2-balanced-greedy-t1,40,0.3195,0.2776,0.3614,0.2069,0.1753,0.2407,0.7011,0.6289,0.7714
r2-balanced-greedy-t1,50,0.3227,0.2802,0.3648,0.209,0.1769,0.2429,0.708,0.6356,0.7784
