temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,5,1,0.6197,0.4706,0.9072,0.4959,0.6892,0.3648,0.5697,0.7352,0.9039,187
T0.3,5,2,0.6888,0.5764,0.8557,0.5566,0.7466,0.4434,0.6727,0.6848,0.8649,144
T0.3,5,3,0.7558,0.6833,0.8454,0.6193,0.8047,0.5567,0.7813,0.6704,0.86,120
T0.3,5,4,0.715,0.7188,0.7113,0.5777,0.766,0.5851,0.8198,0.5397,0.7601,96
T0.3,5,5,0.6966,0.7654,0.6392,0.5521,0.761,0.6338,0.8642,0.4634,0.7162,81
T0.3,10,1,0.5329,0.3755,0.9175,0.4142,0.6015,0.2815,0.4615,0.7451,0.9187,237
T0.3,10,2,0.6541,0.5148,0.8969,0.5287,0.7129,0.4014,0.6124,0.7333,0.8982,169
T0.3,10,3,0.7078,0.589,0.8866,0.5803,0.7603,0.4695,0.6867,0.72,0.8934,146
T0.3,10,4,0.7217,0.6241,0.8557,0.5853,0.7761,0.5,0.7246,0.6765,0.875,133
T0.3,10,5,0.7431,0.6694,0.8351,0.6023,0.7986,0.5362,0.7718,0.6533,0.8558,121
T0.3,10,6,0.7547,0.6957,0.8247,0.6164,0.8044,0.5619,0.7917,0.647,0.84,115
T0.3,10,7,0.7512,0.713,0.7938,0.6171,0.7971,0.5802,0.8084,0.6293,0.8111,108
T0.3,10,8,0.7225,0.734,0.7113,0.5874,0.7701,0.6049,0.8296,0.5397,0.7601,94
T0.3,10,9,0.7072,0.7619,0.6598,0.5696,0.7573,0.6337,0.8632,0.4937,0.7127,84
T0.3,10,10,0.6584,0.8281,0.5464,0.5168,0.7324,0.6999,0.931,0.3879,0.6311,64
T0.3,30,1,0.4272,0.2766,0.9381,0.331,0.4957,0.2067,0.3453,0.787,0.9322,329
T0.3,30,2,0.5325,0.3734,0.9278,0.4173,0.5957,0.2817,0.4492,0.7549,0.924,241
T0.3,30,3,0.5894,0.4341,0.9175,0.4722,0.6492,0.3366,0.5171,0.7475,0.9149,205
T0.3,30,4,0.638,0.489,0.9175,0.5176,0.6948,0.3851,0.5747,0.7475,0.9149,182
T0.3,30,5,0.6493,0.5088,0.8969,0.5208,0.7097,0.3962,0.6032,0.7222,0.8983,171
T0.3,30,6,0.6719,0.5409,0.8866,0.534,0.7383,0.4186,0.6446,0.7037,0.8916,159
T0.3,30,7,0.6853,0.5584,0.8866,0.5464,0.7472,0.4375,0.6594,0.7037,0.8916,154
T0.3,30,8,0.7107,0.5931,0.8866,0.57,0.7711,0.4717,0.694,0.7037,0.8916,145
T0.3,30,9,0.7143,0.6028,0.8763,0.57,0.7769,0.4783,0.7056,0.6931,0.8862,141
T0.3,30,10,0.7273,0.6269,0.866,0.5918,0.7851,0.5,0.7252,0.6888,0.8736,134
T0.3,30,11,0.7401,0.6462,0.866,0.6009,0.7962,0.5199,0.7481,0.6888,0.8736,130
T0.3,30,12,0.7467,0.6562,0.866,0.6043,0.8034,0.5233,0.7626,0.6888,0.8736,128
T0.3,30,13,0.7534,0.6667,0.866,0.612,0.8077,0.5312,0.7733,0.6888,0.8736,126
T0.3,30,14,0.765,0.6917,0.8557,0.6235,0.8207,0.5625,0.7956,0.671,0.87,120
T0.3,30,15,0.7593,0.6891,0.8454,0.6178,0.816,0.5607,0.7943,0.663,0.8618,119
T0.3,30,16,0.77,0.7069,0.8454,0.6288,0.8236,0.5744,0.8108,0.663,0.8618,116
T0.3,30,17,0.7714,0.7168,0.8351,0.6305,0.8225,0.5841,0.8175,0.6556,0.8506,113
T0.3,30,18,0.7751,0.7232,0.8351,0.6353,0.8246,0.5918,0.8235,0.6556,0.8506,112
T0.3,30,19,0.7647,0.729,0.8041,0.6374,0.8064,0.6,0.8268,0.641,0.8222,107
T0.3,30,20,0.7685,0.7358,0.8041,0.64,0.8102,0.6111,0.8317,0.641,0.8222,106
T0.3,30,21,0.7638,0.7451,0.7835,0.6364,0.8054,0.6219,0.8438,0.6249,0.81,102
T0.3,30,22,0.7732,0.7732,0.7732,0.6509,0.8148,0.6555,0.8684,0.6132,0.8,97
T0.3,30,23,0.7732,0.7732,0.7732,0.6509,0.8148,0.6555,0.8684,0.6132,0.8,97
T0.3,30,24,0.7553,0.7802,0.732,0.6154,0.8037,0.6561,0.876,0.5545,0.7739,91
T0.3,30,25,0.7487,0.7778,0.7216,0.6127,0.7978,0.6561,0.875,0.5435,0.7655,90
T0.3,30,26,0.7416,0.8148,0.6804,0.6052,0.7913,0.6825,0.9101,0.5071,0.7262,81
T0.3,30,27,0.7176,0.8356,0.6289,0.5816,0.764,0.7142,0.9286,0.4681,0.6778,73
T0.3,30,28,0.6867,0.8261,0.5876,0.541,0.7398,0.6999,0.9241,0.4236,0.6487,69
T0.3,30,29,0.6194,0.8276,0.4948,0.4685,0.6853,0.6896,0.9355,0.3361,0.5727,58
T0.3,30,30,0.5694,0.8723,0.4227,0.4087,0.6475,0.7608,0.9608,0.2698,0.5056,47
T0.7,5,1,0.5027,0.342,0.9485,0.3858,0.57,0.2521,0.4179,0.7805,0.9375,269
T0.7,5,2,0.7119,0.6043,0.866,0.5838,0.7566,0.4884,0.6957,0.7051,0.8706,139
T0.7,5,3,0.7902,0.75,0.8351,0.6631,0.8368,0.6344,0.8403,0.6636,0.8558,108
T0.7,5,4,0.738,0.7667,0.7113,0.6108,0.7892,0.65,0.8724,0.5532,0.7525,90
T0.7,5,5,0.6497,0.85,0.5258,0.5277,0.7093,0.7451,0.946,0.3916,0.5978,60
T0.7,10,1,0.415,0.264,0.9691,0.3104,0.491,0.189,0.3376,0.81,0.9462,356
T0.7,10,2,0.5959,0.4462,0.8969,0.4686,0.6623,0.3405,0.5389,0.729,0.8977,195
T0.7,10,3,0.6772,0.5478,0.8866,0.551,0.7322,0.4353,0.6437,0.7142,0.8913,157
T0.7,10,4,0.7511,0.6694,0.8557,0.6169,0.8016,0.5363,0.7716,0.6829,0.8713,124
T0.7,10,5,0.7707,0.7315,0.8144,0.6424,0.8173,0.6154,0.8273,0.641,0.8416,108
T0.7,10,6,0.7614,0.75,0.7732,0.6282,0.8145,0.6353,0.8431,0.5933,0.8118,100
T0.7,10,7,0.7474,0.7634,0.732,0.6111,0.8058,0.6452,0.8674,0.5556,0.7822,93
T0.7,10,8,0.7363,0.7882,0.6907,0.6071,0.7854,0.6721,0.8868,0.5319,0.7341,85
T0.7,10,9,0.6788,0.8235,0.5773,0.5351,0.7516,0.7059,0.9213,0.4097,0.6577,68
T0.7,10,10,0.5931,0.8958,0.4433,0.4383,0.6861,0.8,0.9756,0.2901,0.5477,48
T0.7,30,1,0.2836,0.1658,0.9794,0.2088,0.3462,0.1195,0.2145,0.8247,0.9546,573
T0.7,30,2,0.4502,0.2923,0.9794,0.352,0.5163,0.2212,0.3585,0.8247,0.9546,325
T0.7,30,3,0.5382,0.3711,0.9794,0.4306,0.6044,0.2864,0.4519,0.8247,0.9546,256
T0.7,30,4,0.5942,0.4306,0.9588,0.4786,0.6518,0.3353,0.5102,0.8091,0.9375,216
T0.7,30,5,0.6434,0.4868,0.9485,0.5254,0.6953,0.3885,0.5742,0.8019,0.9292,189
T0.7,30,6,0.6717,0.5298,0.9175,0.5528,0.7205,0.4264,0.6146,0.7619,0.9072,168
T0.7,30,7,0.6988,0.5724,0.8969,0.573,0.7519,0.456,0.6646,0.7248,0.9009,152
T0.7,30,8,0.7083,0.5944,0.8763,0.5791,0.7639,0.4857,0.6832,0.6956,0.8913,143
T0.7,30,9,0.7241,0.6222,0.866,0.5918,0.7809,0.5045,0.7153,0.6818,0.8818,135
