temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.7,10,8,0.6857,0.6372,0.7423,0.5168,0.7577,0.4706,0.7584,0.5479,0.7818,113
T0.7,10,9,0.6701,0.66,0.6804,0.506,0.7373,0.4933,0.7796,0.5,0.7188,100
T0.7,10,10,0.5795,0.6456,0.5258,0.3946,0.676,0.4477,0.7778,0.3364,0.6064,79
T0.7,30,1,0.1192,0.0638,0.9175,0.0707,0.1771,0.037,0.0989,0.7363,0.9205,1396
T0.7,30,2,0.289,0.1715,0.9175,0.1854,0.3894,0.1053,0.2517,0.7363,0.9205,519
T0.7,30,3,0.3801,0.2404,0.9072,0.2575,0.4896,0.1531,0.3427,0.7281,0.9145,366
T0.7,30,4,0.4503,0.3018,0.8866,0.3132,0.5526,0.1999,0.4105,0.7111,0.8982,285
T0.7,30,5,0.5045,0.3559,0.866,0.3597,0.6,0.2426,0.4697,0.6886,0.8819,236
T0.7,30,6,0.5437,0.3962,0.866,0.4,0.6364,0.2766,0.5161,0.6886,0.8819,212
T0.7,30,7,0.5646,0.4213,0.8557,0.4166,0.6577,0.294,0.541,0.6778,0.8781,197
T0.7,30,8,0.5934,0.4602,0.8351,0.4444,0.677,0.3294,0.5833,0.6602,0.8522,176
T0.7,30,9,0.6207,0.4939,0.8351,0.4696,0.7015,0.3566,0.6114,0.6602,0.8522,164
T0.7,30,10,0.6504,0.5369,0.8247,0.4951,0.726,0.3968,0.6522,0.6489,0.8412,149
T0.7,30,11,0.6611,0.5563,0.8144,0.5027,0.7353,0.4108,0.673,0.6349,0.8351,142
T0.7,30,12,0.6695,0.5683,0.8144,0.5123,0.7441,0.4215,0.6885,0.6349,0.8351,139
T0.7,30,13,0.6783,0.5865,0.8041,0.5198,0.7519,0.4355,0.7048,0.621,0.8245,133
T0.7,30,14,0.6996,0.619,0.8041,0.5428,0.7692,0.4722,0.7316,0.621,0.8245,126
T0.7,30,15,0.7156,0.6446,0.8041,0.5573,0.7809,0.5,0.7539,0.621,0.8245,121
T0.7,30,16,0.729,0.6667,0.8041,0.5747,0.7926,0.5275,0.7699,0.621,0.8245,117
T0.7,30,17,0.7358,0.6783,0.8041,0.5818,0.7982,0.537,0.7852,0.621,0.8245,115
T0.7,30,18,0.7393,0.6842,0.8041,0.5863,0.8,0.5454,0.791,0.621,0.8245,114
T0.7,30,19,0.744,0.7,0.7938,0.5875,0.8047,0.5595,0.8049,0.6058,0.8173,110
T0.7,30,20,0.7389,0.7075,0.7732,0.5844,0.7969,0.5682,0.8163,0.5961,0.7949,106
T0.7,30,21,0.7487,0.7449,0.7526,0.596,0.7984,0.6119,0.8404,0.5789,0.7768,98
T0.7,30,22,0.7513,0.7717,0.732,0.6102,0.7955,0.647,0.8629,0.5681,0.759,92
T0.7,30,23,0.7391,0.7816,0.701,0.5977,0.7903,0.6667,0.871,0.5263,0.7399,87
T0.7,30,24,0.7273,0.8101,0.6598,0.5853,0.7795,0.6981,0.8986,0.4889,0.7079,79
T0.7,30,25,0.7251,0.8378,0.6392,0.5755,0.7795,0.7222,0.9186,0.4737,0.6865,74
T0.7,30,26,0.7152,0.8676,0.6082,0.5663,0.7625,0.7593,0.9432,0.4384,0.6598,68
T0.7,30,27,0.6962,0.9016,0.567,0.543,0.7473,0.8043,0.9692,0.3983,0.6275,61
T0.7,30,28,0.6711,0.9273,0.5258,0.4999,0.7447,0.8405,0.9844,0.3488,0.6173,55
T0.7,30,29,0.5294,0.9231,0.3711,0.3495,0.6173,0.8182,1.0,0.2182,0.4566,39
T0.7,30,30,0.2783,0.8889,0.1649,0.1294,0.3932,0.7273,1.0,0.0695,0.2501,18
T1.0,5,1,0.2353,0.1367,0.8454,0.1494,0.3397,0.0829,0.2144,0.6667,0.8692,600
T1.0,5,2,0.518,0.3798,0.8144,0.3831,0.6276,0.2603,0.515,0.6489,0.8304,208
T1.0,5,3,0.6608,0.5769,0.7732,0.5133,0.7359,0.4375,0.7046,0.6,0.8,130
T1.0,5,4,0.6772,0.6957,0.6598,0.541,0.7411,0.5657,0.8034,0.4999,0.7077,92
T1.0,5,5,0.6545,0.7941,0.5567,0.5116,0.7163,0.6727,0.8923,0.3962,0.6174,68
T1.0,10,1,0.1577,0.0865,0.8866,0.0959,0.2326,0.0512,0.1354,0.7143,0.8972,994
T1.0,10,2,0.4,0.261,0.8557,0.2762,0.5109,0.1689,0.3681,0.675,0.874,318
T1.0,10,3,0.5015,0.3584,0.8351,0.3655,0.6005,0.2455,0.4755,0.6667,0.8473,226
T1.0,10,4,0.5843,0.4588,0.8041,0.441,0.6761,0.3333,0.5852,0.6414,0.8182,170
T1.0,10,5,0.6727,0.6016,0.7629,0.5414,0.7361,0.4706,0.7185,0.6036,0.7966,123
T1.0,10,6,0.7136,0.6961,0.732,0.5853,0.7706,0.5757,0.7984,0.5652,0.7765,102
T1.0,10,7,0.7263,0.7419,0.7113,0.6,0.7788,0.625,0.8319,0.5425,0.7604,93
T1.0,10,8,0.6971,0.7821,0.6289,0.5637,0.7489,0.6785,0.8659,0.4648,0.6851,78
T1.0,10,9,0.6792,0.871,0.5567,0.4999,0.7676,0.78,0.9474,0.3561,0.6636,62
T1.0,10,10,0.5362,0.9024,0.3814,0.3652,0.62,0.793,0.98,0.2348,0.4697,41
T1.0,30,1,0.0831,0.0435,0.9175,0.0501,0.1286,0.0258,0.0698,0.7377,0.9256,2045
T1.0,30,2,0.2265,0.1294,0.9072,0.1486,0.3121,0.0816,0.192,0.723,0.9167,680
T1.0,30,3,0.3148,0.1919,0.8763,0.213,0.4154,0.1247,0.2758,0.6944,0.8916,443
T1.0,30,4,0.3846,0.2464,0.8763,0.2646,0.4841,0.1605,0.3438,0.6944,0.8916,345
T1.0,30,5,0.4485,0.3014,0.8763,0.3179,0.5493,0.2039,0.4052,0.6944,0.8916,282
T1.0,30,6,0.4942,0.3441,0.8763,0.3546,0.6,0.2314,0.4576,0.6944,0.8916,247
T1.0,30,7,0.5385,0.3907,0.866,0.3953,0.6364,0.2688,0.5047,0.68,0.8866,215
T1.0,30,8,0.5744,0.4323,0.8557,0.4263,0.6646,0.3054,0.5492,0.6666,0.8781,192
T1.0,30,9,0.595,0.456,0.8557,0.4444,0.6873,0.323,0.574,0.6666,0.8781,182
T1.0,30,10,0.6178,0.4938,0.8247,0.4727,0.7,0.3636,0.6136,0.6444,0.8447,162
T1.0,30,11,0.6452,0.5298,0.8247,0.4955,0.7242,0.3961,0.6507,0.6444,0.8447,151
T1.0,30,12,0.6809,0.5797,0.8247,0.5404,0.7537,0.4479,0.7,0.6444,0.8447,138
T1.0,30,13,0.696,0.6077,0.8144,0.5595,0.76,0.4757,0.7197,0.6392,0.8304,130
T1.0,30,14,0.6972,0.6281,0.7835,0.5611,0.763,0.4999,0.7417,0.6133,0.8104,121
T1.0,30,15,0.7075,0.6522,0.7732,0.5748,0.7692,0.5238,0.7667,0.6071,0.8033,115
T1.0,30,16,0.7228,0.6952,0.7526,0.5876,0.7803,0.5765,0.7963,0.5865,0.7845,105
T1.0,30,17,0.7254,0.7292,0.7216,0.5977,0.776,0.6144,0.8248,0.5567,0.7647,96
T1.0,30,18,0.7234,0.7473,0.701,0.592,0.7763,0.6363,0.8434,0.5315,0.7568,91
T1.0,30,19,0.7243,0.7614,0.6907,0.5889,0.781,0.6471,0.86,0.5213,0.7465,88
T1.0,30,20,0.7322,0.7791,0.6907,0.5957,0.7883,0.6667,0.8768,0.5213,0.7465,86
T1.0,30,21,0.7333,0.7952,0.6804,0.5978,0.7904,0.6896,0.8889,0.5119,0.7374,83
T1.0,30,22,0.7314,0.8205,0.6598,0.5909,0.7876,0.7059,0.9114,0.4933,0.7128,78
T1.0,30,23,0.7176,0.8356,0.6289,0.5697,0.7831,0.72,0.9299,0.4545,0.6975,73
T1.0,30,24,0.6951,0.8507,0.5876,0.5423,0.7657,0.754,0.9412,0.4091,0.6637,67
T1.0,30,25,0.6667,0.8548,0.5464,0.4843,0.7586,0.75,0.9492,0.3486,0.6566,62
T1.0,30,26,0.6497,0.85,0.5258,0.4706,0.7434,0.7428,0.9483,0.3379,0.6311,60
T1.0,30,27,0.641,0.8475,0.5155,0.4601,0.7349,0.7391,0.9474,0.3222,0.6198,59
T1.0,30,28,0.6133,0.8679,0.4742,0.433,0.7059,0.7447,0.9634,0.2952,0.5778,53
T1.0,30,29,0.5333,0.9474,0.3711,0.365,0.6267,0.8666,1.0,0.2261,0.4674,38
T1.0,30,30,0.4194,0.963,0.268,0.274,0.5098,0.88,1.0,0.1588,0.3458,27
