group,label_a,label_b,f1_a,f1_b,delta_f1,p_value,n_tiles,n_permutations
Temperature (text),P2b Text T1.0,P2b Text T1.3,0.264,0.276,-0.012,0.1874,340,10000
Temperature (image),P2b Image T0.0,P2b Image T0.3,0.2703,0.2962,-0.0259,0.0004,340,10000
Temperature (image),P2b Image T0.0,P2b Image T0.7,0.2703,0.2891,-0.0188,0.0173,340,10000
Temperature (image),P2b Image T0.0,P2b Image T1.0,0.2703,0.2922,-0.0219,0.0209,340,10000
Temperature (image),P2b Image T0.0,P2b Image T1.3,0.2703,0.2833,-0.013,0.1726,340,10000
Temperature (image),P2b Image T0.3,P2b Image T0.7,0.2962,0.2891,0.0072,0.3734,340,10000
Temperature (image),P2b Image T0.3,P2b Image T1.0,0.2962,0.2922,0.004,0.6536,340,10000
Temperature (image),P2b Image T0.3,P2b Image T1.3,0.2962,0.2833,0.0129,0.1576,340,10000
Temperature (image),P2b Image T0.7,P2b Image T1.0,0.2891,0.2922,-0.0031,0.6967,340,10000
Temperature (image),P2b Image T0.7,P2b Image T1.3,0.2891,0.2833,0.0057,0.4988,340,10000
Temperature (image),P2b Image T1.0,P2b Image T1.3,0.2922,0.2833,0.0088,0.3524,340,10000
