label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
text-high-vs-cleaned-gt,20,0.6247,0.61,0.6394,0.67,0.6543,0.6863,0.5852,0.5685,0.6014
text-high-vs-cleaned-gt,30,0.7555,0.7434,0.7673,0.8103,0.7969,0.8236,0.7076,0.6922,0.7228
text-high-vs-cleaned-gt,40,0.7852,0.7739,0.7962,0.8421,0.8294,0.8547,0.7355,0.7204,0.7503
text-high-vs-cleaned-gt,50,0.7906,0.7794,0.8014,0.8479,0.8353,0.8603,0.7405,0.7256,0.7553
