threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,409,0.8509,0.8,0.8246,0.7871,0.8603,0.81,0.8903,0.7482,0.8508
0.05,402,0.8632,0.7977,0.8292,0.7929,0.8636,0.8228,0.8994,0.7457,0.8498
0.1,398,0.8719,0.7977,0.8331,0.7976,0.8677,0.8346,0.9059,0.7457,0.8498
0.15,380,0.8974,0.7839,0.8368,0.8005,0.8708,0.862,0.93,0.7301,0.8371
0.2,377,0.8966,0.777,0.8325,0.797,0.8668,0.8616,0.9293,0.7225,0.8283
0.25,362,0.9006,0.7494,0.8181,0.78,0.853,0.8656,0.9328,0.6925,0.8031
0.3,362,0.9006,0.7494,0.8181,0.78,0.853,0.8656,0.9328,0.6925,0.8031
0.35,359,0.9025,0.7448,0.8161,0.7776,0.8519,0.8692,0.9343,0.6876,0.7995
0.4,359,0.9025,0.7448,0.8161,0.7776,0.8519,0.8692,0.9343,0.6876,0.7995
0.45,342,0.9094,0.7149,0.8005,0.7602,0.8389,0.8746,0.9429,0.6571,0.7696
0.5,342,0.9094,0.7149,0.8005,0.7602,0.8389,0.8746,0.9429,0.6571,0.7696
0.55,342,0.9094,0.7149,0.8005,0.7602,0.8389,0.8746,0.9429,0.6571,0.7696
0.6,342,0.9094,0.7149,0.8005,0.7602,0.8389,0.8746,0.9429,0.6571,0.7696
0.65,341,0.9091,0.7126,0.799,0.7584,0.837,0.8743,0.9426,0.6536,0.7685
0.7,341,0.9091,0.7126,0.799,0.7584,0.837,0.8743,0.9426,0.6536,0.7685
0.75,337,0.911,0.7057,0.7953,0.7548,0.8349,0.876,0.9445,0.6464,0.7592
0.8,336,0.9107,0.7034,0.7938,0.7527,0.8322,0.8757,0.9439,0.6452,0.7572
0.85,336,0.9107,0.7034,0.7938,0.7527,0.8322,0.8757,0.9439,0.6452,0.7572
0.9,305,0.9115,0.6391,0.7514,0.7095,0.7925,0.8758,0.9454,0.5839,0.6944
0.95,302,0.9106,0.6322,0.7463,0.7037,0.787,0.875,0.9453,0.577,0.6909
1.0,214,0.9112,0.4483,0.6009,0.551,0.6471,0.8682,0.9494,0.3955,0.5011
