threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,772,0.5142,0.7365,0.6056,0.5639,0.6457,0.4656,0.5575,0.6893,0.7837
0.05,676,0.5828,0.731,0.6486,0.61,0.6859,0.5362,0.6245,0.6831,0.7796
0.1,636,0.6101,0.7199,0.6604,0.62,0.698,0.5643,0.6498,0.6712,0.7667
0.15,567,0.6631,0.6976,0.6799,0.6392,0.7183,0.6199,0.7062,0.6477,0.7474
0.2,562,0.6655,0.6939,0.6794,0.6394,0.7184,0.6217,0.708,0.6443,0.7455
0.25,519,0.6917,0.666,0.6786,0.641,0.7187,0.6494,0.7338,0.6183,0.7157
0.3,519,0.6917,0.666,0.6786,0.641,0.7187,0.6494,0.7338,0.6183,0.7157
0.35,511,0.6967,0.6605,0.6781,0.6393,0.7183,0.654,0.7403,0.6113,0.7117
0.4,511,0.6967,0.6605,0.6781,0.6393,0.7183,0.654,0.7403,0.6113,0.7117
0.45,481,0.6985,0.6234,0.6588,0.6139,0.7014,0.6523,0.7441,0.5686,0.678
0.5,481,0.6985,0.6234,0.6588,0.6139,0.7014,0.6523,0.7441,0.5686,0.678
0.55,481,0.6985,0.6234,0.6588,0.6139,0.7014,0.6523,0.7441,0.5686,0.678
0.6,481,0.6985,0.6234,0.6588,0.6139,0.7014,0.6523,0.7441,0.5686,0.678
0.65,481,0.6985,0.6234,0.6588,0.6139,0.7014,0.6523,0.7441,0.5686,0.678
0.7,481,0.6985,0.6234,0.6588,0.6139,0.7014,0.6523,0.7441,0.5686,0.678
0.75,477,0.7023,0.6215,0.6594,0.6138,0.7018,0.6569,0.7472,0.5679,0.6755
0.8,469,0.6994,0.6085,0.6508,0.6047,0.6936,0.6522,0.7445,0.5532,0.6636
0.85,468,0.6987,0.6067,0.6495,0.6032,0.6917,0.652,0.7439,0.5523,0.6614
0.9,411,0.6959,0.5306,0.6021,0.5582,0.6433,0.6524,0.7413,0.4804,0.5817
0.95,404,0.703,0.5269,0.6023,0.5577,0.6448,0.6581,0.747,0.4771,0.5783
1.0,279,0.7384,0.3822,0.5037,0.4551,0.5481,0.6829,0.7907,0.3366,0.4265
