,precision,recall,f1
count,5.0,5.0,5.0
mean,0.6606549971767363,0.8566037735849058,0.7451618590837225
std,0.04928410668671978,0.028614624317175655,0.035744216730718925
min,0.5974025974025974,0.8113207547169812,0.7049180327868851
25%,0.6231884057971014,0.8490566037735849,0.7076923076923077
50%,0.6714285714285714,0.8679245283018868,0.7642276422764227
75%,0.696969696969697,0.8679245283018868,0.7731092436974791
max,0.7142857142857143,0.8867924528301887,0.7758620689655172
