cell,stride,tile_px,overlap_frac,K,prob_t,min_votes,n_detections,precision,recall,f1,mcc
g512_ov176,336,512,0.3438,10,0.0,1,1981,0.198889449772842,0.9205607476635514,0.32710668327106684,0.2887448921387404
g512_ov176,336,512,0.3438,10,0.0,2,1305,0.2973180076628352,0.9065420560747663,0.4477784189267166,0.2971600685409637
g512_ov176,336,512,0.3438,10,0.0,3,1050,0.3647619047619048,0.8948598130841121,0.5182679296346414,0.2999993234123798
g512_ov176,336,512,0.3438,10,0.0,4,943,0.40084835630965004,0.883177570093458,0.5514223194748359,0.3142444350244219
g512_ov176,336,512,0.3438,10,0.0,5,854,0.4379391100702576,0.8738317757009346,0.5834633385335413,0.3291889033399093
g512_ov176,336,512,0.3438,10,0.0,6,771,0.48119325551232167,0.866822429906542,0.6188490408673896,0.34852269935649804
g512_ov176,336,512,0.3438,10,0.0,7,718,0.5125348189415042,0.8598130841121495,0.6422338568935428,0.3827123663510766
g512_ov176,336,512,0.3438,10,0.0,8,651,0.5483870967741935,0.8341121495327103,0.6617238183503243,0.39786534155676473
g512_ov176,336,512,0.3438,10,0.0,9,589,0.597623089983022,0.822429906542056,0.6922320550639134,0.4399342994009259
g512_ov176,336,512,0.3438,10,0.0,10,493,0.6632860040567952,0.764018691588785,0.7100977198697068,0.4290513442458559
g512_ov176,336,512,0.3438,10,0.05,1,1518,0.2595520421607378,0.9205607476635514,0.4049331963001027,0.35668436464521364
g512_ov176,336,512,0.3438,10,0.05,2,1037,0.3741562198649952,0.9065420560747663,0.5296928327645052,0.366208805298149
g512_ov176,336,512,0.3438,10,0.05,3,847,0.45218417945690675,0.8948598130841121,0.6007843137254902,0.3804426715342882
g512_ov176,336,512,0.3438,10,0.05,4,774,0.4883720930232558,0.883177570093458,0.6289517470881862,0.3872357938572717
g512_ov176,336,512,0.3438,10,0.05,5,713,0.5245441795231417,0.8738317757009346,0.6555652936021034,0.4033020420178514
