family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
IM,0.0,3,7878,4111,3767,907,0.637562034739454,0.4369585271238131,2810,3239,1773,719
IM,0.0,4,4982,3334,1648,1684,0.6668,0.4938102889175808,2345,4120,892,1184
IM,0.0,5,2823,2235,588,2783,0.5700803468945287,0.46432978261024765,1655,4664,348,1874
IM,0.05,3,6884,4089,2795,929,0.6871114098470846,0.5108104518453498,2735,3723,1289,794
IM,0.05,4,4570,3316,1254,1702,0.6916979557780559,0.5418688386904036,2301,4366,646,1228
IM,0.05,5,2673,2229,444,2789,0.5796385385515538,0.4934263562355529,1636,4769,243,1893
IM,0.1,3,5826,4040,1786,978,0.7451125046108448,0.6090331144494212,2651,4279,733,878
IM,0.1,4,4136,3281,855,1737,0.7168450950404195,0.5946722499968756,2238,4626,386,1291
IM,0.1,5,2527,2202,325,2816,0.5836978131212724,0.5151016401422088,1610,4851,161,1919
IM,0.15,3,4680,3883,797,1135,0.8007836667354093,0.711000215229766,2486,4834,178,1043
IM,0.15,4,3541,3166,375,1852,0.7398060521088913,0.6539541508060237,2130,4911,101,1399
IM,0.15,5,2283,2136,147,2882,0.5851253252979043,0.5410222757794005,1547,4962,50,1982
IM,0.2,3,4561,3831,730,1187,0.7998747259630441,0.7173302793120186,2467,4871,141,1062
IM,0.2,4,3467,3126,341,1892,0.7368296994696524,0.6564873700895658,2114,4930,82,1415
IM,0.2,5,2244,2114,130,2904,0.5822087579179289,0.5403954210439409,1529,4971,41,2000
IM,0.3,3,4151,3574,577,1444,0.7795833787763115,0.7095773104698611,2340,4940,72,1189
IM,0.3,4,3173,2919,254,2099,0.7127334879746064,0.6458119094283779,2004,4971,41,1525
IM,0.3,5,2073,1983,90,3035,0.5593005217881822,0.5305480226540373,1449,4992,20,2080
IM,0.35,3,4103,3538,565,1480,0.7757921280561342,0.7075904048933465,2324,4945,67,1205
IM,0.35,4,3139,2891,248,2127,0.7088390339585632,0.6439866683599199,1991,4974,38,1538
IM,0.35,5,2050,1962,88,3056,0.5551782682512734,0.5284577463518781,1438,4993,19,2091
IM,0.4,3,4093,3531,562,1487,0.7751070135001646,0.7070186998078192,2320,4946,66,1209
IM,0.4,4,3134,2886,248,2132,0.7080471050049068,0.6433308211857581,1988,4974,38,1541
IM,0.4,5,2046,1958,88,3060,0.5543601359003397,0.527776914401664,1435,4993,19,2094
IM,0.5,3,3893,3390,503,1628,0.7608573672988442,0.6994219915707396,2251,4970,42,1278
IM,0.5,4,2995,2785,210,2233,0.6951204293023836,0.6362779397060548,1932,4989,23,1597
IM,0.5,5,1962,1889,73,3129,0.5412607449856733,0.5193223653279254,1387,4999,13,2142
IM,0.65,3,3892,3390,502,1628,0.7609427609427609,0.6997402982001383,2251,4971,41,1278
IM,0.65,4,2995,2785,210,2233,0.6951204293023836,0.6362779397060548,1932,4989,23,1597
IM,0.65,5,1962,1889,73,3129,0.5412607449856733,0.5193223653279254,1387,4999,13,2142
IM,0.7,3,3881,3381,500,1637,0.7598606585009552,0.6994042846180127,2248,4972,40,1281
IM,0.7,4,2985,2777,208,2241,0.6939897538423092,0.6355382025198164,1927,4990,22,1602
IM,0.7,5,1954,1882,72,3136,0.5398737808376363,0.5185983274563108,1382,5000,12,2147
IM,0.75,3,3845,3354,491,1664,0.7568543382601828,0.697542433398056,2238,4973,39,1291
IM,0.75,4,2964,2758,206,2260,0.6910548734652968,0.6337967862491712,1919,4990,22,1610
IM,0.75,5,1944,1872,72,3146,0.5377765010054583,0.5174587207038227,1377,5000,12,2152
IM,0.8,3,3719,3256,463,1762,0.745335927663958,0.6868477000653511,2183,4977,35,1346
IM,0.8,4,2874,2680,194,2338,0.6791687785098834,0.6250532530152653,1874,4993,19,1655
IM,0.8,5,1893,1826,67,3192,0.5284329330053538,0.5128163286612445,1353,5002,10,2176
IM,0.85,3,3715,3252,463,1766,0.7447612504294058,0.6861945825112862,2180,4977,35,1349
IM,0.85,4,2871,2677,194,2341,0.6786664976549626,0.6243996488484649,1871,4993,19,1658
IM,0.85,5,1890,1823,67,3195,0.5277938621887667,0.5121303403560078,1350,5002,10,2179
IM,0.9,3,3150,2772,378,2246,0.6787463271302645,0.6409890786493756,1960,4985,27,1569
IM,0.9,4,2425,2264,161,2754,0.6083568453580546,0.5809936356171509,1661,5000,12,1868
IM,0.9,5,1606,1551,55,3467,0.46829710144927533,0.4782146648682665,1198,5005,7,2331
IM,0.95,3,3140,2764,376,2254,0.6776170630056387,0.64033551499599,1957,4985,27,1572
IM,0.95,4,2417,2256,161,2762,0.6068594485541359,0.5803328502078218,1658,5000,12,1871
IM,0.95,5,1601,1546,55,3472,0.46714005136727604,0.47750946035743386,1195,5005,7,2334
IM,1.0,3,2097,1851,246,3167,0.5203092059030219,0.5353633321167743,1456,5000,12,2073
IM,1.0,4,1606,1493,113,3525,0.4507850241545894,0.4807741251693051,1207,5006,6,2322
IM,1.0,5,1033,994,39,4024,0.32854073706825315,0.38644788504826266,823,5007,5,2706
