family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
A-N10,0.0,1,38713,4607,34106,411,0.21069721707713063
A-N10,0.0,2,25258,4552,20706,466,0.30070022460034346
A-N10,0.0,3,21230,4505,16725,513,0.3432642487046632
A-N10,0.0,4,18742,4459,14283,559,0.37533670033670036
A-N10,0.0,5,16931,4419,12512,599,0.40266071347213994
A-N10,0.0,6,15462,4357,11105,661,0.42548828124999993
A-N10,0.0,7,14168,4285,9883,733,0.44667987073908055
A-N10,0.0,8,12910,4192,8718,826,0.4676483712628291
A-N10,0.0,9,11609,4054,7555,964,0.4876405845913273
A-N10,0.0,10,9802,3750,6052,1268,0.5060728744939271
A-N10,0.05,1,28711,4592,24119,426,0.27228794212695306
A-N10,0.05,2,18924,4534,14390,484,0.3787486425528361
A-N10,0.05,3,16088,4487,11601,531,0.42518715057329676
A-N10,0.05,4,14369,4441,9928,577,0.4581420539536803
A-N10,0.05,5,13082,4402,8680,616,0.48640883977900545
A-N10,0.05,6,12052,4340,7712,678,0.5084944346807264
A-N10,0.05,7,11117,4267,6850,751,0.5289123024480943
A-N10,0.05,8,10225,4175,6050,843,0.5477924293118153
A-N10,0.05,9,9281,4041,5240,977,0.5652143506538919
A-N10,0.05,10,7994,3740,4254,1278,0.5748539809406701
A-N10,0.1,1,13024,4541,8483,477,0.5033809998891475
A-N10,0.1,2,9907,4481,5426,537,0.6004690117252931
A-N10,0.1,3,8704,4430,4274,588,0.6456784725258709
A-N10,0.1,4,7998,4385,3613,633,0.6737861094038108
A-N10,0.1,5,7520,4347,3173,671,0.6934120274365928
A-N10,0.1,6,7102,4284,2818,734,0.706930693069307
A-N10,0.1,7,6702,4215,2487,803,0.7192832764505118
A-N10,0.1,8,6331,4126,2205,892,0.7271125209269539
A-N10,0.1,9,5914,3993,1921,1025,0.7305159165751921
A-N10,0.1,10,5270,3703,1567,1315,0.7198678071539657
A-N10,0.15,1,7372,4372,3000,646,0.705730427764326
A-N10,0.15,2,6106,4310,1796,708,0.7749011147069398
A-N10,0.15,3,5563,4260,1303,758,0.8052168982137794
A-N10,0.15,4,5251,4219,1032,799,0.8216963677086376
A-N10,0.15,5,5024,4181,843,837,0.8327026488747261
A-N10,0.15,6,4821,4125,696,893,0.8384998475454823
A-N10,0.15,7,4639,4065,574,953,0.8418763591177383
A-N10,0.15,8,4475,3983,492,1035,0.8391446328873906
A-N10,0.15,9,4282,3858,424,1160,0.8296774193548386
A-N10,0.15,10,3911,3579,332,1439,0.801657520439019
A-N10,0.2,1,6952,4294,2658,724,0.7174603174603175
A-N10,0.2,2,5809,4230,1579,788,0.7813798836242726
A-N10,0.2,3,5311,4181,1130,837,0.8095653015780812
A-N10,0.2,4,5028,4136,892,882,0.8234123034043399
A-N10,0.2,5,4823,4100,723,918,0.8332486535921146
A-N10,0.2,6,4641,4047,594,971,0.8379749456465474
A-N10,0.2,7,4474,3989,485,1029,0.8404972608512432
A-N10,0.2,8,4323,3909,414,1109,0.8369553580987047
A-N10,0.2,9,4144,3791,353,1227,0.8275485701811832
A-N10,0.2,10,3800,3521,279,1497,0.7985937854388749
A-N10,0.25,1,6136,4058,2078,960,0.7276313430159583
A-N10,0.25,2,5194,3982,1212,1036,0.7798668233450843
A-N10,0.25,3,4780,3934,846,1084,0.8030210246989182
A-N10,0.25,4,4543,3890,653,1128,0.8137224139734338
A-N10,0.25,5,4368,3854,514,1164,0.8212230982314085
A-N10,0.25,6,4219,3802,417,1216,0.8232109992421782
A-N10,0.25,7,4084,3752,332,1266,0.8244341902878488
A-N10,0.25,8,3952,3677,275,1341,0.8198439241917502
A-N10,0.25,9,3797,3567,230,1451,0.8093023255813953
A-N10,0.25,10,3492,3316,176,1702,0.7793184488836663
A-N10,0.3,1,6135,4058,2077,960,0.727696583878777
A-N10,0.3,2,5194,3982,1212,1036,0.7798668233450843
A-N10,0.3,3,4780,3934,846,1084,0.8030210246989182
A-N10,0.3,4,4543,3890,653,1128,0.8137224139734338
A-N10,0.3,5,4368,3854,514,1164,0.8212230982314085
A-N10,0.3,6,4219,3802,417,1216,0.8232109992421782
A-N10,0.3,7,4084,3752,332,1266,0.8244341902878488
A-N10,0.3,8,3952,3677,275,1341,0.8198439241917502
A-N10,0.3,9,3797,3567,230,1451,0.8093023255813953
A-N10,0.3,10,3492,3316,176,1702,0.7793184488836663
A-N10,0.35,1,6086,4039,2047,979,0.7274855907780979
A-N10,0.35,2,5159,3964,1195,1054,0.7790114965117422
A-N10,0.35,3,4753,3916,837,1102,0.8015556237846688
A-N10,0.35,4,4517,3872,645,1146,0.8121657052962769
A-N10,0.35,5,4345,3837,508,1181,0.8196090996475489
A-N10,0.35,6,4196,3785,411,1233,0.8215758628174517
A-N10,0.35,7,4062,3736,326,1282,0.8229074889867841
A-N10,0.35,8,3931,3662,269,1356,0.8184154654151302
A-N10,0.35,9,3776,3552,224,1466,0.8078235160336594
A-N10,0.35,10,3476,3304,172,1714,0.7779609135860608
A-N10,0.4,1,6064,4032,2032,986,0.7276664861938279
A-N10,0.4,2,5140,3956,1184,1062,0.7788934829690884
A-N10,0.4,3,4741,3909,832,1109,0.8011066707654473
A-N10,0.4,4,4505,3865,640,1153,0.8117189961146697
A-N10,0.4,5,4333,3830,503,1188,0.8191637258047267
A-N10,0.4,6,4185,3778,407,1240,0.8210366184939694
