family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
FOURTH-N5,0.0,1,43790,4763,39027,255,0.19517292247172593
FOURTH-N5,0.0,2,27314,4703,22611,315,0.29091921316342945
FOURTH-N5,0.0,3,21892,4659,17233,359,0.3462653288740245
FOURTH-N5,0.0,4,18327,4576,13751,442,0.39203255515099594
FOURTH-N5,0.0,5,14889,4406,10483,612,0.44265836138041886
FOURTH-N5,0.01,1,32021,4761,27260,257,0.2570803747401388
FOURTH-N5,0.01,2,21924,4697,17227,321,0.34867493133397676
FOURTH-N5,0.01,3,17950,4653,13297,365,0.4051724137931035
FOURTH-N5,0.01,4,15304,4571,10733,447,0.4498572975100876
FOURTH-N5,0.01,5,12605,4401,8204,617,0.49946093173693473
FOURTH-N5,0.02,1,19856,4745,15111,273,0.381522875291469
FOURTH-N5,0.02,2,14576,4685,9891,333,0.4782076145758905
FOURTH-N5,0.02,3,12358,4641,7717,377,0.5341850828729282
FOURTH-N5,0.02,4,10833,4563,6270,455,0.5757365465901205
FOURTH-N5,0.02,5,9270,4392,4878,626,0.6147816349384099
FOURTH-N5,0.05,1,18965,4743,14222,275,0.3955301672017679
FOURTH-N5,0.05,2,14001,4683,9318,335,0.49245491350754506
FOURTH-N5,0.05,3,11898,4639,7259,379,0.5484748167415465
FOURTH-N5,0.05,4,10453,4562,5891,456,0.5897485618253507
FOURTH-N5,0.05,5,8969,4392,4577,626,0.6280117251733752
FOURTH-N5,0.08,1,9770,4720,5050,298,0.6383554233162024
FOURTH-N5,0.08,2,7650,4657,2993,361,0.7352383959583202
FOURTH-N5,0.08,3,6770,4617,2153,401,0.7833389888021717
FOURTH-N5,0.08,4,6184,4540,1644,478,0.8105695411533653
FOURTH-N5,0.08,5,5580,4373,1207,645,0.825250047178713
FOURTH-N5,0.1,1,9768,4720,5048,298,0.638441769241174
FOURTH-N5,0.1,2,7650,4657,2993,361,0.7352383959583202
FOURTH-N5,0.1,3,6770,4617,2153,401,0.7833389888021717
FOURTH-N5,0.1,4,6184,4540,1644,478,0.8105695411533653
FOURTH-N5,0.1,5,5580,4373,1207,645,0.825250047178713
FOURTH-N5,0.15,1,9432,4717,4715,301,0.6528719723183389
FOURTH-N5,0.15,2,7429,4655,2774,363,0.7479713987306179
FOURTH-N5,0.15,3,6592,4615,1977,403,0.7950043066322137
FOURTH-N5,0.15,4,6037,4539,1498,479,0.8211668928086838
FOURTH-N5,0.15,5,5469,4372,1097,646,0.8337942214169924
FOURTH-N5,0.2,1,9045,4714,4331,304,0.6704117186944464
FOURTH-N5,0.2,2,7178,4652,2526,366,0.762873073138734
FOURTH-N5,0.2,3,6393,4612,1781,406,0.8083428270966612
FOURTH-N5,0.2,4,5872,4537,1335,481,0.8332415059687787
FOURTH-N5,0.2,5,5340,4370,970,648,0.8437922378837613
FOURTH-N5,0.25,1,9001,4713,4288,305,0.6723732077894287
FOURTH-N5,0.25,2,7149,4651,2498,367,0.7645269992602942
FOURTH-N5,0.25,3,6369,4611,1758,407,0.8098709054184596
FOURTH-N5,0.25,4,5852,4536,1316,482,0.834590616375345
FOURTH-N5,0.25,5,5323,4369,954,649,0.8449859781452471
FOURTH-N5,0.3,1,8945,4713,4232,305,0.6750698274009883
FOURTH-N5,0.3,2,7111,4651,2460,367,0.7669222524527991
FOURTH-N5,0.3,3,6342,4611,1731,407,0.8117957746478873
FOURTH-N5,0.3,4,5828,4536,1292,482,0.8364373962751245
FOURTH-N5,0.3,5,5301,4369,932,649,0.8467874794069193
FOURTH-N5,0.35,1,8944,4713,4231,305,0.675118177911474
FOURTH-N5,0.35,2,7110,4651,2459,367,0.7669854881266489
FOURTH-N5,0.35,3,6341,4611,1730,407,0.8118672418346687
