family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
T03,0.0,3,13945,4410,9535,608,0.46511627906976744,0.19790767737125317,3080,1480,3532,449
T03,0.0,4,9910,4095,5815,923,0.5486334405144695,0.2731427402197696,2805,2364,2648,724
T03,0.0,5,6578,3496,3082,1522,0.6029665401862712,0.34691224536112275,2385,3387,1625,1144
T03,0.05,3,10952,4392,6560,626,0.5500313087038197,0.30727023312073676,2942,2315,2697,587
T03,0.05,4,8194,4084,4110,934,0.6182258552830759,0.36197529880952184,2687,3030,1982,842
T03,0.05,5,5673,3486,2187,1532,0.6521373117575531,0.41575864514546856,2302,3823,1189,1227
T03,0.1,3,7459,4330,3129,688,0.6940771018674361,0.46090637330358214,2719,3496,1516,810
T03,0.1,4,6047,4027,2020,991,0.7278807049254407,0.4904380467556077,2501,3924,1088,1028
T03,0.1,5,4601,3441,1160,1577,0.7154589874207299,0.5133288526195979,2188,4365,647,1341
T03,0.15,3,4905,4161,744,857,0.8386576640128992,0.6888658339581711,2461,4776,236,1068
T03,0.15,4,4350,3885,465,1133,0.8294192997438087,0.6691220893491632,2297,4838,174,1232
T03,0.15,5,3601,3331,270,1687,0.7729434969253974,0.6301325143261782,2032,4905,107,1497
T03,0.2,3,4762,4107,655,911,0.8398773006134969,0.6954603427911745,2438,4818,194,1091
T03,0.2,4,4242,3835,407,1183,0.82829373650108,0.6742536032791896,2280,4868,144,1249
T03,0.2,5,3518,3287,231,1731,0.7701499531396437,0.6340915934744122,2016,4928,84,1513
T03,0.3,3,4279,3838,441,1180,0.8256426804345488,0.7050960912662367,2335,4929,83,1194
T03,0.3,4,3847,3587,260,1431,0.8092498589960518,0.6777014291098797,2181,4950,62,1348
T03,0.3,5,3231,3091,140,1927,0.7494241726269851,0.6320780325742715,1935,4975,37,1594
T03,0.35,3,4212,3795,417,1223,0.8223185265438787,0.7036623774812784,2316,4938,74,1213
T03,0.35,4,3789,3548,241,1470,0.8057227205631884,0.6760018150623487,2163,4957,55,1366
T03,0.35,5,3190,3060,130,1958,0.7456140350877193,0.6303995263308373,1921,4979,33,1608
T03,0.4,3,4204,3788,416,1230,0.8215137714161789,0.7029999646687186,2313,4938,74,1216
T03,0.4,4,3785,3544,241,1474,0.8051800522549132,0.6757825212396008,2162,4957,55,1367
T03,0.4,5,3187,3057,130,1961,0.7451553930530165,0.6301807997926326,1920,4979,33,1609
T03,0.5,3,3992,3619,373,1399,0.8033296337402885,0.6910820929106175,2239,4952,60,1290
T03,0.5,4,3593,3384,209,1634,0.7859714318894436,0.6644939965188108,2091,4970,42,1438
T03,0.5,5,3040,2930,110,2088,0.7272275999007197,0.6206618564208752,1862,4988,24,1667
T03,0.6,3,3990,3618,372,1400,0.8032859680284192,0.690862444012536,2238,4952,60,1291
T03,0.6,4,3591,3383,208,1635,0.7859217098385409,0.6642755645762557,2090,4970,42,1439
T03,0.6,5,3039,2929,110,2089,0.7270696288941293,0.6204433804806108,1861,4988,24,1668
T03,0.65,3,3988,3617,371,1401,0.8032422829224962,0.6906427959307886,2237,4952,60,1292
T03,0.65,4,3589,3382,207,1636,0.7858719646799116,0.6640571291471786,2089,4970,42,1440
T03,0.65,5,3037,2928,109,2090,0.727001862197393,0.6202248933401345,1860,4988,24,1669
T03,0.7,3,3980,3611,369,1407,0.8026228050677928,0.6905203255895603,2235,4953,59,1294
T03,0.7,4,3581,3376,205,1642,0.7852075822770088,0.6639515461351532,2087,4971,41,1442
T03,0.7,5,3031,2923,108,2095,0.7263014039011058,0.619787885293129,1858,4988,24,1671
T03,0.75,3,3967,3602,365,1416,0.8017807456872565,0.6889833417233716,2228,4953,59,1301
T03,0.75,4,3570,3368,202,1650,0.7843502561714019,0.6628596930687566,2082,4971,41,1447
T03,0.75,5,3023,2915,108,2103,0.7250341997264022,0.6189137329746903,1854,4988,24,1675
T03,0.8,3,3828,3477,351,1541,0.7861180194438163,0.6780785720233694,2171,4958,54,1358
T03,0.8,4,3438,3247,191,1771,0.7679754020813624,0.6512172145559523,2021,4976,36,1508
T03,0.8,5,2916,2814,102,2204,0.7093521552810688,0.6086152772582473,1802,4991,21,1727
T03,0.85,3,3826,3477,349,1541,0.7862957937584802,0.6778593669228,2170,4958,54,1359
T03,0.85,4,3436,3247,189,1771,0.7681570854033594,0.6509989694053476,2020,4976,36,1509
T03,0.85,5,2914,2814,100,2204,0.7095310136157338,0.6083963613760915,1801,4991,21,1728
T03,0.9,3,3292,3012,280,2006,0.7249097472924189,0.6376869306220002,1970,4969,43,1559
T03,0.9,4,2932,2790,142,2228,0.7018867924528303,0.6093033682332886,1815,4985,27,1714
T03,0.9,5,2495,2427,68,2591,0.6460801277785173,0.5701328844937387,1617,4997,15,1912
T03,0.95,3,3284,3005,279,2013,0.7239219465189111,0.6368100594345566,1966,4969,43,1563
T03,0.95,4,2924,2783,141,2235,0.7008310249307479,0.6082064841444736,1810,4985,27,1719
T03,0.95,5,2487,2420,67,2598,0.6449033977348434,0.5690251498166733,1612,4997,15,1917
T03,0.98,3,2267,2081,186,2937,0.5713109128345917,0.54076518057128,1503,4987,25,2026
T03,0.98,4,1978,1896,82,3122,0.5420240137221269,0.5147990590872679,1369,4998,14,2160
T03,0.98,5,1672,1632,40,3386,0.4878923766816143,0.4798583486793634,1205,5005,7,2324
T03,1.0,3,2264,2078,186,2940,0.5707223290304861,0.5405395089742498,1502,4987,25,2027
T03,1.0,4,1976,1894,82,3124,0.5416070917929654,0.5145704298401949,1368,4998,14,2161
T03,1.0,5,1670,1630,40,3388,0.48744019138755984,0.4796236895124402,1204,5005,7,2325
