family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
B-N5,0.0,1,43790,4763,39027,255,0.19517292247172593
B-N5,0.0,2,27314,4703,22611,315,0.29091921316342945
B-N5,0.0,3,21892,4659,17233,359,0.3462653288740245
B-N5,0.0,4,18327,4576,13751,442,0.39203255515099594
B-N5,0.0,5,14889,4406,10483,612,0.44265836138041886
B-N5,0.05,1,32417,4739,27678,279,0.25318552157072255
B-N5,0.05,2,20491,4677,15814,341,0.3666941079618958
B-N5,0.05,3,16600,4633,11967,385,0.4286242945693404
B-N5,0.05,4,14039,4552,9487,466,0.4777247205751168
B-N5,0.05,5,11590,4384,7206,634,0.5279383429672447
B-N5,0.1,1,14218,4663,9555,355,0.4848201289249324
B-N5,0.1,2,10381,4602,5779,416,0.5977011494252873
B-N5,0.1,3,8860,4562,4298,456,0.6574434356535525
B-N5,0.1,4,7856,4479,3377,539,0.6958210346434673
B-N5,0.1,5,6889,4315,2574,703,0.7247837406567565
B-N5,0.15,1,7975,4498,3477,520,0.6923728161317633
B-N5,0.15,2,6312,4426,1886,592,0.781288614298323
B-N5,0.15,3,5629,4380,1249,638,0.8227669766131305
B-N5,0.15,4,5177,4301,876,717,0.8437469347719471
B-N5,0.15,5,4736,4147,589,871,0.8503178183309412
B-N5,0.2,1,7502,4423,3079,595,0.706549520766773
B-N5,0.2,2,5991,4354,1637,664,0.7909891906621854
B-N5,0.2,3,5374,4305,1069,713,0.8285219399538106
B-N5,0.2,4,4965,4231,734,787,0.8476409896824602
B-N5,0.2,5,4566,4081,485,937,0.8516277128547579
B-N5,0.25,1,6623,4191,2432,827,0.7200412335709989
B-N5,0.25,2,5404,4108,1296,910,0.7883323738246019
B-N5,0.25,3,4878,4056,822,962,0.8197251414713015
B-N5,0.25,4,4535,3989,546,1029,0.8351303255521826
B-N5,0.25,5,4210,3860,350,1158,0.8365843086259213
B-N5,0.3,1,6621,4190,2431,828,0.7199931265572643
B-N5,0.3,2,5403,4107,1296,911,0.7882161021015258
B-N5,0.3,3,4877,4055,822,963,0.8196058615462355
B-N5,0.3,4,4534,3988,546,1030,0.8350083752093802
B-N5,0.3,5,4209,3859,350,1159,0.8364582204400131
B-N5,0.35,1,6569,4170,2399,848,0.7197721584534391
B-N5,0.35,2,5368,4089,1279,929,0.7874061236279608
B-N5,0.35,3,4849,4039,810,979,0.8186885578189926
B-N5,0.35,4,4509,3972,537,1046,0.8338406633777684
B-N5,0.35,5,4188,3845,343,1173,0.8353247881816206
B-N5,0.4,1,6551,4162,2389,856,0.719509032759962
B-N5,0.4,2,5357,4083,1274,935,0.7870843373493976
B-N5,0.4,3,4839,4034,805,984,0.8185046160089275
B-N5,0.4,4,4500,3966,534,1052,0.8333683546963646
B-N5,0.4,5,4180,3840,340,1178,0.8349641226353555
B-N5,0.5,1,6269,4041,2228,977,0.7160450075307877
B-N5,0.5,2,5143,3959,1184,1059,0.7792540104320441
B-N5,0.5,3,4648,3909,739,1109,0.808814400993172
B-N5,0.5,4,4325,3844,481,1174,0.8228620357486888
B-N5,0.5,5,4022,3717,305,1301,0.8223451327433628
B-N5,0.6,1,6268,4040,2228,978,0.7159312422470318
B-N5,0.6,2,5142,3958,1184,1060,0.7791338582677165
B-N5,0.6,3,4647,3908,739,1110,0.8086911536471806
B-N5,0.6,4,4324,3843,481,1175,0.8227360308285163
B-N5,0.6,5,4021,3716,305,1302,0.8222148467750858
B-N5,0.65,1,6266,4038,2228,980,0.7157036511875222
B-N5,0.65,2,5140,3956,1184,1062,0.7788934829690884
B-N5,0.65,3,4645,3906,739,1112,0.8084445824278175
B-N5,0.65,4,4322,3841,481,1177,0.8224839400428265
B-N5,0.65,5,4019,3714,305,1304,0.8219541883368374
B-N5,0.7,1,6246,4025,2221,993,0.7146661931818181
B-N5,0.7,2,5125,3945,1180,1073,0.7778763679384798
B-N5,0.7,3,4633,3896,737,1122,0.8073774738369082
B-N5,0.7,4,4311,3831,480,1187,0.821309893879301
B-N5,0.7,5,4008,3704,304,1314,0.8207400842011965
B-N5,0.75,1,6221,4016,2205,1002,0.7146543286769286
B-N5,0.75,2,5104,3936,1168,1082,0.7777119146413753
B-N5,0.75,3,4617,3885,732,1133,0.8064348728593669
B-N5,0.75,4,4297,3822,475,1196,0.8206119162640902
B-N5,0.75,5,3997,3696,301,1322,0.8199667221297837
B-N5,0.8,1,6060,3925,2135,1093,0.7086116627550099
B-N5,0.8,2,4971,3842,1129,1176,0.7692461707878667
B-N5,0.8,3,4497,3790,707,1228,0.7966368891224381
B-N5,0.8,4,4182,3728,454,1290,0.8104347826086956
B-N5,0.8,5,3892,3607,285,1411,0.809652076318743
B-N5,0.85,1,6057,3925,2132,1093,0.708803611738149
B-N5,0.85,2,4969,3842,1127,1176,0.7694002202863722
B-N5,0.85,3,4496,3790,706,1228,0.7967206222409081
B-N5,0.85,4,4181,3728,453,1290,0.8105228829220568
B-N5,0.85,5,3892,3607,285,1411,0.809652076318743
B-N5,0.9,1,5524,3645,1879,1373,0.6915196357427434
B-N5,0.9,2,4553,3542,1011,1476,0.7401525441437677
B-N5,0.9,3,4117,3480,637,1538,0.761904761904762
B-N5,0.9,4,3827,3419,408,1599,0.7730921424533634
B-N5,0.9,5,3561,3307,254,1711,0.7709523254458563
B-N5,0.95,1,5519,3643,1876,1375,0.691468159817785
B-N5,0.95,2,4549,3539,1010,1479,0.7398348489599665
B-N5,0.95,3,4113,3477,636,1541,0.7615814259117292
B-N5,0.95,4,3823,3415,408,1603,0.7725370433208912
B-N5,0.95,5,3558,3304,254,1714,0.7705223880597014
B-N5,0.98,1,3911,2679,1232,2339,0.6000671967745549
B-N5,0.98,2,3206,2547,659,2471,0.6194066147859922
B-N5,0.98,3,2889,2468,421,2550,0.6242569874794486
B-N5,0.98,4,2671,2401,270,2617,0.6245285472753284
B-N5,0.98,5,2464,2295,169,2723,0.6134723336006415
B-N5,1.0,1,3908,2677,1231,2341,0.5998207483755321
B-N5,1.0,2,3204,2546,658,2472,0.6193140355144734
B-N5,1.0,3,2887,2467,420,2551,0.6241619228336497
B-N5,1.0,4,2670,2400,270,2618,0.6243496357960457
B-N5,1.0,5,2463,2294,169,2724,0.6132869937174175
