family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
UPL,0.0,3,16482,4255,12227,763,0.3958139534883721,-0.018294934483169996,3258,337,4675,271
UPL,0.0,4,14091,4170,9921,848,0.4364435606258831,0.02127119965261768,3187,552,4460,342
UPL,0.0,5,12276,4072,8204,946,0.47091476812767435,0.05632945945511904,3087,832,4180,442
UPL,0.0,6,10625,3910,6715,1108,0.49990411046474464,0.10488371187327801,2938,1281,3731,591
UPL,0.0,7,9362,3705,5657,1313,0.5152990264255911,0.14219358669313756,2775,1728,3284,754
UPL,0.0,8,8167,3499,4668,1519,0.5307546454304134,0.18046937598833984,2603,2200,2812,926
UPL,0.0,9,6945,3182,3763,1836,0.5319735852210984,0.20840907704551442,2380,2687,2325,1149
UPL,0.0,10,5369,2710,2659,2308,0.5218061037835756,0.2357039479559578,2064,3273,1739,1465
UPL,0.05,3,12545,4234,8311,784,0.4821499743779536,0.19008384356448296,3068,1463,3549,461
UPL,0.05,4,10875,4152,6723,866,0.522494179827597,0.21114770465399346,2988,1716,3296,541
UPL,0.05,5,9597,4055,5542,963,0.5549093397194663,0.2372282181300773,2908,1995,3017,621
UPL,0.05,6,8454,3894,4560,1124,0.5780878859857481,0.25717736190821877,2775,2328,2684,754
UPL,0.05,7,7527,3691,3836,1327,0.5884416102032682,0.2747129935144413,2623,2666,2346,906
UPL,0.05,8,6655,3487,3168,1531,0.5974471001456353,0.2961814473489558,2465,3017,1995,1064
UPL,0.05,9,5739,3171,2568,1847,0.5895695825973785,0.30901916372442684,2269,3357,1655,1260
UPL,0.05,10,4531,2700,1831,2318,0.5655042412818096,0.31748395108775235,1978,3769,1243,1551
UPL,0.1,3,7583,4191,3392,827,0.6651853027537497,0.4318539107791981,2720,3346,1666,809
UPL,0.1,4,6829,4112,2717,906,0.6941841816493627,0.4470221005621961,2643,3532,1480,886
UPL,0.1,5,6236,4018,2218,1000,0.7140572240980984,0.46173635585341577,2580,3689,1323,949
UPL,0.1,6,5697,3861,1836,1157,0.7206719552029865,0.47429704608954454,2494,3858,1154,1035
UPL,0.1,7,5235,3661,1574,1357,0.7141324490393056,0.47619993496128643,2381,4002,1010,1148
UPL,0.1,8,4763,3457,1306,1561,0.7068806870463143,0.4784933179040495,2249,4160,852,1280
UPL,0.1,9,4206,3144,1062,1874,0.6816999132697311,0.4736425378426238,2084,4312,700,1445
UPL,0.1,10,3463,2681,782,2337,0.6322367645324843,0.4543613854748613,1838,4474,538,1691
UPL,0.15,3,4958,4044,914,974,0.8107457898957497,0.6735491713208566,2407,4766,246,1122
UPL,0.15,4,4636,3970,666,1048,0.8224570126372489,0.6743157611298899,2357,4809,203,1172
UPL,0.15,5,4361,3880,481,1138,0.8273803177311013,0.6694609221550795,2305,4833,179,1224
UPL,0.15,6,4104,3734,370,1284,0.8186801140100853,0.6642338923757153,2245,4861,151,1284
UPL,0.15,7,3855,3542,313,1476,0.7983770990645778,0.6494712356148845,2155,4879,133,1374
UPL,0.15,8,3611,3348,263,1670,0.7759879476184958,0.6302621553759962,2047,4895,117,1482
UPL,0.15,9,3259,3047,212,1971,0.7362570979823607,0.602387442390359,1904,4908,104,1625
UPL,0.15,10,2766,2605,161,2413,0.6693216855087358,0.564159629176178,1701,4930,82,1828
UPL,0.2,3,4803,3988,815,1030,0.8121372568984828,0.6788506213466937,2373,4812,200,1156
UPL,0.2,4,4504,3917,587,1101,0.8227263180004202,0.6782217000769183,2324,4848,164,1205
UPL,0.2,5,4245,3827,418,1191,0.8262981755370831,0.6738791757322873,2277,4869,143,1252
UPL,0.2,6,4005,3684,321,1334,0.8165798514906351,0.6683245682339696,2221,4892,120,1308
UPL,0.2,7,3769,3499,270,1519,0.7964037783088652,0.653797665236569,2135,4907,105,1394
UPL,0.2,8,3540,3309,231,1709,0.7733115213835008,0.6342504839836902,2030,4919,93,1499
UPL,0.2,9,3194,3012,182,2006,0.7335606429615197,0.6066866242761019,1890,4930,82,1639
UPL,0.2,10,2713,2574,139,2444,0.6658905704307335,0.5667632314804714,1687,4946,66,1842
UPL,0.3,3,4400,3805,595,1213,0.8080271819919305,0.6894660625984151,2277,4920,92,1252
UPL,0.3,4,4157,3734,423,1284,0.813950953678474,0.6840839723906974,2233,4934,78,1296
UPL,0.3,5,3940,3649,291,1369,0.8146907791917838,0.6761458518030107,2187,4941,71,1342
UPL,0.3,6,3732,3516,216,1502,0.8036571428571428,0.6680171666588944,2134,4952,60,1395
UPL,0.3,7,3532,3347,185,1671,0.782923976608187,0.6525217279419762,2056,4957,55,1473
UPL,0.3,8,3332,3171,161,1847,0.7595209580838322,0.6326658435047896,1958,4962,50,1571
UPL,0.3,9,3009,2890,119,2128,0.7200697645446617,0.6054046496859847,1820,4971,41,1709
UPL,0.3,10,2558,2469,89,2549,0.6517951425554382,0.5670038443876557,1632,4980,32,1897
UPL,0.35,3,4370,3786,584,1232,0.8065615679590966,0.6886197508729892,2269,4923,89,1260
UPL,0.35,4,4131,3714,417,1304,0.8118920100557439,0.6826310919550349,2225,4935,77,1304
UPL,0.35,5,3915,3629,286,1389,0.8124930034702786,0.674701311718659,2179,4942,70,1350
UPL,0.35,6,3712,3499,213,1519,0.8016036655211913,0.6668039899269986,2127,4953,59,1402
UPL,0.35,7,3513,3331,182,1687,0.7809166568983706,0.6513162448583446,2049,4958,54,1480
UPL,0.35,8,3314,3156,158,1862,0.7575612097935669,0.6312477958519562,1950,4963,49,1579
UPL,0.35,9,2994,2878,116,2140,0.7184223664503245,0.6039951320456068,1812,4972,40,1717
UPL,0.35,10,2547,2460,87,2558,0.650363516192994,0.5662657415052583,1627,4981,31,1902
UPL,0.4,3,4363,3782,581,1236,0.8063106278648331,0.6881761943488741,2267,4923,89,1262
UPL,0.4,4,4126,3710,416,1308,0.8114610673665791,0.6821892902397264,2223,4935,77,1306
UPL,0.4,5,3911,3626,285,1392,0.8121850151192742,0.67448089146265,2178,4942,70,1351
UPL,0.4,6,3709,3497,212,1521,0.8014208777357625,0.6665843025370752,2126,4953,59,1403
UPL,0.4,7,3510,3329,181,1689,0.7807223264540337,0.6510966320948397,2048,4958,54,1481
UPL,0.4,8,3311,3154,157,1864,0.757353823988474,0.6310278889098151,1949,4963,49,1580
UPL,0.4,9,2991,2876,115,2142,0.718192033961793,0.6037744485999286,1811,4972,40,1718
UPL,0.4,10,2544,2458,86,2560,0.6500925681036763,0.5660425870668863,1626,4981,31,1903
UPL,0.6,3,4214,3681,533,1337,0.7974436741767763,0.6828519924952552,2226,4935,77,1303
UPL,0.6,4,3988,3608,380,1410,0.8012436153675329,0.67620044842431,2180,4946,66,1349
