family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
FOURTH-N3,0.0,1,36472,4724,31748,294,0.22771752229452882,0.06973508559206815,3285,553,4459,244
FOURTH-N3,0.0,2,22566,4660,17906,358,0.33787703016241294,0.09498530351938546,3231,739,4273,298
FOURTH-N3,0.0,3,16706,4506,12200,512,0.4148407291474867,0.13175460632161454,3129,1075,3937,400
FOURTH-N3,0.01,1,27325,4721,22604,297,0.2919333395170516,0.11639370641921157,3216,851,4161,313
FOURTH-N3,0.01,2,18451,4654,13797,364,0.3966082917891687,0.1530502111445045,3151,1131,3881,378
FOURTH-N3,0.01,3,14037,4499,9538,519,0.4722120178430858,0.19647516357179878,3061,1508,3504,468
FOURTH-N3,0.02,1,17346,4704,12642,314,0.4206760865676981,0.26014764693450265,3073,1818,3194,456
FOURTH-N3,0.02,2,12606,4643,7963,375,0.5268951429868362,0.291656581602386,2988,2147,2865,541
FOURTH-N3,0.02,3,10103,4490,5613,528,0.5938760663977249,0.3267122118193237,2907,2483,2529,622
FOURTH-N3,0.05,1,16599,4702,11897,316,0.43502798723227093,0.2784402388286068,3054,1953,3059,475
FOURTH-N3,0.05,2,12136,4642,7494,376,0.5412148769966189,0.312276787840952,2975,2284,2728,554
FOURTH-N3,0.05,3,9761,4489,5272,529,0.6074835915826511,0.34933235929784023,2895,2628,2384,634
FOURTH-N3,0.08,1,8817,4679,4138,339,0.6764004336826888,0.5890005102275453,2739,4089,923,790
FOURTH-N3,0.08,2,6889,4617,2272,401,0.7755102040816326,0.6131390919241756,2687,4257,755,842
FOURTH-N3,0.08,3,5909,4469,1440,549,0.8179738263018211,0.6270863093051853,2613,4396,616,916
FOURTH-N3,0.1,1,8815,4679,4136,339,0.6764982288729847,0.5892191104197414,2739,4090,922,790
FOURTH-N3,0.1,2,6889,4617,2272,401,0.7755102040816326,0.6131390919241756,2687,4257,755,842
FOURTH-N3,0.1,3,5909,4469,1440,549,0.8179738263018211,0.6270863093051853,2613,4396,616,916
FOURTH-N3,0.15,1,8524,4676,3848,342,0.6905922315758382,0.6103753745666256,2724,4203,809,805
FOURTH-N3,0.15,2,6701,4615,2086,403,0.7876098643228946,0.6314062747228155,2672,4352,660,857
FOURTH-N3,0.15,3,5781,4467,1314,551,0.827298823965182,0.6411424628768352,2601,4466,546,928
FOURTH-N3,0.2,1,8196,4672,3524,346,0.7071288027849251,0.626980841731402,2697,4306,706,832
FOURTH-N3,0.2,2,6501,4612,1889,406,0.8007639552044448,0.6486379133843796,2653,4444,568,876
FOURTH-N3,0.2,3,5628,4465,1163,553,0.8388126996054855,0.6581783453887833,2586,4549,463,943
FOURTH-N3,0.25,1,8159,4671,3488,347,0.7089625863246566,0.6294923139655034,2695,4319,693,834
FOURTH-N3,0.25,2,6476,4611,1865,407,0.8023316512963286,0.6515478533519473,2652,4457,555,877
FOURTH-N3,0.25,3,5608,4464,1144,554,0.8402032749858837,0.6607242200516837,2585,4560,452,944
FOURTH-N3,0.3,1,8109,4671,3438,347,0.7116629846880476,0.6341202720115638,2693,4341,671,836
FOURTH-N3,0.3,2,6443,4611,1832,407,0.8046418288107495,0.655442706162011,2648,4477,535,881
FOURTH-N3,0.3,3,5586,4464,1122,554,0.8419464353074311,0.6635487049382526,2583,4573,439,946
FOURTH-N3,0.35,1,8108,4671,3437,347,0.7117172024988572,0.6343543829644328,2693,4342,670,836
FOURTH-N3,0.35,2,6442,4611,1831,407,0.8047120418848168,0.6556877265764672,2648,4478,534,881
FOURTH-N3,0.35,3,5585,4464,1121,554,0.842025841742903,0.6638038845872919,2583,4574,438,946
FOURTH-N3,0.4,1,8076,4671,3405,347,0.7134565449824348,0.6364467958739722,2692,4352,660,837
FOURTH-N3,0.4,2,6424,4610,1814,408,0.8058031812620171,0.6569128836612735,2647,4484,528,882
FOURTH-N3,0.4,3,5570,4463,1107,555,0.8430298451076691,0.6643554263534039,2580,4579,433,949
FOURTH-N3,0.45,1,8052,4670,3382,348,0.7146136189747513,0.6392690583422799,2692,4364,648,837
FOURTH-N3,0.45,2,6405,4609,1796,409,0.8069683970935831,0.6598645505469848,2647,4496,516,882
FOURTH-N3,0.45,3,5557,4462,1095,556,0.8438770685579196,0.6666606499901988,2580,4588,424,949
FOURTH-N3,0.55,1,8032,4669,3363,349,0.7155555555555555,0.6421005183546052,2692,4376,636,837
FOURTH-N3,0.55,2,6389,4608,1781,410,0.8079249583589025,0.6620852564826868,2647,4505,507,882
FOURTH-N3,0.55,3,5545,4461,1084,557,0.8446464072706618,0.6687153804461945,2580,4596,416,949
FOURTH-N3,0.65,1,8029,4669,3360,349,0.7157200889093278,0.6423368917377236,2692,4377,635,837
FOURTH-N3,0.65,2,6386,4608,1778,410,0.8081374956155735,0.662332372155098,2647,4506,506,882
FOURTH-N3,0.65,3,5542,4461,1081,557,0.8448863636363635,0.6689725973295628,2580,4597,415,949
FOURTH-N3,0.7,1,8018,4669,3349,349,0.7163240257747775,0.643268730008718,2691,4382,630,838
FOURTH-N3,0.7,2,6380,4608,1772,410,0.8085629057729425,0.6633215792328286,2647,4510,502,882
FOURTH-N3,0.7,3,5538,4461,1077,557,0.8452065176203107,0.6694872823640615,2580,4599,413,949
FOURTH-N3,0.75,1,8013,4668,3345,350,0.7164453994321234,0.6437423958960001,2691,4384,628,838
FOURTH-N3,0.75,2,6377,4607,1770,411,0.8086002632733655,0.6635690674489183,2647,4511,501,882
FOURTH-N3,0.75,3,5537,4460,1077,558,0.8450971103742302,0.6694872823640615,2580,4599,413,949
FOURTH-N3,0.8,1,7982,4668,3314,350,0.7181538461538461,0.6456265559993808,2690,4393,619,839
FOURTH-N3,0.8,2,6362,4607,1755,411,0.809666080843585,0.6640694077979408,2645,4515,497,884
FOURTH-N3,0.8,3,5527,4460,1067,558,0.8458985301090564,0.6697614496352073,2579,4601,411,950
FOURTH-N3,0.85,1,7978,4668,3310,350,0.7183748845798708,0.6461017371090783,2690,4395,617,839
