temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
384,5,1,0.3069,0.1843,0.9175,0.2023,0.4167,0.1159,0.275,0.7553,0.9063,974
384,5,2,0.4472,0.2957,0.9175,0.3081,0.5687,0.1913,0.422,0.7553,0.9063,616
384,5,3,0.5183,0.368,0.8763,0.3695,0.6358,0.2446,0.5121,0.7142,0.8706,484
384,5,4,0.5775,0.4385,0.8454,0.421,0.6795,0.2981,0.5856,0.6765,0.8462,395
384,5,5,0.6639,0.5603,0.8144,0.5043,0.7454,0.3985,0.7097,0.641,0.8279,295
384,10,1,0.2514,0.1454,0.9278,0.1605,0.3618,0.0895,0.2281,0.76,0.9181,1246
384,10,2,0.3633,0.2265,0.9175,0.244,0.479,0.1435,0.3343,0.7553,0.9063,784
384,10,3,0.4208,0.273,0.9175,0.2864,0.5438,0.1736,0.3956,0.7553,0.9063,643
384,10,4,0.4757,0.3223,0.9072,0.3314,0.6026,0.2075,0.4638,0.7451,0.8983,556
384,10,5,0.4971,0.3454,0.8866,0.3459,0.6186,0.224,0.4906,0.7143,0.8818,502
384,10,6,0.5201,0.3717,0.866,0.3636,0.6379,0.2406,0.5204,0.6932,0.8649,464
384,10,7,0.5608,0.4171,0.8557,0.4084,0.6706,0.2812,0.5636,0.6842,0.856,425
384,10,8,0.5861,0.4545,0.8247,0.4308,0.6869,0.3129,0.5988,0.6525,0.837,379
384,10,9,0.6135,0.5,0.7938,0.4476,0.7114,0.3382,0.6541,0.6216,0.8115,319
384,10,10,0.6479,0.5948,0.7113,0.5,0.7222,0.4236,0.7562,0.5652,0.7317,235
384,30,1,0.1802,0.0997,0.9381,0.1099,0.2726,0.0591,0.1621,0.7667,0.928,1862
384,30,2,0.2619,0.1522,0.9381,0.164,0.3716,0.0913,0.2378,0.7667,0.928,1186
384,30,3,0.3138,0.1884,0.9381,0.2017,0.4328,0.1166,0.2892,0.7667,0.928,953
384,30,4,0.359,0.222,0.9381,0.2344,0.4832,0.1374,0.3345,0.7667,0.928,828
384,30,5,0.3808,0.2388,0.9381,0.2491,0.5056,0.1473,0.355,0.7667,0.928,770
384,30,6,0.4054,0.2594,0.9278,0.2713,0.5271,0.1633,0.3778,0.7641,0.9167,711
384,30,7,0.4208,0.273,0.9175,0.2857,0.5459,0.1734,0.3987,0.7553,0.9063,660
384,30,8,0.4384,0.288,0.9175,0.2987,0.5656,0.1835,0.4191,0.7553,0.9063,627
384,30,9,0.4623,0.309,0.9175,0.3163,0.5888,0.1959,0.4463,0.7553,0.9063,595
384,30,10,0.4721,0.3179,0.9175,0.3236,0.6005,0.2013,0.459,0.7553,0.9063,571
384,30,11,0.4759,0.3213,0.9175,0.3261,0.603,0.2046,0.4633,0.7553,0.9063,559
384,30,12,0.4863,0.3309,0.9175,0.3354,0.6117,0.2113,0.4732,0.7553,0.9063,538
384,30,13,0.5028,0.3463,0.9175,0.3498,0.6266,0.2218,0.4927,0.7553,0.9063,522
384,30,14,0.5205,0.3633,0.9175,0.3663,0.6427,0.2368,0.5129,0.7553,0.9063,499
384,30,15,0.5282,0.3708,0.9175,0.373,0.6497,0.2422,0.5203,0.7553,0.9063,486
384,30,16,0.5301,0.3745,0.9072,0.3727,0.651,0.2426,0.5258,0.7339,0.9024,477
384,30,17,0.5366,0.381,0.9072,0.3807,0.6555,0.2489,0.5309,0.7339,0.9024,472
384,30,18,0.5449,0.3894,0.9072,0.3876,0.6614,0.2558,0.5364,0.7339,0.9024,463
384,30,19,0.5566,0.4057,0.8866,0.4012,0.6705,0.2724,0.5498,0.7176,0.8866,439
384,30,20,0.5791,0.43,0.8866,0.4242,0.6887,0.2895,0.581,0.7176,0.8866,416
384,30,21,0.5833,0.4398,0.866,0.4246,0.6907,0.2993,0.5946,0.6956,0.8714,398
384,30,22,0.5971,0.4586,0.8557,0.44,0.7052,0.3118,0.6146,0.6842,0.856,383
384,30,23,0.6007,0.4659,0.8454,0.4436,0.7055,0.3191,0.6218,0.6741,0.8485,369
384,30,24,0.6154,0.4908,0.8247,0.4576,0.7173,0.3384,0.6481,0.6521,0.8359,346
384,30,25,0.627,0.5097,0.8144,0.4697,0.7259,0.3548,0.6646,0.6444,0.8261,325
384,30,26,0.629,0.5166,0.8041,0.4673,0.7278,0.3571,0.6752,0.6341,0.8172,317
384,30,27,0.6356,0.5396,0.7732,0.4831,0.7273,0.3819,0.7007,0.5966,0.8,295
384,30,28,0.6429,0.5669,0.7423,0.4855,0.7311,0.4,0.7279,0.5667,0.7727,267
384,30,29,0.6415,0.5913,0.701,0.5028,0.7117,0.4304,0.7426,0.5476,0.7347,244
384,30,30,0.623,0.6628,0.5876,0.4889,0.6774,0.5128,0.7872,0.4414,0.6364,186
