label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
55maps-text-high-t0.3-generalisation,20,0.6287,0.6147,0.6437,0.6591,0.6431,0.676,0.601,0.5848,0.6182
55maps-text-high-t0.3-generalisation,30,0.7621,0.7499,0.774,0.7989,0.7843,0.812,0.7285,0.7138,0.7437
55maps-text-high-t0.3-generalisation,40,0.7941,0.7827,0.8047,0.8324,0.8187,0.8445,0.7591,0.7449,0.774
55maps-text-high-t0.3-generalisation,50,0.8024,0.7911,0.8128,0.8411,0.8274,0.8526,0.7671,0.7527,0.7814
