label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
MINIMAL-t0.3-4of10,20,0.598,0.5487,0.6429,0.4704,0.4197,0.5205,0.8207,0.7817,0.8558
MINIMAL-t0.3-4of10,30,0.6583,0.6129,0.7007,0.5178,0.4659,0.5697,0.9034,0.8734,0.9301
MINIMAL-t0.3-4of10,40,0.665,0.6186,0.7068,0.5231,0.4714,0.5737,0.9126,0.8852,0.939
MINIMAL-t0.3-4of10,50,0.6683,0.6235,0.7105,0.5257,0.4732,0.5759,0.9172,0.8898,0.9432
