condition,replication,threshold,n_passes,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
C,1,1,5,0.2948,0.1827,0.7629,0.2082,0.367,0.1239,0.2449,0.5904,0.7833,405
C,1,2,5,0.5913,0.5113,0.701,0.4607,0.6504,0.4018,0.5986,0.5263,0.7411,133
C,1,3,5,0.6486,0.6818,0.6186,0.4938,0.7028,0.5568,0.7755,0.4389,0.6639,88
C,1,4,5,0.622,0.7612,0.5258,0.4699,0.6862,0.6212,0.8676,0.3611,0.5817,67
C,1,5,5,0.4545,0.8571,0.3093,0.3092,0.5218,0.7272,0.9545,0.193,0.3739,35
B,3,1,5,0.2708,0.1641,0.7732,0.1843,0.3556,0.1073,0.2329,0.6216,0.7857,457
B,3,2,5,0.5957,0.5072,0.7216,0.4766,0.6537,0.4019,0.6061,0.5667,0.7436,138
B,3,3,5,0.6806,0.6915,0.6701,0.5606,0.7256,0.5914,0.7879,0.5234,0.7041,94
B,3,4,5,0.5769,0.7627,0.4639,0.4137,0.6587,0.6521,0.8571,0.2941,0.5526,59
B,3,5,5,0.4242,0.8,0.2887,0.2714,0.5243,0.6664,0.9184,0.1681,0.3827,35
D,3,1,5,0.2751,0.166,0.8041,0.1858,0.3511,0.1074,0.2277,0.6341,0.8209,470
D,3,2,5,0.5823,0.4929,0.7113,0.4574,0.6433,0.3852,0.5915,0.5513,0.7399,140
D,3,3,5,0.6667,0.7093,0.6289,0.5263,0.7273,0.5946,0.8077,0.4651,0.6783,86
D,3,4,5,0.6386,0.7681,0.5464,0.5263,0.6855,0.6727,0.8608,0.421,0.5883,69
D,3,5,5,0.3651,0.7931,0.2371,0.2239,0.4626,0.6364,0.9311,0.1311,0.3182,29
E,1,1,5,0.2917,0.1792,0.7835,0.1977,0.3738,0.1162,0.2451,0.5979,0.8279,424
E,1,2,5,0.5887,0.5075,0.701,0.4551,0.6667,0.3893,0.6148,0.5322,0.7501,134
E,1,3,5,0.6378,0.6705,0.6082,0.4999,0.7125,0.5532,0.7864,0.4415,0.6814,88
E,1,4,5,0.5369,0.7692,0.4124,0.3593,0.6345,0.629,0.8958,0.2481,0.5071,52
E,1,5,5,0.314,0.7917,0.1959,0.179,0.4106,0.5998,0.9616,0.1028,0.272,24
E,3,1,5,0.2863,0.1756,0.7732,0.1948,0.3701,0.1144,0.2486,0.6071,0.8,427
E,3,2,5,0.6114,0.5303,0.7216,0.4753,0.6836,0.4095,0.6423,0.5476,0.7634,132
E,3,3,5,0.625,0.6316,0.6186,0.4903,0.6923,0.5161,0.7392,0.4631,0.6668,95
E,3,4,5,0.557,0.7213,0.4536,0.3913,0.6566,0.6101,0.8261,0.2844,0.5671,61
E,3,5,5,0.4526,0.775,0.3196,0.2788,0.5609,0.6128,0.9032,0.1765,0.4215,40
D,5,1,5,0.3089,0.19,0.8247,0.2168,0.3852,0.128,0.2545,0.6522,0.8447,421
D,5,2,5,0.5812,0.4964,0.701,0.4354,0.6459,0.375,0.5893,0.5125,0.7408,137
D,5,3,5,0.6632,0.6774,0.6495,0.5114,0.7194,0.5352,0.7843,0.4762,0.6862,93
D,5,4,5,0.6626,0.8182,0.5567,0.5147,0.7182,0.7143,0.8988,0.3909,0.6216,66
D,5,5,5,0.5109,0.875,0.3608,0.3486,0.6236,0.7599,0.973,0.2232,0.4711,40
D,4,1,5,0.2962,0.182,0.7938,0.2008,0.3801,0.1192,0.2519,0.625,0.8144,423
D,4,2,5,0.5847,0.4964,0.7113,0.4574,0.6461,0.3826,0.5829,0.5476,0.75,139
D,4,3,5,0.6737,0.6882,0.6598,0.5366,0.7387,0.566,0.7845,0.4938,0.7144,93
D,4,4,5,0.6545,0.7941,0.5567,0.5109,0.7066,0.6885,0.8816,0.3958,0.6154,68
D,4,5,5,0.4427,0.8529,0.299,0.2857,0.5373,0.7097,0.9677,0.1732,0.3854,34
C,2,1,5,0.3126,0.194,0.8041,0.2227,0.388,0.1329,0.2558,0.6383,0.8283,402
C,2,2,5,0.5837,0.5,0.701,0.4725,0.6308,0.4021,0.5737,0.5476,0.7251,136
C,2,3,5,0.6593,0.7059,0.6186,0.5255,0.7101,0.5965,0.7865,0.4574,0.6667,85
C,2,4,5,0.6456,0.8361,0.5258,0.4892,0.7134,0.7333,0.925,0.3578,0.6036,61
C,2,5,5,0.4662,0.8611,0.3196,0.2975,0.5595,0.7407,0.9643,0.1835,0.4074,36
B,4,1,5,0.2806,0.1695,0.8144,0.1885,0.3562,0.1099,0.2313,0.6234,0.8462,466
B,4,2,5,0.5907,0.5,0.7216,0.4574,0.6617,0.3846,0.6039,0.5454,0.7543,140
B,4,3,5,0.6907,0.6907,0.6907,0.5536,0.7446,0.5774,0.7852,0.5166,0.7308,97
B,4,4,5,0.6145,0.7391,0.5258,0.4719,0.6723,0.6086,0.8379,0.3766,0.5794,69
B,4,5,5,0.4242,0.8,0.2887,0.2975,0.4795,0.6562,0.9143,0.1869,0.3361,35
