item_id,current_queue_index,reasons,verdict,displacement_m,n_candidates_in_range,n_marks_sharing_partner,marked_at
corrected_student:3764,140,jitter_precision,distinct,12.183055425711142,,,2026-08-05T12:03:35.090070+00:00
corrected_student:3786,141,jitter_precision,distinct,2.563589084899032,,,2026-08-05T12:03:38.173969+00:00
corrected_student:3863,144,jitter_precision,distinct,3.44065075744867,,,2026-08-05T12:03:52.614212+00:00
corrected_student:3870,145,jitter_precision,distinct,4.360943194923497,,,2026-08-05T12:03:56.216269+00:00
corrected_student:3900,149,jitter_precision,distinct,1.779432727157642,,,2026-08-05T12:04:08.246489+00:00
corrected_student:3957,152,jitter_precision,distinct,3.7653121861100254,,,2026-08-05T12:04:17.057987+00:00
corrected_student:3997,154,jitter_precision,distinct,15.805231770262507,,,2026-08-05T12:04:24.278901+00:00
corrected_student:4000,155,jitter_precision,distinct,21.406074262249,,,2026-08-05T12:04:27.296563+00:00
corrected_student:4233,181,jitter_precision,distinct,10.422817521532696,,,2026-08-05T12:06:20.880299+00:00
corrected_student:4235,182,jitter_precision,distinct,2.4937025585345807,,,2026-08-05T12:06:27.285899+00:00
corrected_student:4242,183,jitter_precision,distinct,7.653858244058932,,,2026-08-05T12:06:37.278428+00:00
corrected_student:4299,184,jitter_precision,distinct,0.4777200775563542,,,2026-08-05T12:06:41.876142+00:00
corrected_student:4425,187,jitter_precision,distinct,5.977277806906973,,,2026-08-05T12:06:56.334210+00:00
corrected_student:4426,188,jitter_precision,distinct,7.044225854588107,,,2026-08-05T12:06:59.429039+00:00
corrected_student:4476,189,jitter_precision,distinct,5.511480448355336,,,2026-08-05T12:07:03.287733+00:00
corrected_student:4490,190,jitter_precision,distinct,3.070959909940817,,,2026-08-05T12:07:07.679107+00:00
corrected_student:4546,192,jitter_precision,distinct,8.230925896612387,,,2026-08-05T12:07:23.897335+00:00
corrected_student:4576,196,jitter_precision,distinct,8.672807460218028,,,2026-08-05T12:07:37.749172+00:00
corrected_student:4629,197,jitter_precision,distinct,8.388889608436443,,,2026-08-05T12:07:41.170925+00:00
corrected_student:4700,201,jitter_precision,distinct,10.447931928596324,,,2026-08-05T12:07:59.900300+00:00
promoted_phantom:1,204,rule_consistency,distinct,13.110200521018292,,,2026-08-05T03:32:19.110074+00:00
promoted_phantom:8,205,rule_consistency,distinct,16.329358320411945,,,2026-08-05T04:01:22.949814+00:00
promoted_phantom:11,206,rule_consistency,distinct,12.443157708639315,,,2026-08-05T04:02:20.612368+00:00
promoted_phantom:12,207,rule_consistency,distinct,17.33928026294327,,,2026-08-05T04:02:35.973249+00:00
promoted_phantom:13,208,rule_consistency,distinct,6.171291197536091,,,2026-08-05T04:02:44.469496+00:00
promoted_phantom:15,209,rule_consistency,distinct,10.267714604737632,,,2026-08-05T04:03:05.943625+00:00
promoted_phantom:19,210,rule_consistency,distinct,0.8815658574443352,,,2026-08-05T04:03:29.205898+00:00
promoted_phantom:20,211,rule_consistency,distinct,2.776154308774556,,,2026-08-05T04:03:33.080723+00:00
