condition,run,f1,precision,recall,n_detections
canonical,1,0.5297,0.4754,0.5979,122
canonical,10,0.5297,0.4754,0.5979,122
canonical,2,0.5138,0.4628,0.5773,121
canonical,3,0.5297,0.4754,0.5979,122
canonical,4,0.5297,0.4754,0.5979,122
canonical,5,0.5297,0.4754,0.5979,122
canonical,6,0.5297,0.4754,0.5979,122
canonical,7,0.5297,0.4754,0.5979,122
canonical,8,0.5297,0.4754,0.5979,122
canonical,9,0.5297,0.4754,0.5979,122
scale-4,1,0.5617,0.4783,0.6804,138
scale-4,10,0.5617,0.4783,0.6804,138
scale-4,2,0.5617,0.4783,0.6804,138
scale-4,3,0.5617,0.4783,0.6804,138
scale-4,4,0.5617,0.4783,0.6804,138
scale-4,5,0.5678,0.482,0.6907,139
scale-4,6,0.5617,0.4783,0.6804,138
scale-4,7,0.5617,0.4783,0.6804,138
scale-4,8,0.5678,0.482,0.6907,139
scale-4,9,0.5678,0.482,0.6907,139
scale-8,1,0.5726,0.4891,0.6907,137
scale-8,10,0.5628,0.4851,0.6701,134
scale-8,2,0.5628,0.4851,0.6701,134
scale-8,3,0.5726,0.4891,0.6907,137
scale-8,4,0.5628,0.4851,0.6701,134
scale-8,5,0.5897,0.5036,0.7113,137
scale-8,6,0.5776,0.4963,0.6907,135
scale-8,7,0.5628,0.4851,0.6701,134
scale-8,8,0.5714,0.4925,0.6804,134
scale-8,9,0.5628,0.4851,0.6701,134
plus-hp,1,0.6201,0.5379,0.732,132
plus-hp,10,0.6201,0.5379,0.732,132
plus-hp,2,0.5823,0.4929,0.7113,140
plus-hp,3,0.5823,0.4929,0.7113,140
plus-hp,4,0.6201,0.5379,0.732,132
plus-hp,5,0.6201,0.5379,0.732,132
plus-hp,6,0.5823,0.4929,0.7113,140
plus-hp,7,0.6201,0.5379,0.732,132
plus-hp,8,0.6201,0.5379,0.732,132
plus-hp,9,0.6201,0.5379,0.732,132
pure-positive-canon,1,0.6133,0.5391,0.7113,128
pure-positive-canon,10,0.5956,0.5234,0.6907,128
pure-positive-canon,2,0.5956,0.5234,0.6907,128
pure-positive-canon,3,0.5956,0.5234,0.6907,128
pure-positive-canon,4,0.6133,0.5391,0.7113,128
pure-positive-canon,5,0.6133,0.5391,0.7113,128
pure-positive-canon,6,0.5956,0.5234,0.6907,128
pure-positive-canon,7,0.6133,0.5391,0.7113,128
pure-positive-canon,8,0.5956,0.5234,0.6907,128
pure-positive-canon,9,0.5956,0.5234,0.6907,128
