rung,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
IM-5pass,0.0,3,7878,4111.0,3767.0,907.0,0.637562034739454,0.4274628275478774,2742,3291,1721,787
IM-5pass,0.0,4,4982,3334.0,1648.0,1684.0,0.6668,0.4950750015102533,2330,4142,870,1199
IM-5pass,0.0,5,2823,2235.0,588.0,2783.0,0.5700803468945287,0.47050293664700327,1666,4675,337,1863
IM-5pass,0.05,3,6884,4089.0,2795.0,929.0,0.6871114098470846,0.5039416705462922,2681,3761,1251,848
IM-5pass,0.05,4,4570,3316.0,1254.0,1702.0,0.6916979557780559,0.5426385322394048,2288,4382,630,1241
IM-5pass,0.05,5,2673,2229.0,444.0,2789.0,0.5796385385515538,0.4997998174825548,1650,4778,234,1879
IM-5pass,0.1,3,5826,4040.0,1786.0,978.0,0.7451125046108448,0.603970103646587,2595,4318,694,934
IM-5pass,0.1,4,4136,3281.0,855.0,1737.0,0.7168450950404195,0.5950484233697848,2228,4636,376,1301
IM-5pass,0.1,5,2527,2202.0,325.0,2816.0,0.5836978131212724,0.5198005551746642,1621,4857,155,1908
IM-5pass,0.15,3,4680,3883.0,797.0,1135.0,0.8007836667354093,0.7087071385083928,2443,4860,152,1086
IM-5pass,0.15,4,3541,3166.0,375.0,1852.0,0.7398060521088913,0.6576877107136585,2131,4922,90,1398
IM-5pass,0.15,5,2283,2136.0,147.0,2882.0,0.5851253252979043,0.5458842064603989,1560,4967,45,1969
IM-5pass,0.2,3,4561,3831.0,730.0,1187.0,0.7998747259630441,0.7138745110646613,2423,4893,119,1106
IM-5pass,0.2,4,3467,3126.0,341.0,1892.0,0.7368296994696524,0.6597206536918931,2114,4940,72,1415
IM-5pass,0.2,5,2244,2114.0,130.0,2904.0,0.5822087579179289,0.5452729543906542,1542,4976,36,1987
IM-5pass,0.3,3,4151,3574.0,577.0,1444.0,0.7795833787763115,0.7056688102287586,2294,4960,52,1235
IM-5pass,0.3,4,3173,2919.0,254.0,2099.0,0.7127334879746064,0.6472437186810803,1995,4981,31,1534
IM-5pass,0.3,5,2073,1983.0,90.0,3035.0,0.5593005217881822,0.5346014503488378,1458,4997,15,2071
IM-5pass,0.35,3,4103,3538.0,565.0,1480.0,0.7757921280561342,0.7039568105345926,2279,4965,47,1250
IM-5pass,0.35,4,3139,2891.0,248.0,2127.0,0.7088390339585632,0.6452192765231061,1981,4984,28,1548
IM-5pass,0.35,5,2050,1962.0,88.0,3056.0,0.5551782682512734,0.5316184102344916,1443,4998,14,2086
IM-5pass,0.4,3,4093,3531.0,562.0,1487.0,0.7751070135001646,0.7033975877691151,2275,4966,46,1254
IM-5pass,0.4,4,3134,2886.0,248.0,2132.0,0.7080471050049068,0.644565891814577,1978,4984,28,1551
IM-5pass,0.4,5,2046,1958.0,88.0,3060.0,0.5543601359003397,0.5309401675300491,1440,4998,14,2089
IM-5pass,0.5,3,3893,3390.0,503.0,1628.0,0.7608573672988442,0.6966090663890999,2213,4987,25,1316
IM-5pass,0.5,4,2995,2785.0,210.0,2233.0,0.6951204293023836,0.6389034249884877,1928,4999,13,1601
IM-5pass,0.5,5,1962,1889.0,73.0,3129.0,0.5412607449856733,0.5234410617427574,1396,5004,8,2133
IM-5pass,0.65,3,3892,3390.0,502.0,1628.0,0.7609427609427609,0.6966090663890999,2213,4987,25,1316
IM-5pass,0.65,4,2995,2785.0,210.0,2233.0,0.6951204293023836,0.6389034249884877,1928,4999,13,1601
IM-5pass,0.65,5,1962,1889.0,73.0,3129.0,0.5412607449856733,0.5234410617427574,1396,5004,8,2133
IM-5pass,0.7,3,3881,3381.0,500.0,1637.0,0.7598606585009552,0.6960655323520349,2209,4988,24,1320
IM-5pass,0.7,4,2985,2777.0,208.0,2241.0,0.6939897538423092,0.6383873326130804,1924,5000,12,1605
IM-5pass,0.7,5,1954,1882.0,72.0,3136.0,0.5398737808376363,0.5224958966266582,1390,5005,7,2139
IM-5pass,0.75,3,3845,3354.0,491.0,1664.0,0.7568543382601828,0.694005495087736,2198,4989,23,1331
IM-5pass,0.75,4,2964,2758.0,206.0,2260.0,0.6910548734652968,0.6368701031620154,1917,5000,12,1612
IM-5pass,0.75,5,1944,1872.0,72.0,3146.0,0.5377765010054583,0.5215884307629334,1386,5005,7,2143
IM-5pass,0.8,3,3719,3256.0,463.0,1762.0,0.745335927663958,0.684168052537035,2145,4994,18,1384
IM-5pass,0.8,4,2874,2680.0,194.0,2338.0,0.6791687785098834,0.6277422835251769,1870,5003,9,1659
IM-5pass,0.8,5,1893,1826.0,67.0,3192.0,0.5284329330053538,0.5165179038101476,1360,5007,5,2169
IM-5pass,0.85,3,3715,3252.0,463.0,1766.0,0.7447612504294058,0.6835190368777053,2142,4994,18,1387
IM-5pass,0.85,4,2871,2677.0,194.0,2341.0,0.6786664976549626,0.6270915254520414,1867,5003,9,1662
IM-5pass,0.85,5,1890,1823.0,67.0,3195.0,0.5277938621887667,0.5158350372355271,1357,5007,5,2172
IM-5pass,0.9,3,3150,2772.0,378.0,2246.0,0.6787463271302645,0.6369005941931482,1922,4997,15,1607
IM-5pass,0.9,4,2425,2264.0,161.0,2754.0,0.6083568453580546,0.5820124794246369,1657,5005,7,1872
IM-5pass,0.9,5,1606,1551.0,55.0,3467.0,0.46829710144927533,0.48141486237108166,1204,5009,3,2325
