R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,461,3900,4285,4746,0,4746,0.10570969961018115,0.0960861818983575,0.11532340998396673,0.09713442899283607,0.0881305046618273,0.10621010100725875,0.10124080377731415,0.09201633397024547,0.11053779072009577,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
10,1430,2931,3316,4746,0,4746,0.3279064434762669,0.3122837722010019,0.3438593752399412,0.30130636325326593,0.286680654300886,0.3161398164253083,0.31404414186889207,0.29956193057854436,0.3289491520326796,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
15,2295,2066,2451,4746,0,4746,0.5262554459986242,0.5096608013216126,0.5436276554212262,0.4835651074589128,0.4670568158450249,0.5001013899898177,0.5040079060063687,0.4886847639958771,0.5199079745827616,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
20,2947,1414,1799,4746,0,4746,0.6757624398073836,0.6597237670289655,0.6920496095653124,0.6209439528023599,0.6045387686488758,0.6372876129046188,0.647194465795542,0.6325403457190797,0.6617773943054357,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
25,3333,1028,1413,4746,0,4746,0.7642742490254528,0.7498845023562606,0.7786460801438924,0.702275600505689,0.686741846120956,0.7176886801250992,0.7319644229713407,0.7192839971656095,0.7447454825940623,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
30,3502,859,1244,4746,0,4746,0.8030268287090117,0.7894366589513676,0.8165016712776714,0.7378845343447114,0.7228592550422568,0.7527040526501463,0.7690787306467552,0.7572938602473674,0.7808130496036662,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
35,3584,777,1162,4746,0,4746,0.8218298555377207,0.8088400336675758,0.8348269981692021,0.7551622418879056,0.7406789167810642,0.7692493360315238,0.7870868562644119,0.7760890858862738,0.7980997881020873,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
40,3625,736,1121,4746,0,4746,0.8312313689520752,0.8182454503033131,0.8443118169445113,0.7638010956595027,0.7495758847432102,0.7778019837899026,0.7960909190732404,0.7852640507640212,0.8067192452389061,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
45,3642,719,1104,4746,0,4746,0.835129557440954,0.8223065852122315,0.8480259667380879,0.7673830594184576,0.7532409081634901,0.7813671456624944,0.7998243109695838,0.7891169287892503,0.8105332406658008,0.6524849579410391,0.6379578708062265,0.6665320891692378,2221,4897,263,1160,0.6569062407571724,0.9490310077519379
50,3947,414,1214,4746,415,5161,0.9050676450355423,0.8954128130842279,0.9143622224635093,0.7647742685526061,0.7512240283622487,0.7782833123481088,0.8290275152278933,0.8189696777645061,0.8385456531507105,0.6724579910368705,0.658871044226001,0.6856953628487729,2309,4842,175,1215,0.6552213393870602,0.9651185967709787
75,3970,391,1370,4746,594,5340,0.9103416647557899,0.9008600416746494,0.9195169787123193,0.7434456928838952,0.7296695233395093,0.7569869090329154,0.8184723224409856,0.808439018610906,0.8280645934640802,0.6709639220051995,0.6575087738953723,0.6841566864196005,2312,4828,172,1229,0.6529229031347077,0.9656
100,3982,379,1449,4746,685,5431,0.9130933272185279,0.9037506954142398,0.9221516794919639,0.7331983060209906,0.7191839822691004,0.7468631230160724,0.8133169934640524,0.8032094203819796,0.8230269373967501,0.6691682047718002,0.6555969523207072,0.6822229284324718,2312,4818,172,1239,0.6510842016333427,0.9655310621242486
125,3989,372,1486,4746,729,5475,0.914698463655125,0.9054427887391119,0.923757563469241,0.7285844748858448,0.7144690645364382,0.7423499769548384,0.8111020740138267,0.8008267882719522,0.8208660805851281,0.6682723524107929,0.6547511492016761,0.6814275908459245,2312,4813,172,1244,0.6501687289088864,0.9654964894684052
150,3997,364,1512,4746,763,5509,0.9165329052969502,0.9073771512214013,0.9254708960381223,0.7255400254129606,0.7115046235712975,0.7393020466118292,0.8099290780141845,0.7997954721087578,0.8197339686321223,0.6682723524107929,0.6547511492016761,0.6814275908459245,2312,4813,172,1244,0.6501687289088864,0.9654964894684052
