threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1047,0.3677,0.8851,0.5196,0.4619,0.5757,0.3119,0.4265,0.8496,0.9167
0.05,469,0.791,0.8529,0.8208,0.7857,0.8484,0.7458,0.8289,0.8158,0.8869
0.1,469,0.791,0.8529,0.8208,0.7857,0.8484,0.7458,0.8289,0.8158,0.8869
0.15,465,0.7978,0.8529,0.8244,0.7893,0.852,0.752,0.8348,0.8158,0.8869
0.2,465,0.7978,0.8529,0.8244,0.7893,0.852,0.752,0.8348,0.8158,0.8869
0.25,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.3,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.35,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.4,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.45,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.5,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.55,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.6,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.65,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.7,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.75,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.8,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.85,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.9,463,0.7991,0.8506,0.8241,0.7893,0.8519,0.753,0.8365,0.8143,0.8845
0.95,462,0.8009,0.8506,0.825,0.7896,0.8529,0.7553,0.8378,0.8143,0.8845
1.0,40,0.825,0.0759,0.1389,0.0909,0.1901,0.6923,0.9286,0.0488,0.106
