threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1606,0.2902,0.8646,0.4345,0.3721,0.4963,0.2387,0.3461,0.8194,0.9039
0.05,1154,0.4003,0.8571,0.5458,0.4848,0.6031,0.3411,0.4621,0.8127,0.898
0.1,898,0.5089,0.8479,0.636,0.5853,0.6835,0.4532,0.5652,0.8025,0.8903
0.15,669,0.6667,0.8275,0.7384,0.6975,0.7799,0.6206,0.7156,0.7782,0.8736
0.2,660,0.6742,0.8256,0.7423,0.7017,0.7848,0.628,0.7244,0.7763,0.8734
0.25,591,0.6971,0.7644,0.7292,0.6875,0.768,0.6515,0.7419,0.7155,0.8137
0.3,591,0.6971,0.7644,0.7292,0.6875,0.768,0.6515,0.7419,0.7155,0.8137
0.35,587,0.6985,0.7607,0.7282,0.687,0.7674,0.653,0.7428,0.7103,0.8102
0.4,587,0.6985,0.7607,0.7282,0.687,0.7674,0.653,0.7428,0.7103,0.8102
0.45,556,0.7086,0.731,0.7196,0.679,0.759,0.6623,0.7537,0.6776,0.779
0.5,556,0.7086,0.731,0.7196,0.679,0.759,0.6623,0.7537,0.6776,0.779
0.55,555,0.7099,0.731,0.7203,0.6798,0.7596,0.6634,0.7546,0.6776,0.779
0.6,555,0.7099,0.731,0.7203,0.6798,0.7596,0.6634,0.7546,0.6776,0.779
0.65,554,0.7094,0.7291,0.7191,0.6782,0.7578,0.6622,0.7541,0.6759,0.7773
0.7,553,0.7107,0.7291,0.7198,0.6788,0.7589,0.6633,0.7558,0.6759,0.7773
0.75,552,0.7101,0.7273,0.7186,0.6771,0.757,0.6627,0.7554,0.6745,0.775
0.8,545,0.7101,0.718,0.714,0.6722,0.7524,0.6627,0.7551,0.666,0.7659
0.85,544,0.7096,0.7161,0.7128,0.6712,0.7513,0.6627,0.7543,0.6647,0.7647
0.9,485,0.7258,0.6531,0.6875,0.6449,0.726,0.6808,0.7678,0.5967,0.7074
0.95,481,0.7256,0.6475,0.6843,0.6421,0.7235,0.6804,0.7689,0.5921,0.7
1.0,349,0.7278,0.4712,0.5721,0.5212,0.6182,0.678,0.7755,0.4166,0.526
