temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
minimal,10,10,0.6573,0.7121,0.6104,0.6067,0.7031,0.652,0.7694,0.5553,0.6673,462
minimal,30,1,0.3245,0.1984,0.8905,0.2716,0.381,0.1609,0.2408,0.8523,0.9234,2419
minimal,30,2,0.4487,0.3011,0.8794,0.3912,0.5087,0.2517,0.355,0.8375,0.9162,1574
minimal,30,3,0.5086,0.3587,0.8738,0.4488,0.5659,0.3049,0.4159,0.8302,0.9102,1313
minimal,30,4,0.5402,0.3936,0.8609,0.483,0.5969,0.3375,0.4506,0.8123,0.9022,1179
minimal,30,5,0.5698,0.4291,0.8479,0.5125,0.6222,0.3714,0.4867,0.7996,0.89,1065
minimal,30,6,0.5851,0.4467,0.8479,0.5275,0.6374,0.3874,0.5039,0.7996,0.89,1023
minimal,30,7,0.6013,0.4676,0.8423,0.545,0.6547,0.4079,0.5258,0.7938,0.8839,971
minimal,30,8,0.6118,0.4828,0.8349,0.5555,0.6639,0.4229,0.5413,0.7867,0.8783,932
minimal,30,9,0.6262,0.5017,0.833,0.5678,0.6777,0.4397,0.5618,0.7838,0.8768,895
minimal,30,10,0.6364,0.5155,0.8312,0.5797,0.6883,0.4526,0.5774,0.7809,0.8757,869
minimal,30,11,0.6465,0.5289,0.8312,0.59,0.6994,0.4664,0.5911,0.7809,0.8757,847
minimal,30,12,0.6496,0.5355,0.8256,0.5937,0.7021,0.4701,0.5973,0.7758,0.8713,831
minimal,30,13,0.6558,0.5456,0.8219,0.6011,0.7072,0.4806,0.6077,0.7712,0.8695,812
minimal,30,14,0.6611,0.5564,0.8145,0.6065,0.7122,0.4885,0.6164,0.7641,0.8636,789
minimal,30,15,0.6692,0.5716,0.8071,0.6142,0.7199,0.5043,0.6352,0.757,0.8561,761
minimal,30,16,0.6693,0.5774,0.7959,0.6146,0.7191,0.5109,0.6401,0.7429,0.8462,743
minimal,30,17,0.6789,0.5939,0.7922,0.6243,0.7294,0.5272,0.6565,0.7388,0.8441,719
minimal,30,18,0.6855,0.6074,0.7866,0.6301,0.737,0.5401,0.6706,0.7318,0.8389,698
minimal,30,19,0.6864,0.6156,0.7755,0.6314,0.7375,0.5479,0.6777,0.7192,0.8278,679
minimal,30,20,0.691,0.6243,0.7737,0.6368,0.7417,0.5574,0.6854,0.7179,0.8273,668
minimal,30,21,0.6928,0.6297,0.7699,0.6388,0.7419,0.5636,0.6904,0.7146,0.8225,659
minimal,30,22,0.6932,0.6381,0.7588,0.6378,0.7425,0.5724,0.6975,0.7017,0.8123,641
minimal,30,23,0.6982,0.6506,0.7532,0.6453,0.7472,0.5858,0.7088,0.6956,0.8065,624
minimal,30,24,0.7004,0.6617,0.744,0.6486,0.7468,0.5956,0.719,0.6895,0.7949,606
minimal,30,25,0.7033,0.6729,0.7365,0.6521,0.7498,0.6085,0.7301,0.6816,0.7881,590
minimal,30,26,0.6985,0.6783,0.7199,0.6466,0.7446,0.6132,0.7365,0.664,0.7718,572
minimal,30,27,0.6883,0.6863,0.6902,0.6383,0.7352,0.6229,0.7421,0.6345,0.7443,542
minimal,30,28,0.6852,0.7097,0.6623,0.6323,0.7326,0.6502,0.7645,0.6051,0.7192,503
minimal,30,29,0.6673,0.7307,0.6141,0.6155,0.7131,0.6727,0.781,0.5539,0.6732,453
minimal,30,30,0.6198,0.7601,0.5232,0.567,0.6724,0.7011,0.8115,0.4647,0.5872,371
