,precision,recall,f1
count,5.0,5.0,5.0
mean,0.5547106247415581,0.8377358490566038,0.6609867333161652
std,0.12188127186215135,0.031572076472983976,0.0867722685178489
min,0.411214953271028,0.8113207547169812,0.55
25%,0.4777777777777778,0.8113207547169812,0.6013986013986015
50%,0.5340909090909091,0.8301886792452831,0.6666666666666666
75%,0.6338028169014085,0.8490566037735849,0.7258064516129034
max,0.7166666666666667,0.8867924528301887,0.7610619469026548
