a,b,delta_f1,p_value,bh_adjusted_p,significant
BN5-carried,BN10-carried,0.0015610878746830092,0.3243,0.367132,False
BN5-carried,arm1-N5-carried,-0.0055846371617017665,0.3488,0.391178,False
BN5-carried,arm1-N5-oracle,-0.02242768325776301,0.0001,0.000162,True
BN5-carried,arm2-N5-carried,-0.03254078567848517,0.0001,0.000162,True
BN5-carried,arm2-N5-oracle,-0.036827672610700746,0.0001,0.000162,True
BN5-carried,fourth-N10-carried,-0.02184242810321968,0.0001,0.000162,True
BN5-carried,fourth-N10-oracle,-0.0320403768325751,0.0001,0.000162,True
BN5-carried,arm1-N1-carried,0.060357327030217456,0.0001,0.000162,True
BN5-carried,arm1-N1-oracle,0.005929612862487388,0.22,0.258824,False
BN5-carried,arm2-N1-carried,0.0016699995745224072,0.7424,0.788389,False
BN5-carried,arm2-N1-oracle,-0.012525690022715086,0.0146,0.020372,True
BN5-carried,arm1-N3-carried,0.0020161948880269565,0.7196,0.771,False
BN5-carried,arm1-N3-oracle,-0.020703190751271916,0.0001,0.000162,True
BN5-carried,arm2-N3-carried,-0.03068110143110847,0.0001,0.000162,True
BN5-carried,arm2-N3-oracle,-0.03523419422380791,0.0001,0.000162,True
BN10-carried,arm1-N5-carried,-0.007145725036384776,0.2433,0.283456,False
BN10-carried,arm1-N5-oracle,-0.02398877113244602,0.0001,0.000162,True
BN10-carried,arm2-N5-carried,-0.03410187355316818,0.0001,0.000162,True
BN10-carried,arm2-N5-oracle,-0.038388760485383755,0.0001,0.000162,True
BN10-carried,fourth-N10-carried,-0.02340351597790269,0.0001,0.000162,True
BN10-carried,fourth-N10-oracle,-0.03360146470725811,0.0001,0.000162,True
BN10-carried,arm1-N1-carried,0.05879623915553445,0.0001,0.000162,True
BN10-carried,arm1-N1-oracle,0.004368524987804379,0.37,0.411111,False
BN10-carried,arm2-N1-carried,0.00010891169983939797,0.9845,0.9845,False
BN10-carried,arm2-N1-oracle,-0.014086777897398095,0.0057,0.008341,True
BN10-carried,arm1-N3-carried,0.0004551070133439472,0.9384,0.946286,False
BN10-carried,arm1-N3-oracle,-0.022264278625954925,0.0001,0.000162,True
BN10-carried,arm2-N3-carried,-0.03224218930579148,0.0001,0.000162,True
BN10-carried,arm2-N3-oracle,-0.03679528209849092,0.0001,0.000162,True
arm1-N5-carried,arm1-N5-oracle,-0.016843046096061243,0.0001,0.000162,True
arm1-N5-carried,arm2-N5-carried,-0.026956148516783407,0.0001,0.000162,True
arm1-N5-carried,arm2-N5-oracle,-0.03124303544899898,0.0001,0.000162,True
arm1-N5-carried,fourth-N10-carried,-0.016257790941517913,0.0089,0.012714,True
arm1-N5-carried,fourth-N10-oracle,-0.026455739670873335,0.0001,0.000162,True
arm1-N5-carried,arm1-N1-carried,0.06594196419191922,0.0001,0.000162,True
arm1-N5-carried,arm1-N1-oracle,0.011514250024189154,0.0442,0.058933,False
arm1-N5-carried,arm2-N1-carried,0.007254636736224174,0.1302,0.159429,False
arm1-N5-carried,arm2-N1-oracle,-0.006941052861013319,0.2106,0.25272,False
arm1-N5-carried,arm1-N3-carried,0.007600832049728723,0.0001,0.000162,True
arm1-N5-carried,arm1-N3-oracle,-0.01511855358957015,0.0001,0.000162,True
arm1-N5-carried,arm2-N3-carried,-0.025096464269406704,0.0001,0.000162,True
arm1-N5-carried,arm2-N3-oracle,-0.029649557062106147,0.0001,0.000162,True
arm1-N5-oracle,arm2-N5-carried,-0.010113102420722164,0.0032,0.0048,True
arm1-N5-oracle,arm2-N5-oracle,-0.014399989352937737,0.0001,0.000162,True
arm1-N5-oracle,fourth-N10-carried,0.0005852551545433293,0.9183,0.946286,False
arm1-N5-oracle,fourth-N10-oracle,-0.009612693574812092,0.074,0.094468,False
arm1-N5-oracle,arm1-N1-carried,0.08278501028798047,0.0001,0.000162,True
arm1-N5-oracle,arm1-N1-oracle,0.028357296120250397,0.0001,0.000162,True
arm1-N5-oracle,arm2-N1-carried,0.024097682832285416,0.0001,0.000162,True
arm1-N5-oracle,arm2-N1-oracle,0.009901993235047923,0.0499,0.065087,False
arm1-N5-oracle,arm1-N3-carried,0.024443878145789966,0.0001,0.000162,True
arm1-N5-oracle,arm1-N3-oracle,0.0017244925064910932,0.1947,0.236,False
arm1-N5-oracle,arm2-N3-carried,-0.008253418173345461,0.0225,0.030682,True
arm1-N5-oracle,arm2-N3-oracle,-0.012806510966044904,0.0001,0.000162,True
arm2-N5-carried,arm2-N5-oracle,-0.004286886932215572,0.0001,0.000162,True
arm2-N5-carried,fourth-N10-carried,0.010698357575265494,0.0738,0.094468,False
arm2-N5-carried,fourth-N10-oracle,0.000500408845910072,0.9257,0.946286,False
arm2-N5-carried,arm1-N1-carried,0.09289811270870263,0.0001,0.000162,True
arm2-N5-carried,arm1-N1-oracle,0.03847039854097256,0.0001,0.000162,True
arm2-N5-carried,arm2-N1-carried,0.03421078525300758,0.0001,0.000162,True
arm2-N5-carried,arm2-N1-oracle,0.020015095655770088,0.0007,0.001105,True
arm2-N5-carried,arm1-N3-carried,0.03455698056651213,0.0001,0.000162,True
arm2-N5-carried,arm1-N3-oracle,0.011837594927213257,0.0015,0.002308,True
arm2-N5-carried,arm2-N3-carried,0.0018596842473767028,0.2199,0.258824,False
arm2-N5-carried,arm2-N3-oracle,-0.0026934085453227397,0.094,0.1175,False
arm2-N5-oracle,fourth-N10-carried,0.014985244507481066,0.0146,0.020372,True
arm2-N5-oracle,fourth-N10-oracle,0.004787295778125644,0.3808,0.419229,False
arm2-N5-oracle,arm1-N1-carried,0.0971849996409182,0.0001,0.000162,True
arm2-N5-oracle,arm1-N1-oracle,0.042757285473188134,0.0001,0.000162,True
arm2-N5-oracle,arm2-N1-carried,0.03849767218522315,0.0001,0.000162,True
arm2-N5-oracle,arm2-N1-oracle,0.02430198258798566,0.0001,0.000162,True
arm2-N5-oracle,arm1-N3-carried,0.0388438674987277,0.0001,0.000162,True
arm2-N5-oracle,arm1-N3-oracle,0.01612448185942883,0.0001,0.000162,True
arm2-N5-oracle,arm2-N3-carried,0.006146571179592275,0.0022,0.003342,True
arm2-N5-oracle,arm2-N3-oracle,0.0015934783868928326,0.2905,0.335192,False
fourth-N10-carried,fourth-N10-oracle,-0.010197948729355422,0.0001,0.000162,True
fourth-N10-carried,arm1-N1-carried,0.08219975513343714,0.0001,0.000162,True
fourth-N10-carried,arm1-N1-oracle,0.027772040965707068,0.0001,0.000162,True
fourth-N10-carried,arm2-N1-carried,0.023512427677742087,0.0001,0.000162,True
fourth-N10-carried,arm2-N1-oracle,0.009316738080504594,0.0451,0.059473,False
fourth-N10-carried,arm1-N3-carried,0.023858622991246636,0.0001,0.000162,True
fourth-N10-carried,arm1-N3-oracle,0.0011392373519477639,0.8453,0.882052,False
fourth-N10-carried,arm2-N3-carried,-0.00883867332788879,0.1184,0.146474,False
fourth-N10-carried,arm2-N3-oracle,-0.013391766120588233,0.0182,0.025103,True
fourth-N10-oracle,arm1-N1-carried,0.09239770386279256,0.0001,0.000162,True
fourth-N10-oracle,arm1-N1-oracle,0.03796998969506249,0.0001,0.000162,True
fourth-N10-oracle,arm2-N1-carried,0.03371037640709751,0.0001,0.000162,True
fourth-N10-oracle,arm2-N1-oracle,0.019514686809860016,0.0001,0.000162,True
fourth-N10-oracle,arm1-N3-carried,0.03405657172060206,0.0001,0.000162,True
fourth-N10-oracle,arm1-N3-oracle,0.011337186081303186,0.0289,0.038966,True
fourth-N10-oracle,arm2-N3-carried,0.0013592754014666308,0.7949,0.836737,False
