temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
image-t0.7,5,1,0.3435,0.2097,0.9504,0.291,0.3952,0.1716,0.2487,0.9245,0.9767,2017
image-t0.7,5,2,0.6756,0.5279,0.938,0.6197,0.7263,0.4649,0.5877,0.9083,0.968,741
image-t0.7,5,3,0.8052,0.7363,0.8884,0.7615,0.8462,0.6757,0.7913,0.8478,0.9294,506
image-t0.7,5,4,0.7792,0.8182,0.7438,0.7339,0.8271,0.761,0.8732,0.6814,0.8136,388
image-t0.7,5,5,0.6866,0.8625,0.5702,0.6212,0.7479,0.8095,0.9143,0.4923,0.652,282
image-t0.7,10,1,0.2302,0.1307,0.9669,0.1897,0.2719,0.1053,0.1579,0.9476,0.9857,3211
image-t0.7,10,2,0.5239,0.3616,0.9504,0.4691,0.5779,0.3122,0.4133,0.925,0.9771,1112
image-t0.7,10,3,0.6766,0.5278,0.9421,0.6235,0.7231,0.4691,0.5853,0.9159,0.9692,752
image-t0.7,10,4,0.7606,0.6455,0.9256,0.7125,0.8046,0.5825,0.704,0.8962,0.9583,609
image-t0.7,10,5,0.7978,0.7239,0.8884,0.7551,0.8373,0.6644,0.7782,0.8488,0.9306,519
image-t0.7,10,6,0.8182,0.7841,0.8554,0.7755,0.8555,0.7276,0.8314,0.8063,0.9043,462
image-t0.7,10,7,0.811,0.8341,0.7893,0.7666,0.8584,0.7755,0.8827,0.7373,0.8538,405
image-t0.7,10,8,0.7816,0.8808,0.7025,0.7366,0.8315,0.8314,0.9254,0.6376,0.7738,344
image-t0.7,10,9,0.7154,0.9161,0.5868,0.6518,0.7756,0.8696,0.9584,0.5112,0.6694,281
image-t0.7,10,10,0.6301,0.935,0.4752,0.5498,0.7048,0.8879,0.9754,0.3926,0.5638,206
