label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
r2-balanced-wbf,20,0.3198,0.2704,0.3704,0.2267,0.1843,0.2724,0.5425,0.4729,0.6074,normal,False,0.29568788501026694,487,zero_fraction_heuristic,
r2-balanced-wbf,30,0.3767,0.323,0.4308,0.2671,0.2198,0.3171,0.6391,0.5654,0.7034,normal,False,0.29774127310061604,487,zero_fraction_heuristic,
r2-balanced-wbf,40,0.3997,0.3425,0.4553,0.2834,0.2327,0.3353,0.6782,0.6019,0.7429,normal,False,0.29774127310061604,487,zero_fraction_heuristic,
r2-balanced-wbf,50,0.4092,0.3509,0.466,0.2901,0.2382,0.343,0.6943,0.6181,0.7585,normal,False,0.29774127310061604,487,zero_fraction_heuristic,
