cell,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
g384_ov192_55map,0.0,1,57482,4888,52594,272,0.0850353154030827,0.9472868217054263,0.1560614284345966
g384_ov192_55map,0.0,2,34869,4828,30041,332,0.13846109724970604,0.9356589147286821,0.24122511179394937
g384_ov192_55map,0.0,3,28698,4784,23914,376,0.16670151230050875,0.9271317829457364,0.2825920018902476
g384_ov192_55map,0.0,4,25090,4752,20338,408,0.18939816660023914,0.9209302325581395,0.3141818181818182
g384_ov192_55map,0.0,5,22596,4723,17873,437,0.20901929545052222,0.9153100775193799,0.34032281308545903
g384_ov192_55map,0.0,6,20522,4688,15834,472,0.228437774096092,0.9085271317829458,0.36508060119928354
g384_ov192_55map,0.0,7,18709,4630,14079,530,0.24747447752418622,0.8972868217054264,0.38795089865515947
g384_ov192_55map,0.0,8,17150,4588,12562,572,0.26752186588921284,0.8891472868217054,0.41129538323621695
g384_ov192_55map,0.0,9,15452,4504,10948,656,0.2914833031322806,0.8728682170542635,0.4370269745779158
g384_ov192_55map,0.0,10,13196,4315,8881,845,0.3269930281903607,0.8362403100775194,0.47014600130747436
g384_ov192_55map,0.05,1,42688,4865,37823,295,0.11396645427286357,0.9428294573643411,0.20335228222705232
g384_ov192_55map,0.05,2,25762,4803,20959,357,0.18643738840152163,0.9308139534883721,0.31065260979238085
g384_ov192_55map,0.05,3,21468,4757,16711,403,0.22158561580026084,0.9218992248062016,0.35729307495869006
g384_ov192_55map,0.05,4,18897,4725,14172,435,0.25003968883949834,0.9156976744186046,0.3928170594837262
g384_ov192_55map,0.05,5,17124,4696,12428,464,0.2742349918243401,0.9100775193798449,0.4214683180757494
g384_ov192_55map,0.05,6,15634,4663,10971,497,0.29826020212357685,0.9036821705426357,0.44849475810329914
g384_ov192_55map,0.05,7,14313,4605,9708,555,0.32173548522322365,0.8924418604651163,0.4729625635495301
g384_ov192_55map,0.05,8,13198,4564,8634,596,0.34580997120775875,0.8844961240310077,0.49722191959908485
g384_ov192_55map,0.05,9,12006,4481,7525,679,0.3732300516408462,0.8684108527131783,0.5220785273214493
g384_ov192_55map,0.05,10,10391,4295,6096,865,0.41333846598017515,0.8323643410852714,0.5523760529869461
g384_ov192_55map,0.1,1,17236,4791,12445,369,0.27796472499419816,0.9284883720930233,0.42784425790319697
g384_ov192_55map,0.1,2,12457,4726,7731,434,0.3793850846913382,0.915891472868217,0.536527218028041
g384_ov192_55map,0.1,3,10736,4682,6054,478,0.43610283159463487,0.9073643410852713,0.5890790135883242
g384_ov192_55map,0.1,4,9725,4648,5077,512,0.4779434447300771,0.9007751937984496,0.6245213301981861
g384_ov192_55map,0.1,5,9046,4623,4423,537,0.511054609772275,0.8959302325581395,0.6508517527805153
g384_ov192_55map,0.1,6,8475,4590,3885,570,0.5415929203539823,0.8895348837209303,0.6732673267326733
g384_ov192_55map,0.1,7,7952,4531,3421,629,0.5697937625754527,0.8781007751937985,0.6911226357535083
g384_ov192_55map,0.1,8,7547,4492,3055,668,0.5952033920763217,0.8705426356589148,0.7070118832139765
g384_ov192_55map,0.1,9,7045,4409,2636,751,0.62583392476934,0.8544573643410853,0.7224907824662024
g384_ov192_55map,0.1,10,6390,4233,2157,927,0.6624413145539906,0.8203488372093023,0.7329870129870129
g384_ov192_55map,0.15,1,9230,4629,4601,531,0.5015167930660889,0.897093023255814,0.643363446838082
g384_ov192_55map,0.15,2,7218,4547,2671,613,0.6299528955389304,0.881201550387597,0.7346905800613993
g384_ov192_55map,0.15,3,6468,4501,1967,659,0.6958874458874459,0.8722868217054264,0.7741658066735466
g384_ov192_55map,0.15,4,6016,4468,1548,692,0.742686170212766,0.8658914728682171,0.7995705082319257
g384_ov192_55map,0.15,5,5713,4441,1272,719,0.7773499037283389,0.8606589147286822,0.8168858640669548
g384_ov192_55map,0.15,6,5464,4408,1056,752,0.8067349926793558,0.8542635658914729,0.8298192771084338
g384_ov192_55map,0.15,7,5223,4351,872,809,0.8330461420639479,0.8432170542635659,0.8381007415968409
g384_ov192_55map,0.15,8,5047,4315,732,845,0.8549633445611254,0.8362403100775194,0.8454981875183697
g384_ov192_55map,0.15,9,4812,4235,577,925,0.8800914380714879,0.8207364341085271,0.8493782591255515
g384_ov192_55map,0.15,10,4505,4070,435,1090,0.9034406215316315,0.7887596899224806,0.8422141748577341
g384_ov192_55map,0.2,1,8632,4551,4081,609,0.527224281742354,0.8819767441860465,0.6599477958236659
g384_ov192_55map,0.2,2,6811,4470,2341,690,0.6562912934958156,0.8662790697674418,0.7468047782140173
g384_ov192_55map,0.2,3,6137,4427,1710,733,0.7213622291021672,0.8579457364341085,0.7837478976719483
