cell,N,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
g384_ov192_55map,1,0.0,1,24923,4679,20244,481,0.18773823375998075,0.9067829457364341,0.31107269886646943
g384_ov192_55map,1,0.05,1,18782,4653,14129,507,0.24773719518688106,0.9017441860465116,0.3886893325536714
g384_ov192_55map,1,0.1,1,9504,4583,4921,577,0.48221801346801346,0.8881782945736434,0.6250681942171304
g384_ov192_55map,1,0.15,1,5939,4402,1537,758,0.7412022225963967,0.8531007751937985,0.7932246148301648
g384_ov192_55map,1,0.2,1,5655,4328,1327,832,0.765340406719717,0.8387596899224806,0.8003698566805363
g384_ov192_55map,1,0.25,1,5096,4087,1009,1073,0.8020015698587127,0.7920542635658915,0.796996879875195
g384_ov192_55map,1,0.3,1,5095,4086,1009,1074,0.8019627085377822,0.791860465116279,0.7968795709410044
g384_ov192_55map,1,0.35,1,5065,4070,995,1090,0.8035538005923001,0.7887596899224806,0.7960880195599023
g384_ov192_55map,1,0.4,1,5055,4064,991,1096,0.8039564787339268,0.7875968992248062,0.795692608908468
g384_ov192_55map,1,0.5,1,4856,3944,912,1216,0.8121911037891268,0.7643410852713178,0.7875399361022365
g384_ov192_55map,1,0.6,1,4855,3943,912,1217,0.8121524201853759,0.7641472868217054,0.7874188716924613
g384_ov192_55map,1,0.65,1,4853,3941,912,1219,0.8120750051514527,0.7637596899224807,0.7871766703285729
g384_ov192_55map,1,0.7,1,4839,3929,910,1231,0.811944616656334,0.7614341085271318,0.785878587858786
g384_ov192_55map,1,0.75,1,4822,3919,903,1241,0.8127333056822895,0.7594961240310077,0.7852133840913644
g384_ov192_55map,1,0.8,1,4699,3824,875,1336,0.8137901681208768,0.7410852713178294,0.7757379044527841
g384_ov192_55map,1,0.85,1,4697,3824,873,1336,0.814136682989142,0.7410852713178294,0.7758953028304758
g384_ov192_55map,1,0.9,1,4301,3515,786,1645,0.8172518019065333,0.6812015503875969,0.743050417503435
g384_ov192_55map,1,0.95,1,4298,3513,785,1647,0.8173569101907864,0.6808139534883721,0.7428631846056248
g384_ov192_55map,1,0.98,1,3012,2506,506,2654,0.8320053120849934,0.48565891472868217,0.6133137542829173
g384_ov192_55map,1,1.0,1,3010,2504,506,2656,0.8318936877076412,0.48527131782945737,0.6129742962056304
g384_ov192_55map,3,0.0,1,36472,4802,31670,358,0.13166264531695548,0.9306201550387597,0.2306879323597233
g384_ov192_55map,3,0.0,2,22566,4712,17854,448,0.20880971372861828,0.9131782945736434,0.33989756906874413
g384_ov192_55map,3,0.0,3,16706,4541,12165,619,0.2718185083203639,0.8800387596899225,0.4153480289033201
