condition,run,f1,precision,recall,n_detections
384-clipped-to-512,1,0.3933,0.2562,0.8454,320
384-clipped-to-512,10,0.4257,0.2801,0.8866,307
384-clipped-to-512,2,0.4318,0.2843,0.8969,306
384-clipped-to-512,3,0.4079,0.2677,0.8557,310
384-clipped-to-512,4,0.4098,0.2684,0.866,313
384-clipped-to-512,5,0.4332,0.2867,0.8866,300
384-clipped-to-512,6,0.4094,0.2652,0.8969,328
384-clipped-to-512,7,0.4135,0.2696,0.8866,319
384-clipped-to-512,8,0.4067,0.2648,0.8763,321
384-clipped-to-512,9,0.4177,0.2742,0.8763,310
