label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
image-vs-cleaned-gt,20,0.507,0.4933,0.5202,0.5113,0.4966,0.5256,0.5027,0.4882,0.5172,sparse_cross_grid,True,0.6411427233345042,8541
image-vs-cleaned-gt,30,0.6872,0.675,0.6989,0.693,0.6792,0.7066,0.6815,0.6673,0.6949,sparse_cross_grid,True,0.648167661866292,8541
image-vs-cleaned-gt,40,0.7501,0.7391,0.7605,0.7565,0.7435,0.7691,0.7439,0.7307,0.7565,sparse_cross_grid,True,0.6505093080435547,8541
image-vs-cleaned-gt,50,0.7729,0.7627,0.7826,0.7794,0.7669,0.7916,0.7664,0.7534,0.7784,sparse_cross_grid,True,0.6512118018967334,8541
