label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
r1-hn-heavy-greedy-t5,20,0.4834,0.415,0.5464,0.8639,0.8077,0.9146,0.3356,0.2755,0.3951
r1-hn-heavy-greedy-t5,30,0.5265,0.4563,0.5903,0.9408,0.9017,0.974,0.3655,0.3029,0.4289
r1-hn-heavy-greedy-t5,40,0.5298,0.4592,0.5945,0.9467,0.9085,0.9778,0.3678,0.3048,0.4318
r1-hn-heavy-greedy-t5,50,0.5298,0.4592,0.5945,0.9467,0.9085,0.9778,0.3678,0.3048,0.4318
