label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pure-positive-canon-greedy-t3,20,0.6012,0.5413,0.6554,0.6541,0.5928,0.7094,0.5563,0.4828,0.622,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
pure-positive-canon-greedy-t3,30,0.6435,0.5838,0.6956,0.7,0.6394,0.7553,0.5954,0.5198,0.6616,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
pure-positive-canon-greedy-t3,40,0.6683,0.6121,0.7175,0.727,0.6684,0.7783,0.6184,0.5437,0.6835,normal,False,0.4948665297741273,487,zero_fraction_heuristic,
pure-positive-canon-greedy-t3,50,0.6708,0.6149,0.7199,0.7297,0.671,0.7813,0.6207,0.5455,0.6856,normal,False,0.4948665297741273,487,zero_fraction_heuristic,
