label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pure-positive-canon-wbf,20,0.2597,0.2168,0.3059,0.1712,0.1385,0.2081,0.5379,0.469,0.6015,normal,False,0.21560574948665298,487,zero_fraction_heuristic,
pure-positive-canon-wbf,30,0.3008,0.2538,0.3514,0.1982,0.1621,0.2402,0.623,0.5488,0.6878,normal,False,0.21560574948665298,487,zero_fraction_heuristic,
pure-positive-canon-wbf,40,0.3163,0.2683,0.3672,0.2085,0.1711,0.251,0.6552,0.5798,0.7185,normal,False,0.21765913757700206,487,zero_fraction_heuristic,
pure-positive-canon-wbf,50,0.3219,0.273,0.373,0.2121,0.1738,0.2546,0.6667,0.5926,0.7286,normal,False,0.21765913757700206,487,zero_fraction_heuristic,
