R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi
50,4125,555,1095,4746,474,1,5220,0.8814102564102564,0.8714841604277388,0.8907403895983418,0.7902298850574713,0.7776330050886935,0.8025142706971515,0.8333333333333333,0.8241205772926877,0.8421788161337694
75,4255,425,1086,4746,595,1,5341,0.9091880341880342,0.9002132196162047,0.9175323008339107,0.7966672907695188,0.7844229422222985,0.8086275789713219,0.8492166450454046,0.8404930878957191,0.8575005007706783
100,4297,383,1091,4746,642,1,5388,0.9181623931623931,0.9095778539675803,0.9261197153620762,0.7975129918337045,0.7854050859008121,0.8093191745505303,0.8535955502582437,0.8449918083519133,0.861695903703478
125,4314,366,1093,4746,661,1,5407,0.9217948717948717,0.9133347024653765,0.9296630006402864,0.7978546328832994,0.7856864058876556,0.8096751482849002,0.8553583820759392,0.8468467581143638,0.8634664714283012
150,4325,355,1093,4746,672,1,5418,0.9241452991452992,0.915824714929727,0.9318892683280706,0.798265042451089,0.7861125984919428,0.8100967986903093,0.8566052683699743,0.8481024121137202,0.8645933368956624
