student_fn_prior,student_sensitivity,converged,n_iter,prevalence,vlm_sensitivity,vlm_specificity,vlm_only_posterior,abs_gap_vs_empirical
0.05,0.95,True,11,0.8557125377965134,0.7716380180539706,0.0,0.18620748457605507,0.5385006866301706
0.08,0.92,True,15,0.8772441147130128,0.7772430640116558,0.0,0.3076472539942103,0.4170609172120154
0.1,0.9,True,19,0.8923959223648623,0.781025208419338,0.0,0.3931046282796415,0.33160354292658417
0.11,0.89,True,21,0.9002272197099855,0.782930123830035,0.0,0.43727375474561914,0.2874344164606065
0.12,0.88,True,23,0.908236528410565,0.7848443604781516,0.0,0.4824468791093922,0.24226129209683345
0.13,0.87,True,25,0.9164300153721036,0.7867679933770676,0.0,0.5286587831979147,0.19604938800831095
0.14,0.86,True,29,0.9248138857704323,0.7887010412430315,0.0,0.5759444646857651,0.14876370652046056
0.15,0.85,True,32,0.9333952088979447,0.790643653144523,0.0,0.624343794932182,0.10036437627404371
0.16,0.84,True,36,0.94218085414168,0.7925958585888507,0.0,0.6738955178146503,0.05081265339157537
0.17,0.83,True,42,0.9511780749366072,0.7945577003335554,0.0,0.7246405432708649,6.762793536074785e-05
0.18,0.8200000000000001,True,47,0.9603949541416309,0.7965293234157698,0.0,0.7766244592540621,0.051916288047836434
0.19,0.81,True,50,0.9698374607109541,0.7985103493898571,0.0,0.8298809311304595,0.1051727599242338
0.2,0.8,True,87,0.9795172060225946,0.8005015022648099,0.0,0.8844754479756852,0.15976727676945957
0.22,0.78,False,100,0.9976869076709187,0.8041347344494432,0.0,0.986953979256797,0.2622458080505713
0.25,0.75,True,75,0.999998762941629,0.804587547156111,0.0,0.9999930228945177,0.2752848516882921
0.3,0.7,True,35,0.9999995158284113,0.8045876942796351,0.0,0.99999726923456,0.27528909802833434
0.4,0.6,True,20,0.9999998130055809,0.8045877523517219,0.0,0.999998945336925,0.27529077413069936
0.5,0.5,True,15,0.9999998628930188,0.8045877621003396,0.0,0.9999992267059565,0.2752910554997309
0.6,0.4,True,13,0.9999999321820668,0.8045877756402685,0.0,0.9999996175015788,0.2752914462953532
0.7,0.30000000000000004,True,12,0.9999999704786966,0.8045877831238982,0.0,0.9999998334975508,0.2752916622913252
0.7247,0.2753,True,11,0.9999999357651443,0.8045877763404456,0.0,0.9999996377104148,0.2752914665041891
0.8,0.19999999999999996,True,11,0.9999999781765545,0.804587784628154,0.0,0.9999998769140699,0.2752917057078442
0.9,0.09999999999999998,True,10,0.9999999754118954,0.8045877840879057,0.0,0.9999998613211766,0.2752916901149509
0.95,0.050000000000000044,True,10,0.9999999856363979,0.8045877860858983,0.0,0.9999999189881664,0.27529174778194077
