cell,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
fourth,0.0,1,57482,4888,52594,272,0.0850353154030827,0.9472868217054263,0.1560614284345966
fourth,0.0,2,34869,4828,30041,332,0.13846109724970604,0.9356589147286821,0.24122511179394937
fourth,0.0,3,28698,4784,23914,376,0.16670151230050875,0.9271317829457364,0.2825920018902476
fourth,0.0,4,25090,4752,20338,408,0.18939816660023914,0.9209302325581395,0.3141818181818182
fourth,0.0,5,22596,4723,17873,437,0.20901929545052222,0.9153100775193799,0.34032281308545903
fourth,0.0,6,20522,4688,15834,472,0.228437774096092,0.9085271317829458,0.36508060119928354
fourth,0.0,7,18709,4630,14079,530,0.24747447752418622,0.8972868217054264,0.38795089865515947
fourth,0.0,8,17150,4588,12562,572,0.26752186588921284,0.8891472868217054,0.41129538323621695
fourth,0.0,9,15452,4504,10948,656,0.2914833031322806,0.8728682170542635,0.4370269745779158
fourth,0.0,10,13196,4315,8881,845,0.3269930281903607,0.8362403100775194,0.47014600130747436
fourth,0.01,1,39789,4885,34904,275,0.12277262560004021,0.9467054263565892,0.2173574495539389
fourth,0.01,2,27389,4825,22564,335,0.1761656139326007,0.935077519379845,0.29647608221450733
fourth,0.01,3,22977,4779,18198,381,0.20799059929494712,0.9261627906976744,0.3396950634395991
fourth,0.01,4,20357,4747,15610,413,0.23318760131650046,0.9199612403100775,0.37206568170239446
fourth,0.01,5,18547,4717,13830,443,0.2543268453119103,0.9141472868217054,0.3979415362551145
fourth,0.01,6,16987,4682,12305,478,0.2756225348796138,0.9073643410852713,0.42281121596604504
fourth,0.01,7,15589,4624,10965,536,0.2966194111232279,0.896124031007752,0.44570822690250134
fourth,0.01,8,14388,4583,9805,577,0.3185293299972199,0.8881782945736434,0.46889707386944957
fourth,0.01,9,13062,4499,8563,661,0.3444342367171949,0.8718992248062015,0.4937987048622544
fourth,0.01,10,11278,4310,6968,850,0.3821599574392623,0.8352713178294574,0.5243946952183963
fourth,0.02,1,23838,4867,18971,293,0.2041698129037671,0.943217054263566,0.3356783226429409
fourth,0.02,2,17620,4810,12810,350,0.27298524404086266,0.9321705426356589,0.4223002633889376
fourth,0.02,3,15220,4765,10455,395,0.3130749014454665,0.9234496124031008,0.4676153091265947
fourth,0.02,4,13727,4733,8994,427,0.34479492970059006,0.9172480620155039,0.5011912956001482
fourth,0.02,5,12698,4705,7993,455,0.37053079225074814,0.9118217054263565,0.5269347071340574
fourth,0.02,6,11785,4671,7114,489,0.39635129401781927,0.9052325581395348,0.5513130717025672
fourth,0.02,7,10984,4614,6370,546,0.4200655498907502,0.8941860465116279,0.5716055500495539
fourth,0.02,8,10313,4574,5739,586,0.44351789004169495,0.8864341085271318,0.5912234214438054
