cell,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
arm1,0.0,1,12715,4841,7874,319,0.3807314195831695,0.9381782945736434,0.5416503496503496
arm1,0.0,2,8974,4770,4204,390,0.5315355471361711,0.9244186046511628,0.6749681618791565
arm1,0.0,3,7553,4708,2845,452,0.6233284787501655,0.9124031007751938,0.7406591677810115
arm1,0.0,4,6652,4634,2018,526,0.6966325917017439,0.898062015503876,0.7846258042668472
arm1,0.0,5,5844,4491,1353,669,0.7684804928131417,0.8703488372093023,0.8162486368593239
arm1,0.05,1,11365,4823,6542,337,0.4243730752309723,0.9346899224806201,0.5837216338880484
arm1,0.05,2,8357,4752,3605,408,0.5686251047026445,0.9209302325581395,0.70311459643412
arm1,0.05,3,7150,4689,2461,471,0.6558041958041958,0.9087209302325582,0.7618196588139723
arm1,0.05,4,6368,4615,1753,545,0.7247173366834171,0.8943798449612403,0.8006592643997223
arm1,0.05,5,5655,4473,1182,687,0.7909814323607427,0.8668604651162791,0.8271844660194174
arm1,0.1,1,8876,4750,4126,410,0.5351509689049121,0.9205426356589147,0.676831005984611
arm1,0.1,2,7089,4677,2412,483,0.659754549301735,0.9063953488372093,0.7636541758510899
arm1,0.1,3,6297,4615,1682,545,0.7328886771478482,0.8943798449612403,0.8056210177184254
arm1,0.1,4,5753,4544,1209,616,0.7898487745524074,0.8806201550387597,0.8327682580408686
arm1,0.1,5,5229,4412,817,748,0.8437559762860968,0.8550387596899225,0.8493598998941189
arm1,0.15,1,6600,4547,2053,613,0.688939393939394,0.881201550387597,0.7732993197278912
arm1,0.15,2,5654,4479,1175,681,0.7921825256455607,0.8680232558139535,0.8283706306639541
arm1,0.15,3,5226,4420,806,740,0.845771144278607,0.8565891472868217,0.8511457731561718
arm1,0.15,4,4922,4351,571,809,0.8839902478667209,0.8432170542635659,0.8631223963499305
arm1,0.15,5,4616,4234,382,926,0.9172443674176777,0.8205426356589147,0.8662029459901801
arm1,0.2,1,6311,4458,1853,702,0.7063856758041515,0.8639534883720931,0.7772644058931217
arm1,0.2,2,5420,4388,1032,772,0.8095940959409594,0.8503875968992248,0.8294896030245748
