cell,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
arm2,0.0,1,12715,4841,7874,319,0.3807314195831695,0.9381782945736434,0.5416503496503496
arm2,0.0,2,8974,4770,4204,390,0.5315355471361711,0.9244186046511628,0.6749681618791565
arm2,0.0,3,7553,4708,2845,452,0.6233284787501655,0.9124031007751938,0.7406591677810115
arm2,0.0,4,6652,4634,2018,526,0.6966325917017439,0.898062015503876,0.7846258042668472
arm2,0.0,5,5844,4491,1353,669,0.7684804928131417,0.8703488372093023,0.8162486368593239
arm2,0.01,1,11846,4834,7012,326,0.40807023467837245,0.9368217054263566,0.5685052334470186
arm2,0.01,2,8626,4762,3864,398,0.5520519360074194,0.9228682170542636,0.6908457855795735
arm2,0.01,3,7335,4701,2634,459,0.6408997955010225,0.911046511627907,0.7524609843937574
arm2,0.01,4,6504,4627,1877,533,0.7114083640836408,0.8967054263565891,0.7933813443072701
arm2,0.01,5,5750,4485,1265,675,0.78,0.8691860465116279,0.8221814848762603
arm2,0.02,1,10448,4829,5619,331,0.4621937212863706,0.9358527131782945,0.6187852383393132
arm2,0.02,2,8013,4756,3257,404,0.5935355048046924,0.9217054263565891,0.7220830486601382
arm2,0.02,3,6966,4693,2273,467,0.6737008326155614,0.9094961240310078,0.7740392544944746
arm2,0.02,4,6263,4620,1643,540,0.7376656554366917,0.8953488372093024,0.8088943359887946
arm2,0.02,5,5609,4480,1129,680,0.798716348725263,0.8682170542635659,0.8320178289534776
arm2,0.05,1,10269,4828,5441,332,0.47015288733080146,0.9356589147286821,0.6258344675610863
arm2,0.05,2,7921,4755,3166,405,0.6003029920464588,0.9215116279069767,0.7270086384832963
arm2,0.05,3,6910,4692,2218,468,0.6790159189580318,0.9093023255813953,0.7774647887323943
arm2,0.05,4,6221,4619,1602,541,0.7424851310078765,0.8951550387596899,0.8117037167208505
arm2,0.05,5,5578,4479,1099,681,0.8029759770527071,0.8680232558139535,0.8342335630471224
arm2,0.08,1,7765,4795,2970,365,0.6175144880875725,0.9292635658914729,0.7419729206963249
