,precision,recall,f1
count,5.0,5.0,5.0
mean,0.5888451970453994,0.8188679245283019,0.6813012232229297
std,0.08705662751289599,0.028614624317175655,0.05585983973767447
min,0.4891304347826087,0.7735849056603774,0.6206896551724138
25%,0.5116279069767442,0.8113207547169812,0.6330935251798562
50%,0.6142857142857143,0.8301886792452831,0.6949152542372882
75%,0.6307692307692307,0.8301886792452831,0.6991869918699187
max,0.6984126984126984,0.8490566037735849,0.7586206896551724
