tp,fp,fn,precision,recall,f1,iteration
41,24,12,0.6307692307692307,0.7735849056603774,0.6949152542372882,1
44,42,9,0.5116279069767442,0.8301886792452831,0.6330935251798562,2
43,27,10,0.6142857142857143,0.8113207547169812,0.6991869918699187,3
44,19,9,0.6984126984126984,0.8301886792452831,0.7586206896551724,4
45,47,8,0.4891304347826087,0.8490566037735849,0.6206896551724138,5
