group,question,family,label_a,label_b,f1_a,f1_b,delta_f1,precision_a,precision_b,recall_a,recall_b,n_detections_a,n_detections_b,p_value_raw,p_value_adj,significant,wins_a,losses_a,ties,n_tiles
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-4-of-5--flash-min-vf (t=0.15),0.9044,0.8908,0.0136,0.9296,0.9434,0.8805,0.8437,412,389,0.2098,0.2349,ns,26,13,448,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-4-of-5--flash-medium-vf (t=0.95),0.9044,0.885,0.0194,0.9296,0.9041,0.8805,0.8667,412,417,0.1162,0.1331,ns,28,18,441,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-9-of-10--flash-min-vf (t=0.2),0.9044,0.8691,0.0352,0.9296,0.9716,0.8805,0.7862,412,352,0.0009,0.0013,**,37,7,443,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),pro-high-text-3-of-5--flash-min-vf (t=0.15),0.9044,0.8645,0.0399,0.9296,0.9741,0.8805,0.777,412,347,0.0106,0.0139,*,49,21,417,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"pro-high-text N=5 N=5, 3-of-5",0.9044,0.8554,0.049,0.9296,0.9346,0.8805,0.7885,412,367,0.0022,0.003,**,55,31,401,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-image-3-of-5--flash-min-vf (t=0.15),0.9044,0.8511,0.0533,0.9296,0.8759,0.8805,0.8276,412,411,0.001,0.0014,**,42,22,423,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),text-baseline--flash-min-vf (t=0.15),0.9044,0.832,0.0723,0.9296,0.806,0.8805,0.8598,412,464,0.0,0.0,***,59,20,408,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=30 N=30, 26-of-30",0.9044,0.8259,0.0785,0.9296,0.8458,0.8805,0.8069,412,415,0.0,0.0,***,54,27,406,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"pro-high-image N=5 N=5, 3-of-5",0.9044,0.8212,0.0832,0.9296,0.7898,0.8805,0.8552,412,471,0.0,0.0,***,62,37,388,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-image N=10 N=10, 6-of-10",0.9044,0.8116,0.0928,0.9296,0.7879,0.8805,0.8368,412,462,0.0,0.0,***,59,36,392,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=10 N=10, 9-of-10",0.9044,0.8106,0.0937,0.9296,0.8144,0.8805,0.8069,412,431,0.0,0.0,***,54,29,404,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-image N=5 N=5, 3-of-5",0.9044,0.7992,0.1052,0.9296,0.7431,0.8805,0.8644,412,506,0.0,0.0,***,61,35,391,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=5 N=5, 5-of-5",0.9044,0.7882,0.1161,0.9296,0.8072,0.8805,0.7701,412,415,0.0,0.0,***,62,25,400,487
