fp_index,student_row_id,source_map,decision,notes,timestamp
1,132,K-35-052-4_32635,uncertain,,2026-05-01T04:04:02.562167+00:00
2,131,K-35-052-4_32635,uncertain,,2026-05-01T04:03:44.016788+00:00
3,134,K-35-052-4_32635,uncertain,,2026-05-01T04:03:44.792893+00:00
4,133,K-35-052-4_32635,uncertain,,2026-05-01T04:03:45.864702+00:00
5,347,K-35-053-3_Elenovo,uncertain,,2026-05-01T04:03:46.795129+00:00
6,136,K-35-053-3_Elenovo,uncertain,,2026-05-01T04:03:47.788512+00:00
7,533,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:48.784577+00:00
8,532,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:49.820976+00:00
9,531,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:50.984355+00:00
10,530,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:52.015238+00:00
11,385,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:52.946085+00:00
12,383,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:53.857931+00:00
13,534,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:54.734071+00:00
14,384,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:55.545892+00:00
15,352,K-35-062-2_Rakovski,uncertain,,2026-05-01T04:03:56.389787+00:00
16,536,K-35-078-1_Lesovo,uncertain,,2026-05-01T04:03:57.272898+00:00
17,535,K-35-078-1_Lesovo,uncertain,,2026-05-01T04:03:58.169151+00:00
