threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,973,0.4193,0.757,0.5397,0.4768,0.5947,0.357,0.4795,0.6938,0.808
0.05,778,0.5206,0.7514,0.615,0.556,0.6647,0.4563,0.5786,0.6859,0.8032
0.1,627,0.6348,0.7384,0.6827,0.6302,0.7278,0.583,0.6802,0.6727,0.7933
0.15,527,0.74,0.7236,0.7317,0.6799,0.7763,0.6898,0.7828,0.6578,0.7794
0.2,525,0.7429,0.7236,0.7331,0.6813,0.7769,0.693,0.7857,0.658,0.779
0.25,497,0.7505,0.692,0.7201,0.668,0.766,0.7025,0.7945,0.6268,0.7488
0.3,497,0.7505,0.692,0.7201,0.668,0.766,0.7025,0.7945,0.6268,0.7488
0.35,494,0.751,0.6883,0.7183,0.6653,0.7643,0.702,0.7956,0.6247,0.7452
0.4,492,0.752,0.6865,0.7177,0.6659,0.764,0.7024,0.7955,0.6227,0.7448
0.45,463,0.7581,0.6512,0.7006,0.6474,0.7485,0.7084,0.8034,0.5869,0.7072
0.5,463,0.7581,0.6512,0.7006,0.6474,0.7485,0.7084,0.8034,0.5869,0.7072
0.55,463,0.7581,0.6512,0.7006,0.6474,0.7485,0.7084,0.8034,0.5869,0.7072
0.6,463,0.7581,0.6512,0.7006,0.6474,0.7485,0.7084,0.8034,0.5869,0.7072
0.65,463,0.7581,0.6512,0.7006,0.6474,0.7485,0.7084,0.8034,0.5869,0.7072
0.7,462,0.7597,0.6512,0.7013,0.6479,0.7489,0.7101,0.8045,0.5869,0.7072
0.75,461,0.7592,0.6494,0.7,0.6461,0.7471,0.7099,0.804,0.5833,0.7057
0.8,454,0.7643,0.6438,0.6989,0.6447,0.7449,0.7153,0.8102,0.579,0.701
0.85,453,0.7638,0.6419,0.6976,0.6435,0.7444,0.715,0.8102,0.5781,0.6978
0.9,395,0.7772,0.5696,0.6574,0.6012,0.7047,0.7243,0.8226,0.5055,0.6245
0.95,394,0.7766,0.5677,0.6559,0.5979,0.7028,0.7235,0.8217,0.502,0.6245
1.0,272,0.7978,0.4026,0.5351,0.4819,0.5855,0.7444,0.8481,0.3515,0.4513
