strategy,config,precision,recall,f1,tp,fp,fn,ci_low,ci_high
confidence_fusion,max_0.6,0.1397,1.0000,0.2452,19,117,0,0.0796,0.4001
confidence_fusion,max_0.7,0.2400,0.9474,0.3830,18,57,1,0.1379,0.5984
confidence_fusion,mean_0.3,0.0779,1.0000,0.1445,19,225,0,0.0435,0.2509
confidence_fusion,mean_0.4,0.0749,0.8947,0.1382,17,210,2,0.0450,0.2388
confidence_fusion,mean_0.5,0.1441,0.8947,0.2482,17,101,2,0.0876,0.3947
confidence_fusion,mean_0.6,0.1495,0.8421,0.2540,16,91,3,0.0930,0.3935
confidence_fusion,mean_0.7,0.2449,0.6316,0.3529,12,37,7,0.1290,0.5231
confidence_fusion,product_0.3,0.0638,0.6316,0.1159,12,176,7,0.0356,0.2118
confidence_fusion,product_0.4,0.0659,0.6316,0.1194,12,170,7,0.0377,0.2174
confidence_fusion,product_0.5,0.1325,0.5789,0.2157,11,72,8,0.0640,0.3564
confidence_fusion,product_0.6,0.1325,0.5789,0.2157,11,72,8,0.0640,0.3564
confidence_fusion,product_0.7,0.1724,0.2632,0.2083,5,24,14,0.0000,0.3774
cascaded,conf_3_unc_1-2,0.1417,0.9474,0.2466,18,109,1,0.0847,0.4063
cascaded,conf_3_unc_2-2,0.1466,0.8947,0.2519,17,99,2,0.0839,0.4218
cascaded,conf_4_unc_1-3,0.2045,0.9474,0.3364,18,70,1,0.1233,0.5295
cascaded,conf_4_unc_2-3,0.2208,0.8947,0.3542,17,60,2,0.1290,0.5661
cascaded,conf_5_unc_2-4,0.2742,0.8947,0.4198,17,45,2,0.1562,0.6747
cascaded,conf_5_unc_3-4,0.3036,0.8947,0.4533,17,39,2,0.1714,0.7097
unanimous,within_1,0.5294,0.4737,0.5000,9,8,10,0.1537,0.8000
unanimous,within_2,1.0000,0.2632,0.4167,5,0,14,0.0000,0.8000
unanimous,within_3,1.0000,0.2105,0.3478,4,0,15,0.0000,0.8000
