arm,N,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
arm1,1,0.0,1,8372,4721,3651,439,0.5639034878165313,0.914922480620155,0.6977534732485959
arm1,1,0.05,1,7796,4702,3094,458,0.603129810159056,0.9112403100775194,0.7258413090460019
arm1,1,0.1,1,6660,4630,2030,530,0.6951951951951952,0.8972868217054264,0.7834179357021996
arm1,1,0.15,1,5419,4431,988,729,0.8176785384757336,0.8587209302325581,0.8376973248889309
arm1,1,0.2,1,5219,4348,871,812,0.8331097911477294,0.8426356589147287,0.8378456498699297
arm1,1,0.25,1,4770,4103,667,1057,0.860167714884696,0.79515503875969,0.8263846928499496
arm1,1,0.3,1,4769,4103,666,1057,0.8603480813587754,0.79515503875969,0.8264679222479606
arm1,1,0.35,1,4743,4092,651,1068,0.8627450980392157,0.7930232558139535,0.8264162375037869
arm1,1,0.4,1,4736,4089,647,1071,0.8633868243243243,0.7924418604651163,0.8263945028294261
arm1,1,0.5,1,4531,3941,590,1219,0.8697859192231295,0.7637596899224807,0.8133319574863276
arm1,1,0.6,1,4529,3940,589,1220,0.8699492161625083,0.7635658914728682,0.8132934255341109
arm1,1,0.65,1,4528,3939,589,1221,0.8699204946996466,0.7633720930232558,0.8131709331131297
arm1,1,0.7,1,4516,3928,588,1232,0.8697962798937112,0.7612403100775194,0.8119057461761059
arm1,1,0.75,1,4509,3923,586,1237,0.8700377023730317,0.7602713178294573,0.8114593029268797
arm1,1,0.85,1,4399,3838,561,1322,0.8724710161400319,0.743798449612403,0.8030128674547546
arm1,1,0.9,1,4036,3536,500,1624,0.8761149653121902,0.6852713178294574,0.7690300130491518
arm1,1,0.95,1,4033,3535,498,1625,0.8765187205554178,0.685077519379845,0.7690634178179049
arm1,1,0.98,1,2824,2525,299,2635,0.8941218130311614,0.4893410852713178,0.6325150300601202
arm1,1,1.0,1,2820,2521,299,2639,0.8939716312056738,0.4885658914728682,0.6318295739348372
arm2,1,0.0,1,8372,4721,3651,439,0.5639034878165313,0.914922480620155,0.6977534732485959
arm2,1,0.01,1,8013,4713,3300,447,0.5881692250093598,0.9133720930232558,0.715554543384195
arm2,1,0.02,1,7470,4706,2764,454,0.6299866131191433,0.912015503875969,0.7452098178939034
arm2,1,0.05,1,7394,4705,2689,455,0.6363267514200703,0.9118217054263565,0.749561892623865
arm2,1,0.08,1,6220,4682,1538,478,0.7527331189710611,0.9073643410852713,0.8228471001757469
arm2,1,0.1,1,6219,4682,1537,478,0.7528541566168194,0.9073643410852713,0.8229194129536866
arm2,1,0.15,1,6137,4679,1458,481,0.7624246374450057,0.9067829457364341,0.8283615119058158
arm2,1,0.2,1,6015,4673,1342,487,0.7768911055694098,0.9056201550387597,0.8363310961968679
arm2,1,0.25,1,6004,4673,1331,487,0.7783144570286475,0.9056201550387597,0.8371551415263346
arm2,1,0.35,1,5981,4673,1308,487,0.7813074736666109,0.9056201550387597,0.838883403644197
arm2,1,0.4,1,5971,4673,1298,487,0.7826159772232457,0.9056201550387597,0.8396370496810709
arm2,1,0.45,1,5961,4673,1288,487,0.7839288709947996,0.9056201550387597,0.8403920510745437
arm2,1,0.55,1,5953,4672,1281,488,0.7848143793045523,0.9054263565891473,0.8408170610996131
arm2,1,0.65,1,5952,4672,1280,488,0.7849462365591398,0.9054263565891473,0.8408927285817135
arm2,1,0.7,1,5949,4672,1277,488,0.7853420742982014,0.9054263565891473,0.8411198127644252
arm2,1,0.75,1,5946,4672,1274,488,0.7857383114698957,0.9054263565891473,0.8413470196290294
arm2,1,0.8,1,5936,4672,1264,488,0.7870619946091644,0.9054263565891473,0.8421052631578947
arm2,1,0.85,1,5934,4672,1262,488,0.7873272665992586,0.9054263565891473,0.8422570758968811
