arm,N,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
arm2,1,0.88,1,5875,4667,1208,493,0.7943829787234042,0.9044573643410853,0.8458541005890349
arm2,1,0.9,1,5838,4660,1178,500,0.7982185680027407,0.9031007751937985,0.8474268048736134
arm2,1,0.92,1,5830,4659,1171,501,0.7991423670668953,0.9029069767441861,0.8478616924476797
arm2,1,0.95,1,5794,4654,1140,506,0.8032447359337246,0.9019379844961241,0.8497352565272961
arm2,1,0.96,1,5022,4359,663,801,0.8679808841099164,0.8447674418604652,0.8562168532704773
arm2,1,0.98,1,5021,4359,662,801,0.8681537542322246,0.8447674418604652,0.8563009527551322
arm2,1,0.99,1,1381,1266,115,3894,0.9167270094134685,0.2453488372093023,0.38709677419354843
arm2,1,1.0,1,352,325,27,4835,0.9232954545454546,0.06298449612403101,0.1179245283018868
arm1,3,0.0,1,11076,4819,6257,341,0.4350848681834597,0.9339147286821705,0.5936191180093618
arm1,3,0.0,2,7739,4720,3019,440,0.6098979196278589,0.9147286821705426,0.7318396774943794
arm1,3,0.0,3,6261,4566,1695,594,0.729276473406804,0.8848837209302326,0.7995797215655371
arm1,3,0.05,1,10030,4800,5230,360,0.4785643070787637,0.9302325581395349,0.6319947333772218
arm1,3,0.05,2,7303,4699,2604,461,0.6434342051211831,0.9106589147286822,0.7540720532777021
arm1,3,0.05,3,6019,4545,1474,615,0.7551088220634657,0.8808139534883721,0.8131317649163611
arm1,3,0.1,1,8075,4724,3351,436,0.585015479876161,0.9155038759689923,0.7138647525500567
arm1,3,0.1,2,6389,4624,1765,536,0.7237439348880889,0.896124031007752,0.8007619707333968
arm1,3,0.1,3,5482,4479,1003,681,0.8170375775264502,0.8680232558139535,0.8417590678443901
arm1,3,0.15,1,6198,4522,1676,638,0.7295901903839949,0.8763565891472869,0.7962669484064097
arm1,3,0.15,2,5275,4428,847,732,0.8394312796208531,0.858139534883721,0.8486823191183518
arm1,3,0.15,3,4772,4293,479,867,0.8996227996647108,0.8319767441860465,0.864478453483689
arm1,3,0.2,1,5937,4434,1503,726,0.7468418393127843,0.8593023255813953,0.7991349013246822
arm1,3,0.2,2,5080,4341,739,819,0.8545275590551181,0.8412790697674418,0.8478515624999999
arm1,3,0.2,3,4613,4210,403,950,0.9126381964014741,0.8158914728682171,0.8615573518878543
arm1,3,0.25,1,5377,4195,1182,965,0.780174818672122,0.812984496124031,0.7962418145582234
arm1,3,0.25,2,4651,4089,562,1071,0.8791657708019781,0.7924418604651163,0.833554173886454
arm1,3,0.25,3,4248,3957,291,1203,0.931497175141243,0.766860465116279,0.8411989795918368
arm1,3,0.3,1,5376,4195,1181,965,0.7803199404761905,0.812984496124031,0.7963173880030371
arm1,3,0.3,2,4650,4089,561,1071,0.8793548387096775,0.7924418604651163,0.833639143730887
arm1,3,0.3,3,4247,3957,290,1203,0.931716505768778,0.766860465116279,0.8412884022536409
arm1,3,0.35,1,5344,4184,1160,976,0.7829341317365269,0.8108527131782945,0.7966488956587967
arm1,3,0.35,2,4625,4076,549,1084,0.8812972972972973,0.789922480620155,0.8331119059785386
arm1,3,0.35,3,4226,3944,282,1216,0.9332702318977757,0.7643410852713178,0.8404005966332837
arm1,3,0.4,1,5327,4178,1149,982,0.7843063638070208,0.8096899224806201,0.796796033183942
arm1,3,0.4,2,4619,4073,546,1087,0.8817925957999567,0.7893410852713179,0.8330095101748645
arm1,3,0.4,3,4221,3941,280,1219,0.9336650082918739,0.7637596899224807,0.840208932949579
arm1,3,0.5,1,5087,4029,1058,1131,0.7920188716335758,0.7808139534883721,0.786376500439153
arm1,3,0.5,2,4415,3925,490,1235,0.8890147225368064,0.7606589147286822,0.8198433420365536
arm1,3,0.5,3,4043,3801,242,1359,0.9401434578283453,0.7366279069767442,0.826034988590677
arm1,3,0.6,1,5085,4028,1057,1132,0.792133726647001,0.7806201550387597,0.7863347974621767
arm1,3,0.6,2,4413,3923,490,1237,0.8889644232948107,0.7602713178294573,0.8195967826177791
arm1,3,0.6,3,4041,3799,242,1361,0.9401138332096016,0.7362403100775193,0.8257798065427672
arm1,3,0.65,1,5084,4028,1056,1132,0.7922895357985837,0.7806201550387597,0.786411557985162
arm1,3,0.65,2,4412,3922,490,1238,0.8889392565729828,0.7600775193798449,0.8194734642707897
arm1,3,0.65,3,4040,3798,242,1362,0.94009900990099,0.736046511627907,0.8256521739130435
arm1,3,0.7,1,5071,4017,1054,1143,0.7921514494182607,0.7784883720930232,0.7852604828462516
arm1,3,0.7,2,4400,3911,489,1249,0.8888636363636364,0.7579457364341086,0.8182008368200837
arm1,3,0.7,3,4030,3788,242,1372,0.9399503722084367,0.734108527131783,0.8243743199129488
arm1,3,0.75,1,5059,4012,1047,1148,0.7930421031824472,0.7775193798449612,0.7852040317056465
arm1,3,0.75,2,4391,3905,486,1255,0.8893190617171487,0.7567829457364341,0.8177154224688514
arm1,3,0.75,3,4022,3782,240,1378,0.9403281949278965,0.7329457364341085,0.8237856676105423
arm1,3,0.85,1,4938,3926,1012,1234,0.7950587282300526,0.7608527131782946,0.7775797187561894
arm1,3,0.85,2,4284,3823,461,1337,0.892390289449113,0.7408914728682171,0.8096145700974164
arm1,3,0.85,3,3933,3704,229,1456,0.9417747266717519,0.7178294573643411,0.8146926206972397
arm1,3,0.9,1,4528,3626,902,1534,0.8007950530035336,0.7027131782945737,0.7485549132947977
arm1,3,0.9,2,3934,3526,408,1634,0.8962887646161668,0.6833333333333333,0.7754563448427534
arm1,3,0.9,3,3615,3404,211,1756,0.9416320885200553,0.6596899224806202,0.7758404558404558
arm1,3,0.95,1,4524,3625,899,1535,0.8012820512820513,0.7025193798449613,0.7486575795125983
arm1,3,0.95,2,3930,3524,406,1636,0.8966921119592876,0.6829457364341085,0.7753575357535754
arm1,3,0.95,3,3612,3403,209,1757,0.9421373200442967,0.6594961240310078,0.7758777929776561
arm1,3,0.98,1,3186,2628,558,2532,0.8248587570621468,0.5093023255813953,0.629762760603882
arm1,3,0.98,2,2739,2497,242,2663,0.9116465863453815,0.48391472868217056,0.6322319280921636
arm1,3,0.98,3,2512,2393,119,2767,0.9526273885350318,0.4637596899224806,0.6238269030239834
arm1,3,1.0,1,3182,2624,558,2536,0.8246385920804525,0.5085271317829457,0.6291057300407576
arm1,3,1.0,2,2735,2493,242,2667,0.9115173674588666,0.4831395348837209,0.63153894870171
arm1,3,1.0,3,2508,2389,119,2771,0.9525518341307815,0.46298449612403103,0.6231090245174753
arm2,3,0.0,1,11076,4819,6257,341,0.4350848681834597,0.9339147286821705,0.5936191180093618
arm2,3,0.0,2,7739,4720,3019,440,0.6098979196278589,0.9147286821705426,0.7318396774943794
arm2,3,0.0,3,6261,4566,1695,594,0.729276473406804,0.8848837209302326,0.7995797215655371
arm2,3,0.01,1,10417,4812,5605,348,0.4619372180090237,0.9325581395348838,0.6178339860050074
arm2,3,0.01,2,7495,4713,2782,447,0.628819212808539,0.9133720930232558,0.7448439352034769
arm2,3,0.01,3,6134,4560,1574,600,0.7433974567981741,0.8837209302325582,0.8075084115459538
arm2,3,0.02,1,9373,4806,4567,354,0.5127493865357943,0.9313953488372093,0.6613913163145944
arm2,3,0.02,2,7102,4705,2397,455,0.6624894395944805,0.9118217054263565,0.7674115152503671
arm2,3,0.02,3,5938,4553,1385,607,0.7667564836645335,0.8823643410852713,0.8205081996756172
arm2,3,0.05,1,9231,4805,4426,355,0.5205286534503304,0.9312015503875969,0.6677784726565213
arm2,3,0.05,2,7037,4704,2333,456,0.6684666761404008,0.9116279069767442,0.7713372140690333
arm2,3,0.05,3,5900,4552,1348,608,0.7715254237288136,0.8821705426356589,0.8231464737793853
arm2,3,0.08,1,7252,4775,2477,385,0.6584390512961942,0.9253875968992248,0.7694166935223977
arm2,3,0.08,2,6052,4681,1371,479,0.7734633179114342,0.9071705426356589,0.8349982161969318
arm2,3,0.08,3,5364,4534,830,626,0.8452647278150633,0.8786821705426356,0.8616495629038388
arm2,3,0.1,1,7251,4775,2476,385,0.6585298579506275,0.9253875968992248,0.7694786882604141
arm2,3,0.1,2,6051,4681,1370,479,0.7735911419600066,0.9071705426356589,0.8350726964588351
arm2,3,0.1,3,5363,4534,829,626,0.8454223382435204,0.8786821705426356,0.8617314454053027
arm2,3,0.15,1,7111,4773,2338,387,0.6712136127126986,0.925,0.7779317089071796
arm2,3,0.15,2,5968,4677,1291,483,0.7836796246648794,0.9063953488372093,0.8405823148813802
arm2,3,0.15,3,5321,4530,791,630,0.8513437323811314,0.877906976744186,0.8644213338421906
arm2,3,0.2,1,6931,4766,2165,394,0.6876352618669744,0.9236434108527132,0.7883549747746258
arm2,3,0.2,2,5842,4671,1171,489,0.7995549469359808,0.9052325581395348,0.8491183421196146
arm2,3,0.2,3,5234,4525,709,635,0.8645395491020252,0.876937984496124,0.8706946315181836
arm2,3,0.25,1,6911,4766,2145,394,0.6896252351323976,0.9236434108527132,0.7896611714025349
arm2,3,0.25,2,5831,4671,1160,489,0.8010632824558395,0.9052325581395348,0.8499681557638067
arm2,3,0.25,3,5227,4525,702,635,0.8656973407308207,0.876937984496124,0.8712814094541252
arm2,3,0.3,1,6881,4766,2115,394,0.6926318849004505,0.9236434108527132,0.7916286022755585
arm2,3,0.3,2,5810,4671,1139,489,0.8039586919104992,0.9052325581395348,0.8515952597994529
arm2,3,0.3,3,5215,4525,690,635,0.8676893576222435,0.876937984496124,0.872289156626506
arm2,3,0.35,1,6880,4766,2114,394,0.6927325581395349,0.9236434108527132,0.7916943521594685
arm2,3,0.35,2,5809,4671,1138,489,0.8040970907212945,0.9052325581395348,0.8516728963442428
arm2,3,0.35,3,5215,4525,690,635,0.8676893576222435,0.876937984496124,0.872289156626506
arm2,3,0.4,1,6870,4766,2104,394,0.6937409024745269,0.9236434108527132,0.7923524522028262
arm2,3,0.4,2,5801,4671,1130,489,0.8052059989656956,0.9052325581395348,0.852294498677128
arm2,3,0.4,3,5209,4525,684,635,0.8686888078325974,0.876937984496124,0.8727939049088629
arm2,3,0.45,1,6857,4766,2091,394,0.6950561470030626,0.9236434108527132,0.7932096197054174
arm2,3,0.45,2,5795,4671,1124,489,0.8060396893874029,0.9052325581395348,0.8527612962117754
arm2,3,0.45,3,5204,4525,679,635,0.8695234435049961,0.876937984496124,0.8732149749131609
arm2,3,0.55,1,6844,4764,2080,396,0.6960841613091759,0.9232558139534883,0.793735421526158
arm2,3,0.55,2,5786,4669,1117,491,0.8069478050466644,0.9048449612403101,0.8530970217431025
arm2,3,0.55,3,5198,4524,674,636,0.8703347441323586,0.8767441860465116,0.8735277080517474
arm2,3,0.65,1,6842,4764,2078,396,0.6962876351943876,0.9232558139534883,0.7938676887185468
arm2,3,0.65,2,5785,4669,1116,491,0.8070872947277442,0.9048449612403101,0.8531749657377798
arm2,3,0.65,3,5198,4524,674,636,0.8703347441323586,0.8767441860465116,0.8735277080517474
arm2,3,0.7,1,6837,4764,2073,396,0.6967968407196139,0.9232558139534883,0.7941985496374093
arm2,3,0.7,2,5782,4669,1113,491,0.8075060532687651,0.9048449612403101,0.8534088832023397
arm2,3,0.7,3,5195,4524,671,636,0.8708373435996151,0.8767441860465116,0.8737807822308064
arm2,3,0.75,1,6834,4764,2070,396,0.6971027216856892,0.9232558139534883,0.7943971985992997
arm2,3,0.75,2,5780,4669,1111,491,0.8077854671280277,0.9048449612403101,0.853564899451554
arm2,3,0.75,3,5193,4524,669,636,0.8711727325245523,0.8767441860465116,0.8739495798319328
arm2,3,0.8,1,6820,4764,2056,396,0.6985337243401759,0.9232558139534883,0.7953255425709514
arm2,3,0.8,2,5770,4669,1101,491,0.8091854419410746,0.9048449612403101,0.8543458371454712
arm2,3,0.8,3,5187,4524,663,636,0.8721804511278195,0.8767441860465116,0.8744563641635256
arm2,3,0.85,1,6818,4764,2054,396,0.6987386330302141,0.9232558139534883,0.7954583402905326
arm2,3,0.85,2,5768,4669,1099,491,0.8094660194174758,0.9048449612403101,0.8545021961932651
arm2,3,0.85,3,5187,4524,663,636,0.8721804511278195,0.8767441860465116,0.8744563641635256
arm2,3,0.88,1,6714,4761,1953,399,0.7091152815013405,0.9226744186046512,0.8019201616978272
arm2,3,0.88,2,5715,4665,1050,495,0.8162729658792651,0.9040697674418605,0.8579310344827586
arm2,3,0.88,3,5149,4521,628,639,0.8780345698193824,0.8761627906976744,0.8770976816374043
arm2,3,0.9,1,6659,4753,1906,407,0.7137708364619312,0.921124031007752,0.8042981639732634
arm2,3,0.9,2,5681,4657,1024,503,0.8197500440063369,0.9025193798449612,0.8591458352550503
arm2,3,0.9,3,5127,4514,613,646,0.8804369026721279,0.8748062015503876,0.87761252065714
arm2,3,0.92,1,6649,4753,1896,407,0.71484433749436,0.921124031007752,0.8049792531120331
arm2,3,0.92,2,5676,4656,1020,504,0.8202959830866807,0.9023255813953488,0.8593576965669989
arm2,3,0.92,3,5124,4513,611,647,0.8807572209211554,0.8746124031007751,0.8776740567872423
arm2,3,0.95,1,6602,4746,1856,414,0.7188730687670403,0.9197674418604651,0.8070056112905968
arm2,3,0.95,2,5639,4651,988,509,0.8247916297215818,0.9013565891472868,0.861376053338272
arm2,3,0.95,3,5097,4508,589,652,0.8844418285265843,0.8736434108527131,0.879009456956225
arm2,3,0.96,1,5619,4438,1181,722,0.789820252714006,0.860077519379845,0.8234530104833473
arm2,3,0.96,2,4894,4351,543,809,0.8890478136493666,0.8432170542635659,0.8655261587427889
arm2,3,0.96,3,4499,4226,273,934,0.9393198488553012,0.8189922480620155,0.8750388238948131
arm2,3,0.98,1,5618,4438,1180,722,0.7899608401566394,0.860077519379845,0.8235294117647058
arm2,3,0.98,2,4893,4351,542,809,0.8892295115471082,0.8432170542635659,0.8656122550482442
arm2,3,0.98,3,4499,4226,273,934,0.9393198488553012,0.8189922480620155,0.8750388238948131
arm2,3,0.99,1,1548,1329,219,3831,0.8585271317829457,0.2575581395348837,0.39624329159212873
arm2,3,0.99,2,1340,1249,91,3911,0.932089552238806,0.24205426356589146,0.38430769230769224
arm2,3,0.99,3,1227,1186,41,3974,0.9665851670741646,0.22984496124031006,0.37137936433380303
arm2,3,1.0,1,400,344,56,4816,0.86,0.06666666666666667,0.1237410071942446
arm2,3,1.0,2,347,317,30,4843,0.9135446685878963,0.061434108527131784,0.11512620301434538
arm2,3,1.0,3,316,303,13,4857,0.9588607594936709,0.05872093023255814,0.11066471877282687
