condition_type,condition_label,short_label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
pv,flash-high-text-9-of-10--flash-min-vf,PV: Flash text 9/10 + min-vf,20,0.8564,0.8252,0.8852,0.9574,0.9322,0.9775,0.7747,0.7283,0.8195
pv,flash-high-text-9-of-10--flash-min-vf,PV: Flash text 9/10 + min-vf,30,0.8691,0.8368,0.8968,0.9716,0.9485,0.9883,0.7862,0.7377,0.8296
pv,flash-high-text-9-of-10--flash-min-vf,PV: Flash text 9/10 + min-vf,40,0.8691,0.8368,0.8968,0.9716,0.9485,0.9883,0.7862,0.7377,0.8296
pv,flash-high-text-9-of-10--flash-min-vf,PV: Flash text 9/10 + min-vf,50,0.8691,0.8368,0.8968,0.9716,0.9485,0.9883,0.7862,0.7377,0.8296
pv,pro-high-text-3-of-5--flash-min-vf,PV: Pro text 3/5 + min-vf,20,0.8491,0.8121,0.8832,0.9568,0.9342,0.9776,0.7632,0.7070,0.8164
pv,pro-high-text-3-of-5--flash-min-vf,PV: Pro text 3/5 + min-vf,30,0.8645,0.8283,0.8962,0.9741,0.9566,0.9891,0.7770,0.7211,0.8281
pv,pro-high-text-3-of-5--flash-min-vf,PV: Pro text 3/5 + min-vf,40,0.8670,0.8323,0.8982,0.9769,0.9613,0.9916,0.7793,0.7246,0.8309
pv,pro-high-text-3-of-5--flash-min-vf,PV: Pro text 3/5 + min-vf,50,0.8670,0.8323,0.8982,0.9769,0.9613,0.9916,0.7793,0.7246,0.8309
pv,text-baseline--flash-min-vf,PV: Text baseline + min-vf,20,0.8142,0.7798,0.8437,0.7888,0.7431,0.8274,0.8414,0.8005,0.8804
pv,text-baseline--flash-min-vf,PV: Text baseline + min-vf,30,0.8320,0.7995,0.8572,0.8060,0.7628,0.8421,0.8598,0.8197,0.8946
pv,text-baseline--flash-min-vf,PV: Text baseline + min-vf,40,0.8387,0.8067,0.8647,0.8125,0.7711,0.8468,0.8667,0.8266,0.9007
pv,text-baseline--flash-min-vf,PV: Text baseline + min-vf,50,0.8387,0.8067,0.8647,0.8125,0.7711,0.8468,0.8667,0.8266,0.9007
consensus,flash-high-image,Consensus: Flash image N=10,20,0.7500,0.7073,0.7904,0.7778,0.7293,0.8199,0.7241,0.6717,0.7741
consensus,flash-high-image,Consensus: Flash image N=10,30,0.8116,0.7770,0.8413,0.7879,0.7411,0.8267,0.8368,0.7901,0.8794
consensus,flash-high-image,Consensus: Flash image N=10,40,0.8294,0.7950,0.8590,0.8052,0.7575,0.8425,0.8552,0.8130,0.8960
consensus,flash-high-image,Consensus: Flash image N=10,50,0.8339,0.7995,0.8623,0.8095,0.7628,0.8445,0.8598,0.8156,0.9010
consensus,flash-high-image,Consensus: Flash image N=5,20,0.7269,0.6870,0.7646,0.6759,0.6284,0.7208,0.7862,0.7413,0.8311
consensus,flash-high-image,Consensus: Flash image N=5,30,0.7991,0.7618,0.8293,0.7431,0.6931,0.7841,0.8644,0.8247,0.9031
consensus,flash-high-image,Consensus: Flash image N=5,40,0.8183,0.7832,0.8485,0.7609,0.7112,0.8044,0.8851,0.8483,0.9196
consensus,flash-high-image,Consensus: Flash image N=5,50,0.8268,0.7932,0.8560,0.7688,0.7198,0.8110,0.8943,0.8584,0.9287
consensus,flash-high-text,Consensus: Flash text N=10,20,0.7968,0.7567,0.8299,0.8005,0.7494,0.8456,0.7931,0.7478,0.8387
consensus,flash-high-text,Consensus: Flash text N=10,30,0.8106,0.7732,0.8422,0.8144,0.7634,0.8577,0.8069,0.7630,0.8501
consensus,flash-high-text,Consensus: Flash text N=10,40,0.8106,0.7732,0.8422,0.8144,0.7634,0.8577,0.8069,0.7630,0.8501
consensus,flash-high-text,Consensus: Flash text N=10,50,0.8106,0.7732,0.8422,0.8144,0.7634,0.8577,0.8069,0.7630,0.8501
consensus,flash-high-text,Consensus: Flash text N=30,20,0.8141,0.7785,0.8463,0.8337,0.7877,0.8741,0.7954,0.7529,0.8396
consensus,flash-high-text,Consensus: Flash text N=30,30,0.8259,0.7927,0.8575,0.8458,0.8011,0.8870,0.8069,0.7632,0.8502
consensus,flash-high-text,Consensus: Flash text N=30,40,0.8259,0.7927,0.8575,0.8458,0.8011,0.8870,0.8069,0.7632,0.8502
consensus,flash-high-text,Consensus: Flash text N=30,50,0.8259,0.7927,0.8575,0.8458,0.8011,0.8870,0.8069,0.7632,0.8502
consensus,flash-high-text,Consensus: Flash text N=5,20,0.7788,0.7390,0.8166,0.7976,0.7432,0.8446,0.7609,0.7143,0.8117
consensus,flash-high-text,Consensus: Flash text N=5,30,0.7882,0.7503,0.8234,0.8072,0.7554,0.8513,0.7701,0.7239,0.8203
consensus,flash-high-text,Consensus: Flash text N=5,40,0.7882,0.7503,0.8234,0.8072,0.7554,0.8513,0.7701,0.7239,0.8203
consensus,flash-high-text,Consensus: Flash text N=5,50,0.7882,0.7503,0.8234,0.8072,0.7554,0.8513,0.7701,0.7239,0.8203
consensus,pro-high-image,Consensus: Pro image N=5,20,0.6998,0.6535,0.7407,0.6730,0.6217,0.7175,0.7287,0.6772,0.7755
consensus,pro-high-image,Consensus: Pro image N=5,30,0.8212,0.7870,0.8509,0.7898,0.7489,0.8288,0.8552,0.8153,0.8898
