condition_type,condition_label,pool_size,buffer_metres,config_details,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,n_detections
consensus,flash-min-text-t10,10,20,"N=10, 9-of-10",0.4615,0.3911,0.5265,0.5455,0.4554,0.6362,0.4,0.3311,0.4648,319
consensus,flash-min-text-t10,30,20,"N=30, 22-of-30",0.467,0.3954,0.5316,0.4987,0.4091,0.5891,0.4391,0.3671,0.505,383
consensus,flash-min-text-t10,5,30,"N=5, 5-of-5",0.4795,0.4064,0.5446,0.5932,0.4986,0.6847,0.4023,0.334,0.4691,295
consensus,flash-min-text-t10,10,30,"N=10, 9-of-10",0.4695,0.3983,0.5346,0.5549,0.4623,0.6476,0.4069,0.3394,0.4719,319
consensus,flash-min-text-t10,30,30,"N=30, 22-of-30",0.4768,0.4063,0.5402,0.5091,0.4163,0.6012,0.4483,0.3758,0.5126,383
consensus,flash-min-text-t10,5,40,"N=5, 5-of-5",0.4822,0.4098,0.5468,0.5966,0.5019,0.6912,0.4046,0.3347,0.4724,295
consensus,flash-min-text-t10,10,40,"N=10, 9-of-10",0.4748,0.4029,0.5405,0.5611,0.4714,0.655,0.4115,0.3434,0.4771,319
consensus,flash-min-text-t10,30,40,"N=30, 26-of-30",0.4814,0.4081,0.5459,0.571,0.4723,0.6709,0.4161,0.3474,0.4798,317
consensus,flash-min-text-t10,5,50,"N=5, 5-of-5",0.4849,0.4118,0.5491,0.6,0.507,0.6914,0.4069,0.3383,0.4745,295
consensus,flash-min-text-t10,10,50,"N=10, 9-of-10",0.4775,0.407,0.5419,0.5643,0.4731,0.6593,0.4138,0.3444,0.4794,319
consensus,flash-min-text-t10,30,50,"N=30, 26-of-30",0.484,0.4104,0.5481,0.5741,0.4765,0.6739,0.4184,0.3497,0.4824,317
consensus,pro-high-image,5,20,"N=5, 3-of-5",0.6998,0.6535,0.7407,0.673,0.6217,0.7175,0.7287,0.6772,0.7755,471
consensus,pro-high-image,5,30,"N=5, 3-of-5",0.8212,0.787,0.8509,0.7898,0.7489,0.8288,0.8552,0.8153,0.8898,471
consensus,pro-high-image,5,40,"N=5, 3-of-5",0.8521,0.8231,0.8808,0.8195,0.7803,0.8597,0.8874,0.8531,0.9188,471
consensus,pro-high-image,5,50,"N=5, 3-of-5",0.8653,0.8391,0.8926,0.8323,0.7933,0.8703,0.9011,0.8709,0.9305,471
consensus,pro-high-text,5,20,"N=5, 3-of-5",0.8404,0.8,0.8749,0.9183,0.8853,0.9481,0.7747,0.7177,0.8268,367
consensus,pro-high-text,5,30,"N=5, 3-of-5",0.8554,0.8199,0.8875,0.9346,0.9049,0.9613,0.7885,0.7343,0.8392,367
consensus,pro-high-text,5,40,"N=5, 3-of-5",0.8579,0.8224,0.8897,0.9373,0.9083,0.9626,0.7908,0.7366,0.8403,367
