threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,882,0.4875,0.7978,0.6052,0.5469,0.6551,0.4249,0.5445,0.7425,0.8458
0.05,671,0.6379,0.7941,0.7074,0.6594,0.7528,0.5813,0.6878,0.7413,0.8434
0.1,581,0.7349,0.7922,0.7625,0.7176,0.8028,0.6891,0.7782,0.739,0.8416
0.15,555,0.7604,0.7829,0.7715,0.7262,0.8121,0.7156,0.8023,0.729,0.834
0.2,539,0.7737,0.7737,0.7737,0.7273,0.8157,0.7305,0.8154,0.7195,0.8259
0.25,530,0.7792,0.7662,0.7727,0.7269,0.8164,0.736,0.8212,0.7111,0.8207
0.3,521,0.7831,0.757,0.7698,0.7247,0.8129,0.7408,0.8252,0.7028,0.8099
0.35,517,0.7853,0.7532,0.7689,0.7243,0.811,0.7417,0.827,0.7,0.8071
0.4,510,0.7882,0.7458,0.7664,0.7214,0.8087,0.746,0.8302,0.6924,0.8007
0.45,503,0.7893,0.7365,0.762,0.718,0.8042,0.7486,0.8312,0.6833,0.7907
0.5,490,0.7939,0.7217,0.7561,0.7122,0.798,0.7516,0.834,0.6684,0.7753
0.55,482,0.7988,0.7143,0.7542,0.7084,0.797,0.756,0.8398,0.6601,0.7687
0.6,467,0.8009,0.6939,0.7435,0.6988,0.7872,0.758,0.841,0.6377,0.7491
0.65,456,0.8048,0.6809,0.7377,0.6918,0.7818,0.7603,0.8451,0.625,0.7361
0.7,445,0.809,0.6679,0.7317,0.6845,0.7762,0.7635,0.8508,0.6114,0.7258
0.75,431,0.8074,0.6456,0.7175,0.6674,0.7633,0.7617,0.8486,0.5884,0.7025
0.8,392,0.8138,0.5918,0.6853,0.6381,0.7319,0.769,0.8554,0.5376,0.6494
0.85,350,0.8257,0.5362,0.6502,0.6002,0.6964,0.7784,0.8699,0.4825,0.5902
0.9,332,0.8253,0.5083,0.6292,0.5782,0.6779,0.7752,0.8693,0.4543,0.5647
0.95,267,0.824,0.4082,0.5459,0.4903,0.5991,0.7686,0.8711,0.3573,0.4612
1.0,85,0.8588,0.1354,0.234,0.1926,0.2789,0.7692,0.9355,0.1089,0.1653
