R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,401,4385,4345,4746,0,4746,0.08378604262432093,0.07544295909463482,0.09220444170118504,0.08449220396123051,0.07609788436880756,0.09303308665318555,0.08413764162819974,0.07586924356659942,0.09252998422753593,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
10,1313,3473,3433,4746,0,4746,0.27434183033848725,0.2603414671955636,0.28838803875953084,0.27665402444163506,0.26241067759972847,0.29124820659971307,0.275493075954679,0.26181899021026017,0.2893380342112438,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
15,2290,2496,2456,4746,0,4746,0.47847889678228167,0.46261777658169007,0.49427726986145637,0.48251158870627897,0.46631328909816844,0.49855818506857114,0.4804867813680235,0.465374423507738,0.49559664894750843,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
20,3006,1780,1740,4746,0,4746,0.6280819055578771,0.612403060584723,0.643750648340249,0.6333754740834386,0.617406187253836,0.6488287169207237,0.6307175828787243,0.6163504458909492,0.6449177672160153,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
25,3427,1359,1319,4746,0,4746,0.7160468031759298,0.7015798962259815,0.730040023843271,0.7220817530552044,0.707712156477357,0.7364404261474321,0.7190516156105748,0.7066567576175815,0.7312110671639449,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
30,3666,1120,1080,4746,0,4746,0.7659841203510238,0.7520678246847147,0.7796320417057745,0.7724399494310998,0.7589263084038868,0.7855693862796619,0.7691984892992026,0.7578676435563533,0.7803265648837817,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
35,3782,1004,964,4746,0,4746,0.7902214793146678,0.7769087777442523,0.8033380645736166,0.7968815844922039,0.7839779060152434,0.809614769926275,0.7935375577003777,0.7830616681553924,0.8040487547235563,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
40,3832,954,914,4746,0,4746,0.800668616798997,0.7877521096399018,0.8135557443441225,0.8074167720185419,0.7945145393703159,0.8198697313565078,0.8040285354595047,0.7939007519851828,0.8142759314463732,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
45,3856,930,890,4746,0,4746,0.8056832427914752,0.7927438229896867,0.8183848324970484,0.8124736620311842,0.7998742533253744,0.8248266523480325,0.8090642047838859,0.7989229213843829,0.8190797329057853,0.6591388042946786,0.6443551970917751,0.6738128078535384,2330,4826,334,1051,0.689145223306714,0.9352713178294574
50,4190,596,971,4746,415,5161,0.8754701211867948,0.8652341916507655,0.8855547627930594,0.811858167021895,0.7998796818610259,0.8235876037437164,0.8424650648436715,0.8334551264908702,0.8511651325758406,0.679608597108498,0.6655687186915595,0.6934161711732358,2423,4776,241,1101,0.6875709421112373,0.9519633246960335
75,4231,555,1109,4746,594,5340,0.8840367739239449,0.8741495228780195,0.8939735416135328,0.7923220973782772,0.7800074321813453,0.8044564206625033,0.8356705510566858,0.8265826156479703,0.8445309475269122,0.6789717038614729,0.6650614460133911,0.6926384267333074,2428,4764,236,1113,0.6856820107314318,0.9528
100,4263,523,1168,4746,685,5431,0.8907229419139155,0.8809119453771019,0.9004355942750467,0.7849383170686798,0.7725280646811935,0.7971020578736387,0.8344915337183126,0.8253937135745579,0.8432773327641379,0.6786329755942868,0.6648047022778335,0.6923715812768556,2431,4757,233,1120,0.6845958884821177,0.9533066132264529
125,4280,506,1195,4746,729,5475,0.8942749686585876,0.884591118754005,0.9038870361936947,0.7817351598173516,0.7692154260417318,0.7940863116704527,0.8342266835591075,0.8250170904497213,0.8429533742042367,0.6787215354480589,0.6648552016773491,0.6924928338715584,2433,4754,231,1123,0.6841957255343082,0.9536609829488465
150,4293,493,1216,4746,763,5509,0.8969912244045132,0.8873976278099576,0.9064934250125277,0.7792702849882012,0.7667338347625062,0.7915823241613925,0.8339970859640602,0.8248138787056182,0.8426913804628702,0.6787215354480589,0.6648552016773491,0.6924928338715584,2433,4754,231,1123,0.6841957255343082,0.9536609829488465
