tp,fp,fn,precision,recall,f1,iteration
44,63,9,0.411214953271028,0.8301886792452831,0.55,1
45,26,8,0.6338028169014085,0.8490566037735849,0.7258064516129034,2
43,17,10,0.7166666666666667,0.8113207547169812,0.7610619469026548,3
47,41,6,0.5340909090909091,0.8867924528301887,0.6666666666666666,4
43,47,10,0.4777777777777778,0.8113207547169812,0.6013986013986015,5
